date,Open,High,Low,Close,Volume
2025-10-31,148.89,151.01,148.59,148.94,1303250.0
2025-10-30,149.89,151.955,149.54,149.88,952030.0
2025-10-29,153.31,154.4,147.0163,149.89,1832957.0
2025-10-28,156.11,156.385,154.15,154.3,762382.0
2025-10-27,155.25,156.85,153.91,156.3,776914.0
2025-10-24,156.78,156.83,154.93,155.83,600971.0
2025-10-23,156.85,157.115,155.065,155.72,829348.0
2025-10-22,156.38,158.99,155.88,157.0,1019718.0
2025-10-21,154.14,157.75,154.14,156.92,775346.0
2025-10-20,153.89,155.34,152.54,155.07,592872.0
2025-10-17,153.44,154.02,151.82,152.93,1239589.0
2025-10-16,154.18,155.96,152.85,152.94,1412061.0
2025-10-15,153.9,155.42,153.39,154.46,1044572.0
2025-10-14,151.99,155.08,151.54,154.12,1055600.0
2025-10-13,151.39,153.07,150.09,152.19,1188067.0
2025-10-10,149.87,152.4,149.425,151.54,1721406.0
2025-10-09,149.7,149.7,147.98,149.32,717962.0
2025-10-08,149.55,150.84,148.2201,149.43,1005772.0
2025-10-07,147.69,149.74,147.69,149.635,907515.0
2025-10-06,146.99,148.9371,145.38,147.69,1482326.0
2025-10-03,145.68,147.61,145.32,146.26,1869801.0
2025-10-02,145.82,147.0,144.12,146.31,1576669.0
2025-10-01,148.44,148.91,145.64,146.29,1712706.0
2025-09-30,150.41,150.58,147.585,148.93,947235.0
2025-09-29,150.03,151.81,148.495,151.17,988632.0
2025-09-26,148.84,150.07,148.33,149.38,1246142.0
2025-09-25,151.5,152.17,148.3,148.45,1225499.0
2025-09-24,150.15,151.83,150.15,151.5,884189.0
2025-09-23,151.45,151.9,149.385,150.02,642778.0
2025-09-22,152.06,152.83,150.625,151.45,921964.0
2025-09-19,155.05,155.235,151.69,151.97,3452842.0
2025-09-18,159.48,160.215,154.39,154.47,1175920.0
2025-09-17,160.0,161.92,159.46,159.78,696161.0
2025-09-16,158.08,159.25,157.36,159.07,695373.0
2025-09-15,160.12,160.78,157.71,158.43,797097.0
2025-09-12,160.3,161.295,159.87,160.12,693538.0
2025-09-11,159.23,161.48,158.91,161.42,781188.0
2025-09-10,162.1,162.31,158.755,159.1,892300.0
2025-09-09,162.28,163.65,161.73,162.75,652311.0
2025-09-08,162.99,162.99,160.43,162.53,608896.0
2025-09-05,161.29,163.18,160.445,162.24,595501.0
2025-09-04,161.6,162.09,159.88,161.87,659986.0
2025-09-03,160.31,161.69,159.18,161.59,626088.0
2025-09-02,162.26,163.05,160.0,160.77,869604.0
2025-08-29,163.53,164.99,162.7,163.26,692777.0
2025-08-28,162.49,163.03,161.86,162.82,586322.0
2025-08-27,162.2,163.145,162.09,162.74,584635.0
