date,Open,High,Low,Close,Volume
2025-10-31,82.98,83.1,82.95,83.06,2633660.0
2025-10-30,83.02,83.15,83.02,83.13,2376000.0
2025-10-29,83.0,83.11,82.96,83.02,2444899.0
2025-10-28,83.06,83.12,83.06,83.09,1671154.0
2025-10-27,83.09,83.135,83.0,83.12,1317084.0
2025-10-24,83.01,83.07,82.59,83.03,1567977.0
2025-10-23,83.05,83.05,82.89,83.03,2045856.0
2025-10-22,83.0,83.055,82.84,83.02,1252383.0
2025-10-21,83.05,83.05,82.9,82.98,1360521.0
2025-10-20,83.03,83.1,82.9,83.04,1126474.0
2025-10-17,82.98,83.11,82.88,83.09,2927317.0
2025-10-16,82.89,82.92,82.775,82.92,2269341.0
2025-10-15,82.95,82.95,82.76,82.79,2178368.0
2025-10-14,82.8,82.95,82.8,82.95,1955344.0
2025-10-13,82.32,82.9,82.32,82.8,1785739.0
2025-10-10,82.81,82.95,82.81,82.86,3338678.0
2025-10-09,82.9,82.93,82.8,82.86,2093565.0
2025-10-08,82.9,82.95,82.77,82.87,2035959.0
2025-10-07,82.91,82.985,82.8,82.9,3722512.0
2025-10-06,82.7,82.745,82.64,82.66,3081848.0
2025-10-03,82.66,82.775,82.62,82.73,3188831.0
2025-10-02,82.3,83.0,82.2,82.65,6683557.0
2025-10-01,82.1,82.5,81.89,82.46,5120877.0
2025-09-30,81.96,82.05,81.72,82.02,3700518.0
2025-09-29,81.7,82.01,81.575,81.96,9518269.0
2025-09-26,77.17,78.04,77.07,77.94,3181390.0
2025-09-25,77.07,77.46,76.76,77.07,3085753.0
2025-09-24,77.01,77.01,76.48,76.96,3747051.0
2025-09-23,77.0,77.16,76.82,77.03,3122063.0
2025-09-22,77.25,77.3599,76.985,77.0,2397209.0
2025-09-19,78.22,78.22,77.2,77.38,6204949.0
2025-09-18,78.5,78.8,78.2,78.2,2826336.0
2025-09-17,79.42,79.58,78.06,78.65,5896242.0
2025-09-16,79.1,79.47,79.1,79.42,2520465.0
2025-09-15,79.47,79.5,78.985,79.05,1840183.0
2025-09-12,79.5,79.61,79.39,79.43,1279873.0
2025-09-11,79.12,79.65,79.065,79.58,2330640.0
2025-09-10,79.4,79.47,78.865,79.04,3478022.0
2025-09-09,79.42,79.665,79.39,79.48,2421700.0
2025-09-08,79.6,79.73,79.255,79.36,1985675.0
2025-09-05,79.67,79.94,79.38,79.87,3493197.0
2025-09-04,79.12,79.83,79.12,79.48,6110775.0
2025-09-03,79.05,79.055,78.685,79.04,2985957.0
2025-09-02,79.05,79.09,78.9,78.94,2300733.0
2025-08-29,79.48,79.65,79.265,79.5,3564816.0
2025-08-28,79.68,79.7,79.41,79.47,4453384.0
2025-08-27,79.82,79.94,79.7,79.76,1394120.0
2025-08-26,79.89,79.94,79.8,79.81,2294664.0
2025-08-25,80.03,80.11,79.91,79.96,1514896.0
2025-08-22,80.05,80.15,80.0,80.15,2223356.0
