date,Open,High,Low,Close,Volume
2025-10-31,20.9,21.09,20.66,20.66,6343645.0
2025-10-30,21.56,21.84,20.91,20.99,8054927.0
2025-10-29,21.61,21.79,21.315,21.4,5499452.0
2025-10-28,22.38,22.38,21.735,21.79,4186379.0
2025-10-27,22.32,22.45,22.195,22.37,4216815.0
2025-10-24,22.41,22.425,22.215,22.34,2355723.0
2025-10-23,22.38,22.3926,22.0,22.22,3664507.0
2025-10-22,22.3,22.44,22.16,22.41,4590841.0
2025-10-21,22.03,22.34,21.9,22.21,5406479.0
2025-10-20,21.95,22.08,21.74,22.0,5609875.0
2025-10-17,21.58,21.88,21.48,21.84,3986186.0
2025-10-16,21.87,21.87,21.425,21.61,5167112.0
2025-10-15,21.46,21.82,21.42,21.71,6509870.0
2025-10-14,20.97,21.47,20.97,21.39,5576080.0
2025-10-13,20.85,21.085,20.75,21.05,4341521.0
2025-10-10,21.24,21.3,20.755,20.78,8378859.0
2025-10-09,21.27,21.41,21.125,21.23,2593798.0
2025-10-08,21.32,21.36,21.2,21.29,2793730.0
2025-10-07,21.49,21.54,21.235,21.37,4241877.0
2025-10-06,21.53,21.82,21.37,21.52,3461675.0
2025-10-03,21.38,21.7,21.38,21.47,3180598.0
2025-10-02,21.5,21.565,21.2,21.36,2671246.0
2025-10-01,21.7,21.905,21.43,21.52,4799379.0
2025-09-30,21.67,21.87,21.625,21.85,2970694.0
2025-09-29,21.6,21.71,21.47,21.67,3208401.0
2025-09-26,21.61,21.73,21.45,21.59,3267361.0
2025-09-25,21.64,21.785,21.45,21.48,2907168.0
2025-09-24,21.89,21.94,21.595,21.63,3491289.0
2025-09-23,21.78,21.97,21.71,21.9,2619671.0
2025-09-22,21.84,21.91,21.69,21.77,3750174.0
2025-09-19,22.22,22.28,21.91,21.94,7513104.0
2025-09-18,21.95,22.205,21.95,22.17,2646127.0
2025-09-17,22.13,22.38,21.92,21.95,5236893.0
2025-09-16,22.3,22.38,22.05,22.11,4117091.0
2025-09-15,22.38,22.46,22.26,22.34,3417177.0
2025-09-12,22.47,22.6,22.335,22.39,3489633.0
2025-09-11,22.24,22.55,22.23,22.46,3028583.0
2025-09-10,22.3,22.45,22.245,22.3,3298412.0
2025-09-09,22.57,22.6,22.24,22.36,4448788.0
2025-09-08,22.53,22.6917,22.345,22.52,3437269.0
2025-09-05,22.7,22.97,22.5682,22.76,3581800.0
2025-09-04,22.64,22.8,22.48,22.79,3314274.0
2025-09-03,22.15,22.49,22.13,22.48,3267165.0
2025-09-02,22.36,22.45,22.1406,22.25,4390742.0
2025-08-29,22.42,22.52,22.28,22.49,3291369.0
2025-08-28,22.4,22.42,22.14,22.4,5576821.0
2025-08-27,22.17,22.445,22.14,22.38,2256601.0
2025-08-26,22.21,22.34,22.05,22.11,4312831.0
2025-08-25,22.15,22.26,21.985,22.2,2752608.0
2025-08-22,21.72,22.295,21.625,22.2,2365151.0
2025-08-21,21.54,21.665,21.48,21.55,2983749.0
2025-08-20,21.75,21.87,21.565,21.63,4360125.0
2025-08-19,21.11,21.71,21.11,21.7,3155826.0
2025-08-18,21.27,21.36,21.1,21.11,3809384.0
2025-08-15,21.17,21.2924,21.06,21.21,3209031.0
2025-08-14,21.33,21.39,21.0012,21.16,3787277.0
2025-08-13,21.24,21.57,21.12,21.53,3120079.0
2025-08-12,20.89,21.14,20.8,21.13,2404843.0
2025-08-11,20.75,21.06,20.73,20.8,3501879.0
2025-08-08,21.2,21.23,20.73,20.81,3489993.0
2025-08-07,21.53,21.54,20.935,21.19,4554418.0
2025-08-06,21.36,21.465,21.29,21.33,8017269.0
2025-08-05,21.1,21.3082,20.98,21.29,4774836.0
2025-08-04,20.8,21.195,20.78,21.05,4626622.0
2025-08-01,21.37,21.375,20.65,20.74,5355524.0
2025-07-31,21.46,22.085,21.185,21.23,7340204.0
2025-07-30,22.01,22.405,21.83,21.9,7432324.0
2025-07-29,21.69,21.995,21.57,21.93,5742767.0
2025-07-28,21.74,21.81,21.48,21.55,2771832.0
2025-07-25,21.98,22.14,21.63,21.78,4191205.0
2025-07-24,22.1,22.14,21.945,21.98,2505713.0
2025-07-23,22.12,22.18,21.985,22.12,2789220.0
2025-07-22,21.73,22.11,21.57,22.07,3086130.0
2025-07-21,21.67,21.86,21.585,21.62,3225975.0
2025-07-18,21.66,21.78,21.5202,21.67,3467160.0
2025-07-17,21.41,21.715,21.35,21.66,3617247.0
2025-07-16,21.23,21.455,21.095,21.41,2819877.0
2025-07-15,21.74,21.78,21.13,21.17,4632426.0
2025-07-14,21.43,21.72,21.3197,21.71,5178399.0
2025-07-11,21.24,21.52,21.085,21.48,3593505.0
2025-07-10,21.18,21.515,21.15,21.37,3017978.0
2025-07-09,21.2,21.265,21.0698,21.15,3765305.0
2025-07-08,21.07,21.235,21.035,21.08,5445841.0
2025-07-07,21.57,21.67,21.16,21.21,4294612.0
2025-07-03,21.46,21.68,21.4,21.62,3389277.0
2025-07-02,21.34,21.495,21.165,21.44,4870163.0
2025-07-01,21.01,21.575,20.87,21.18,5735002.0
2025-06-30,20.91,21.04,20.61,21.02,5165280.0
2025-06-27,21.06,21.17,20.835,20.93,5615088.0
2025-06-26,20.87,21.07,20.81,21.02,3895690.0
2025-06-25,21.1,21.15,20.8,20.83,4648073.0
2025-06-24,21.28,21.41,21.2,21.24,3565987.0
2025-06-23,20.9,21.25,20.84,21.22,3098909.0
2025-06-20,21.12,21.22,20.815,20.89,10711457.0
2025-06-18,20.84,21.155,20.76,21.0,3703730.0
2025-06-17,20.91,21.02,20.69,20.78,3066353.0
2025-06-16,20.99,21.135,20.87,20.92,2567749.0
2025-06-13,20.84,20.93,20.625,20.83,2772518.0
2025-06-12,20.96,21.05,20.775,21.02,3265926.0
2025-06-11,21.37,21.46,20.9,20.99,5076259.0
