date,Open,High,Low,Close,Volume
2025-10-31,119.15,120.09,118.1515,119.71,4396715.0
2025-10-30,120.7,123.09,119.46,120.21,4660126.0
2025-10-29,119.75,120.12,116.26,116.72,4365249.0
2025-10-28,120.13,121.99,119.58,120.66,3297222.0
2025-10-27,118.85,120.83,118.46,120.62,3924459.0
2025-10-24,118.95,119.92,118.19,118.93,2423750.0
2025-10-23,120.35,120.37,117.485,118.76,2688244.0
2025-10-22,120.12,121.99,119.54,120.21,1924081.0
2025-10-21,120.8,121.03,119.95,120.05,1876295.0
2025-10-20,121.52,121.89,120.62,120.7,1547716.0
2025-10-17,120.11,121.49,119.88,121.44,2076726.0
2025-10-16,120.49,121.35,119.375,119.7,2337524.0
2025-10-15,120.2,121.215,119.64,119.92,2704832.0
2025-10-14,119.595,120.61,119.09,120.17,1708595.0
2025-10-13,119.51,119.51,118.18,119.27,1968573.0
2025-10-10,120.2,120.7206,119.37,119.57,1855199.0
2025-10-09,119.62,120.29,119.36,119.55,1851538.0
2025-10-08,122.18,122.18,119.54,119.63,1802763.0
2025-10-07,120.54,122.7785,119.63,122.33,2254560.0
2025-10-06,122.0,122.185,120.45,120.54,2143614.0
2025-10-03,122.325,123.38,121.76,122.58,1898153.0
2025-10-02,123.23,123.24,122.08,122.62,1696239.0
2025-10-01,124.82,125.32,123.04,123.23,1921569.0
2025-09-30,122.51,124.71,122.18,124.34,2044346.0
2025-09-29,122.59,122.815,121.365,122.66,2851245.0
2025-09-26,121.82,122.91,121.485,122.23,2292669.0
2025-09-25,124.32,124.5,121.02,121.72,4024827.0
2025-09-24,123.15,124.545,123.01,123.93,1459895.0
2025-09-23,124.12,124.43,122.58,123.82,2452169.0
2025-09-22,124.43,125.13,123.8,124.07,2683819.0
2025-09-19,126.12,126.55,124.24,124.62,6928114.0
2025-09-18,124.72,126.42,124.38,125.51,1822064.0
2025-09-17,125.32,126.98,125.32,125.59,2304515.0
2025-09-16,125.4,126.06,124.48,125.04,2084642.0
2025-09-15,127.42,127.78,125.05,125.47,3077722.0
2025-09-12,128.9,129.87,127.95,127.99,1442298.0
2025-09-11,128.245,130.02,127.87,129.47,1745077.0
2025-09-10,130.24,130.83,127.01,128.01,2279439.0
2025-09-09,129.95,131.53,129.39,130.97,2325596.0
2025-09-08,129.24,130.13,127.765,129.78,2916782.0
2025-09-05,128.17,130.6,128.0,129.89,2187008.0
2025-09-04,128.5,129.409,127.84,129.17,2049255.0
2025-09-03,128.84,129.32,127.1,128.0,2505202.0
2025-09-02,129.35,130.04,128.04,128.84,2027320.0
2025-08-29,128.68,129.82,128.55,129.14,1785555.0
2025-08-28,130.21,130.345,128.02,128.72,1757400.0
2025-08-27,129.6,130.35,129.6,130.21,1411929.0
2025-08-26,130.4,131.23,129.39,129.81,3165361.0
2025-08-25,133.5,133.94,130.62,130.75,1721586.0
2025-08-22,133.81,134.38,132.68,133.49,1842585.0
2025-08-21,132.49,133.06,132.231,132.97,1512894.0
2025-08-20,133.74,136.17,133.155,133.26,1678964.0
2025-08-19,131.35,133.43,131.1,132.95,2288369.0
2025-08-18,132.94,132.94,130.59,131.33,2566410.0
2025-08-15,133.9,134.01,132.55,132.94,2123773.0
2025-08-14,133.94,134.3,132.99,133.39,1527529.0
2025-08-13,133.72,135.1,133.13,134.81,1849513.0
2025-08-12,134.15,134.455,131.62,133.64,3181152.0
2025-08-11,136.33,136.36,133.83,134.15,2544755.0
2025-08-08,136.55,137.29,135.65,136.16,1653983.0
2025-08-07,137.11,137.46,135.68,136.77,2473249.0
2025-08-06,134.62,136.9,134.14,136.68,3327354.0
2025-08-05,133.07,134.45,132.2,134.21,2860322.0
2025-08-04,131.36,133.81,131.19,133.14,3226044.0
2025-08-01,132.685,134.49,128.48,130.64,5425880.0
2025-07-31,125.1,125.92,124.37,124.62,4597535.0
2025-07-30,128.09,128.62,124.9,125.29,2123316.0
2025-07-29,126.87,128.57,126.52,127.93,1995925.0
2025-07-28,126.83,127.515,126.355,126.86,1911786.0
2025-07-25,127.93,128.2887,126.65,127.38,1549457.0
2025-07-24,127.75,128.08,127.18,127.75,1573382.0
2025-07-23,128.84,129.33,127.46,127.73,1947536.0
2025-07-22,126.77,129.14,126.53,128.89,2040687.0
2025-07-21,127.28,127.86,126.54,126.71,2115217.0
2025-07-18,128.38,128.5945,127.09,127.53,3787144.0
2025-07-17,127.0,128.49,126.27,127.91,1942700.0
2025-07-16,126.89,127.69,126.33,127.63,2022176.0
2025-07-15,127.44,127.8999,126.2,126.75,2226778.0
2025-07-14,129.24,129.37,125.15,127.46,3283969.0
2025-07-11,131.95,131.95,129.21,129.38,1847101.0
2025-07-10,131.43,133.09,130.47,131.95,1959248.0
2025-07-09,131.53,132.1,130.27,131.49,1448388.0
2025-07-08,131.25,132.08,130.37,131.4,1620507.0
2025-07-07,132.23,132.96,131.2,131.65,2158056.0
2025-07-03,132.73,132.73,131.45,132.12,1015997.0
2025-07-02,131.73,132.48,130.91,132.36,2137946.0
2025-07-01,129.65,132.49,129.3,131.61,2829960.0
2025-06-30,127.87,129.29,127.68,128.92,2172638.0
2025-06-27,126.88,128.53,126.875,127.89,1950898.0
2025-06-26,128.32,128.56,126.3,126.84,2369449.0
2025-06-25,129.67,129.75,127.76,128.15,1820507.0
2025-06-24,129.94,130.33,129.45,129.95,2761044.0
2025-06-23,128.31,130.48,128.135,130.13,3205971.0
2025-06-20,127.96,128.83,127.74,128.29,5306997.0
2025-06-18,128.85,129.165,127.76,127.96,3088898.0
2025-06-17,130.3,130.34,128.79,128.93,2883045.0
2025-06-16,131.09,131.83,130.41,130.67,1989181.0
2025-06-13,133.76,134.0,130.57,130.84,1837826.0
2025-06-12,133.24,133.92,132.52,133.89,1551887.0
2025-06-11,133.01,133.62,132.38,132.85,1679986.0
