date,Open,High,Low,Close,Volume
2025-10-31,41.74,42.76,41.14,41.91,7502495.0
2025-10-30,41.43,43.165,41.13,41.87,36898724.0
2025-10-29,43.82,44.105,42.235,42.46,3774545.0
2025-10-28,44.91,45.0,44.16,44.45,3442875.0
2025-10-27,44.71,45.095,44.07,45.08,3238692.0
2025-10-24,43.76,44.495,43.21,44.26,3309280.0
2025-10-23,43.42,43.56,42.5,43.12,4480635.0
2025-10-22,44.61,45.03,43.77,43.86,3660565.0
2025-10-21,43.2,45.14,42.94,44.7,3117891.0
2025-10-20,43.04,43.58,42.34,43.03,3379015.0
2025-10-17,43.2,43.94,42.43,42.9,2935966.0
2025-10-16,44.245,45.0,42.86,43.27,3675131.0
2025-10-15,43.72,45.03,43.23,44.42,3655248.0
2025-10-14,43.44,44.44,43.04,44.0,3700447.0
2025-10-13,43.66,43.95,43.05,43.69,3858845.0
2025-10-10,44.3,44.5948,43.07,43.17,4297509.0
2025-10-09,44.42,44.435,43.68,44.11,2980309.0
2025-10-08,44.85,44.88,44.34,44.36,4079876.0
2025-10-07,46.79,47.18,44.83,44.86,4238148.0
2025-10-06,46.8,47.01,46.0528,46.81,4006060.0
2025-10-03,46.42,46.579,45.82,46.42,2833553.0
2025-10-02,45.57,47.44,45.57,46.07,5937524.0
2025-10-01,45.27,46.11,44.53,46.04,6157459.0
2025-09-30,45.09,45.47,44.48,44.87,5210237.0
2025-09-29,45.2,45.35,44.191,45.25,7496415.0
2025-09-26,44.75,46.59,44.55,44.86,10160715.0
2025-09-25,45.02,46.66,42.75,45.6,28496936.0
2025-09-24,57.65,58.45,56.55,57.05,5670382.0
2025-09-23,58.69,59.086,57.15,57.6,3293021.0
2025-09-22,58.42,58.555,57.715,58.1,3065610.0
2025-09-19,59.955,59.955,58.05,58.43,5811694.0
2025-09-18,60.05,60.47,59.48,60.0,2336998.0
2025-09-17,59.57,61.7,59.02,59.13,2679871.0
2025-09-16,60.62,60.81,59.5,60.35,2204887.0
2025-09-15,60.18,61.7,59.61,60.42,2657410.0
2025-09-12,60.93,61.08,59.61,59.77,1976367.0
2025-09-11,59.25,61.63,59.1801,61.25,3015724.0
2025-09-10,60.64,61.83,58.73,59.19,2502525.0
2025-09-09,61.0,61.7,60.8,61.38,2238258.0
2025-09-08,60.43,61.51,59.75,61.38,2628681.0
2025-09-05,61.31,62.34,60.33,60.7,2367987.0
2025-09-04,60.28,60.99,59.07,60.95,2333637.0
2025-09-03,59.42,61.08,59.3,60.21,5077066.0
2025-09-02,60.45,60.795,59.43,59.69,2719775.0
2025-08-29,62.3,62.5629,61.22,61.35,1865100.0
2025-08-28,61.76,62.19,60.145,62.17,3371319.0
2025-08-27,59.96,62.48,59.66,62.07,3416205.0
2025-08-26,59.9,60.1199,59.495,59.67,1703204.0
2025-08-25,59.69,60.2936,59.46,59.86,1543580.0
2025-08-22,58.34,60.46,58.0,60.06,1812021.0
2025-08-21,57.5,58.25,56.95,57.89,1586231.0
2025-08-20,57.25,59.38,56.82,57.81,3704006.0
2025-08-19,58.78,60.4399,58.555,59.38,2446893.0
2025-08-18,58.13,58.68,57.67,58.45,2396347.0
2025-08-15,58.49,58.92,57.5614,57.76,2382742.0
2025-08-14,57.9,58.19,57.21,58.14,2542708.0
2025-08-13,56.78,58.74,56.445,58.62,3314172.0
2025-08-12,56.42,57.03,56.1722,56.66,2284962.0
2025-08-11,55.43,56.21,55.03,55.94,2172285.0
2025-08-08,55.56,55.56,54.7201,54.96,1738298.0
2025-08-07,57.0,57.215,55.03,55.25,2353150.0
2025-08-06,57.07,57.92,56.01,56.22,4019487.0
2025-08-05,54.97,56.65,54.81,56.1,3529616.0
2025-08-04,56.3,56.75,54.53,54.66,3119005.0
2025-08-01,56.52,56.815,55.37,55.98,3829166.0
2025-07-31,57.68,58.33,56.41,56.61,4338976.0
2025-07-30,59.26,59.36,57.54,58.0,3404192.0
2025-07-29,60.21,60.295,58.92,59.07,2802117.0
2025-07-28,60.88,61.39,60.08,60.26,2104719.0
2025-07-25,60.65,60.87,59.96,60.72,2199113.0
2025-07-24,62.14,62.19,60.21,60.22,3508744.0
2025-07-23,63.49,63.74,61.88,62.83,3658161.0
2025-07-22,61.71,63.655,61.55,63.53,2705942.0
2025-07-21,62.62,62.855,61.47,61.47,2971955.0
2025-07-18,62.85,63.23,61.865,62.62,2813405.0
2025-07-17,62.81,63.1054,61.52,62.28,2887005.0
2025-07-16,63.33,63.76,61.6544,62.39,2777584.0
2025-07-15,66.04,66.04,62.56,62.98,3186592.0
2025-07-14,64.6,66.23,64.415,65.2,2632226.0
2025-07-11,66.08,66.3996,64.25,64.34,3030999.0
2025-07-10,67.14,67.53,66.31,66.94,4280602.0
2025-07-09,68.51,68.7099,66.92,67.27,2513324.0
2025-07-08,69.0,69.3799,68.06,68.38,3065600.0
2025-07-07,69.58,70.005,68.2,68.78,2486898.0
2025-07-03,71.39,71.99,70.53,70.61,1313519.0
2025-07-02,70.46,71.985,70.16,71.57,2831700.0
2025-07-01,67.56,70.88,66.87,70.28,3385700.0
2025-06-30,66.63,67.62,65.95,67.21,3178445.0
2025-06-27,67.17,67.73,66.15,66.6,5648028.0
2025-06-26,67.92,68.26,66.45,66.67,2377686.0
2025-06-25,68.26,69.475,67.46,67.5,4196558.0
2025-06-24,67.56,69.725,66.76,69.21,5538552.0
2025-06-23,67.94,68.0,64.35,67.17,6211413.0
2025-06-20,70.27,70.43,65.5,68.57,12458091.0
2025-06-18,64.31,65.05,63.89,64.33,5626536.0
2025-06-17,65.33,65.67,64.21,64.43,3583124.0
2025-06-16,65.85,66.32,64.98,65.85,3490530.0
2025-06-13,65.02,66.395,64.4092,64.91,3435702.0
2025-06-12,66.93,67.18,65.78,66.11,2498061.0
2025-06-11,68.69,68.83,67.7,67.83,3767895.0
