date,Open,High,Low,Close,Volume
2025-10-31,68.545,69.07,67.9001,68.9,16742681.0
2025-10-30,68.45,69.29,68.3872,68.98,14751735.0
2025-10-29,69.92,70.03,68.155,68.35,19789610.0
2025-10-28,70.045,70.9,69.95,70.16,12730493.0
2025-10-27,69.78,70.115,69.25,70.06,13800049.0
2025-10-24,69.91,70.05,69.645,69.71,15688202.0
2025-10-23,70.81,70.9287,69.72,69.94,13989414.0
2025-10-22,71.36,71.615,70.51,70.81,18292950.0
2025-10-21,70.565,71.39,70.23,71.22,33651302.0
2025-10-20,68.425,68.64,67.92,68.44,17786778.0
2025-10-17,68.0,68.495,67.8,68.44,15541769.0
2025-10-16,67.175,68.105,67.16,67.59,15707226.0
2025-10-15,67.265,67.72,66.92,67.08,11193715.0
2025-10-14,66.87,67.57,66.745,67.51,14245564.0
2025-10-13,66.23,66.8,66.0,66.8,13690029.0
2025-10-10,66.52,67.395,66.375,67.04,17991744.0
2025-10-09,66.29,66.8,66.12,66.37,12705190.0
2025-10-08,66.665,66.87,66.06,66.12,12606677.0
2025-10-07,66.225,67.26,65.87,66.79,13328270.0
2025-10-06,66.49,66.5,65.84,66.1,14333320.0
2025-10-03,66.1,66.985,66.04,66.65,12249240.0
2025-10-02,66.525,66.65,65.86,66.1,14350722.0
2025-10-01,66.505,66.83,66.29,66.78,14877538.0
2025-09-30,66.07,66.64,65.9601,66.32,13814992.0
2025-09-29,65.67,66.1,65.3538,66.04,14818531.0
2025-09-26,66.07,66.335,65.5,65.67,17821566.0
2025-09-25,66.75,66.92,65.95,65.98,14395010.0
2025-09-24,66.405,66.78,65.96,66.45,14759294.0
2025-09-23,66.35,66.76,65.9,66.71,15072791.0
2025-09-22,66.16,66.59,66.08,66.21,13298742.0
2025-09-19,66.49,66.73,66.045,66.43,31192851.0
2025-09-18,66.8,67.035,66.35,66.46,17722919.0
2025-09-17,66.405,67.13,66.405,67.04,17372334.0
2025-09-16,66.35,66.51,66.055,66.24,18555912.0
2025-09-15,66.68,66.78,66.1,66.21,15986132.0
2025-09-12,67.6,67.715,66.935,67.01,18712351.0
2025-09-11,67.92,68.165,67.58,67.62,15128731.0
2025-09-10,67.79,68.0854,67.21,67.82,16041934.0
2025-09-09,67.28,68.105,67.28,67.86,14120570.0
2025-09-08,67.855,67.88,67.16,67.43,21671747.0
2025-09-05,68.01,68.58,67.87,67.96,23977995.0
2025-09-04,69.11,69.46,68.115,68.25,16736009.0
2025-09-03,68.66,69.095,67.37,68.99,33392402.0
2025-09-02,68.96,69.34,68.255,69.06,24770073.0
2025-08-29,68.67,69.14,68.425,68.99,14601094.0
2025-08-28,68.88,68.9,68.28,68.36,16209870.0
2025-08-27,68.82,68.87,68.465,68.83,11562741.0
2025-08-26,69.04,69.08,68.575,68.73,17964231.0
2025-08-25,70.11,70.23,68.715,68.93,13634562.0
2025-08-22,70.96,71.02,69.92,70.13,12999606.0
2025-08-21,70.6,70.905,70.33,70.66,8840427.0
2025-08-20,70.74,71.705,70.405,70.7,17530847.0
2025-08-19,69.3,70.22,69.24,70.13,13862214.0
2025-08-18,69.98,70.05,69.05,69.13,14094881.0
2025-08-15,69.74,70.385,69.57,69.92,12381112.0
2025-08-14,70.38,70.46,69.39,69.55,10722373.0
2025-08-13,70.69,70.77,70.23,70.46,10356518.0
2025-08-12,70.815,71.06,70.22,70.71,11065044.0
2025-08-11,70.3,70.86,69.96,70.75,10909371.0
2025-08-08,70.365,70.871,70.08,70.34,9232651.0
2025-08-07,69.46,70.715,69.33,70.43,15790802.0
2025-08-06,69.12,69.8,68.63,69.51,10782977.0
2025-08-05,68.9,69.485,68.75,69.05,11993391.0
2025-08-04,68.715,69.085,68.31,68.96,10701525.0
2025-08-01,68.595,69.04,68.27,68.86,16107506.0
2025-07-31,68.15,68.65,67.74,67.89,17193418.0
2025-07-30,69.11,69.33,68.525,68.75,10448179.0
2025-07-29,68.34,69.42,68.15,69.38,16223379.0
2025-07-28,68.74,68.9,68.06,68.09,13668798.0
2025-07-25,69.13,69.23,68.75,69.17,12574823.0
2025-07-24,69.255,69.55,68.99,69.1,12511367.0
2025-07-23,69.66,69.74,68.6,69.16,21029993.0
2025-07-22,69.45,70.2592,68.69,69.66,22339884.0
2025-07-21,70.195,70.62,69.93,70.07,17811719.0
2025-07-18,70.445,70.7,69.835,69.85,14927950.0
2025-07-17,69.81,70.685,69.51,70.59,20464657.0
2025-07-16,69.35,69.5,68.79,69.27,13178292.0
2025-07-15,69.51,69.55,69.15,69.36,12639808.0
2025-07-14,69.8,70.08,69.2719,69.47,13983246.0
2025-07-11,69.565,70.155,69.25,69.87,12916670.0
2025-07-10,69.29,69.845,69.16,69.77,14615046.0
2025-07-09,70.16,70.25,68.97,69.48,33704119.0
2025-07-08,70.68,70.68,69.88,70.24,17115521.0
