date,Open,High,Low,Close,Volume
2025-10-31,64.9,64.91,62.94,63.63,11947837.0
2025-10-30,65.93,66.19,65.2,65.43,6496201.0
2025-10-29,67.4,67.43,65.79,66.04,6339782.0
2025-10-28,67.74,68.23,67.38,67.69,4369174.0
2025-10-27,66.82,68.11,66.3,68.03,4610978.0
2025-10-24,68.87,68.9,66.905,67.11,6073245.0
2025-10-23,68.68,68.83,68.185,68.66,5058491.0
2025-10-22,67.79,68.86,67.05,68.6,6626047.0
2025-10-21,68.75,68.75,67.46,67.6,5955272.0
2025-10-20,69.0,69.4,68.24,69.15,4219542.0
2025-10-17,69.37,69.715,68.84,68.99,5495028.0
2025-10-16,68.96,69.81,68.615,68.88,4651724.0
2025-10-15,68.83,69.37,68.72,69.1,6198544.0
2025-10-14,67.94,69.505,67.2,69.13,5987852.0
2025-10-13,66.89,67.235,65.745,67.13,6673051.0
2025-10-10,67.71,68.615,66.62,67.78,6000223.0
2025-10-09,68.46,68.775,67.13,67.56,5810195.0
2025-10-08,67.2,68.25,67.0,68.12,7287378.0
2025-10-07,64.93,66.9,64.93,66.88,6765557.0
2025-10-06,65.99,66.32,64.52,64.8,8489594.0
2025-10-03,66.27,66.63,66.005,66.3,4201573.0
2025-10-02,66.2,66.96,65.87,66.36,4430609.0
2025-10-01,67.08,67.16,65.615,66.51,7838276.0
2025-09-30,66.28,67.46,66.2,67.41,7567842.0
2025-09-29,65.43,66.46,65.03,66.43,5998060.0
2025-09-26,65.41,65.66,64.86,65.46,4550900.0
2025-09-25,66.01,66.5,65.445,65.49,6037453.0
2025-09-24,65.23,65.88,65.03,65.55,5260366.0
2025-09-23,64.46,65.47,64.37,65.35,11228450.0
2025-09-22,65.58,65.6,64.505,64.52,8939500.0
2025-09-19,65.76,65.98,64.885,65.58,16411010.0
2025-09-18,66.61,66.76,65.765,65.99,10664230.0
2025-09-17,67.81,68.02,66.61,66.96,9126301.0
2025-09-16,67.5,68.045,66.575,66.75,10520987.0
2025-09-15,68.29,69.09,67.135,67.41,7557216.0
