date,Open,High,Low,Close,Volume
2025-10-31,9.47,9.47,9.195,9.34,1912512.0
2025-10-30,9.86,9.9,9.5,9.53,2209669.0
2025-10-29,10.38,10.55,9.945,10.06,2923632.0
2025-10-28,9.28,10.73,9.205,10.59,4416160.0
2025-10-27,9.12,9.2358,9.07,9.18,1236158.0
2025-10-24,9.38,9.39,9.1035,9.12,1457585.0
2025-10-23,9.09,9.265,9.02,9.24,1892659.0
2025-10-22,9.13,9.21,9.0245,9.07,1131740.0
2025-10-21,8.96,9.225,8.9101,9.18,900912.0
2025-10-20,8.9,9.06,8.85,8.96,1018563.0
2025-10-17,8.84,8.95,8.8,8.87,1097009.0
2025-10-16,8.81,8.88,8.7,8.85,1283460.0
2025-10-15,8.87,8.97,8.74,8.78,1091773.0
2025-10-14,8.37,8.8151,8.34,8.81,1837453.0
2025-10-13,8.62,8.69,8.45,8.49,1461239.0
2025-10-10,8.77,8.8,8.485,8.56,1435624.0
2025-10-09,8.9,8.9,8.67,8.73,1225137.0
2025-10-08,8.75,8.9,8.64,8.9,1127764.0
2025-10-07,8.74,8.84,8.6617,8.72,2340744.0
2025-10-06,9.01,9.05,8.735,8.75,1438258.0
2025-10-03,8.9,9.16,8.895,9.01,1668360.0
2025-10-02,8.9,9.095,8.83,8.83,1321379.0
2025-10-01,8.89,9.125,8.865,8.93,1536701.0
2025-09-30,8.71,8.89,8.64,8.88,1551687.0
2025-09-29,8.82,8.82,8.67,8.76,1693383.0
2025-09-26,8.81,8.865,8.76,8.77,1788905.0
2025-09-25,8.95,8.97,8.7,8.77,1878424.0
2025-09-24,9.1,9.185,8.945,9.0,1755721.0
2025-09-23,9.27,9.455,9.11,9.12,1757981.0
2025-09-22,9.29,9.315,9.125,9.17,1595491.0
2025-09-19,9.63,9.68,9.305,9.38,2965937.0
2025-09-18,9.35,9.645,9.285,9.64,1896092.0
2025-09-17,9.52,9.845,9.255,9.29,1983718.0
2025-09-16,9.49,9.565,9.29,9.52,1933561.0
2025-09-15,9.68,9.68,9.35,9.42,1660600.0
2025-09-12,9.82,9.87,9.595,9.61,1586525.0
2025-09-11,9.98,10.074,9.805,9.92,1900535.0
2025-09-10,9.6,10.02,9.515,9.98,2579138.0
2025-09-09,10.16,10.22,9.74,9.74,1947325.0
2025-09-08,9.96,10.34,9.61,10.2,3301148.0
2025-09-05,9.84,10.195,9.83,10.01,1738639.0
2025-09-04,9.43,9.79,9.355,9.79,1595160.0
2025-09-03,9.24,9.43,9.185,9.43,1495489.0
2025-09-02,9.44,9.535,9.29,9.31,1465058.0
2025-08-29,9.72,9.815,9.54,9.61,1510407.0
2025-08-28,9.78,9.78,9.59,9.73,1283074.0
2025-08-27,9.79,9.96,9.67,9.73,1607484.0
2025-08-26,9.62,9.905,9.62,9.85,2331469.0
2025-08-25,9.58,9.7,9.54,9.67,1438431.0
2025-08-22,9.22,9.7,9.16,9.66,1811856.0
2025-08-21,9.15,9.225,9.08,9.12,1133985.0
2025-08-20,9.36,9.555,9.285,9.29,1516400.0
2025-08-19,9.33,9.63,9.315,9.42,1351566.0
2025-08-18,9.38,9.42,9.21,9.27,1417826.0
2025-08-15,9.41,9.49,9.235,9.37,1307539.0
2025-08-14,9.23,9.4,9.16,9.4,1308182.0
2025-08-13,8.99,9.525,8.9701,9.46,1485989.0
2025-08-12,8.59,8.975,8.53,8.97,1499289.0
2025-08-11,8.66,8.75,8.32,8.48,1236747.0
2025-08-08,8.62,8.685,8.46,8.6,1735145.0
2025-08-07,8.91,8.9827,8.555,8.63,1819410.0
2025-08-06,8.7,8.75,8.575,8.73,1939890.0
2025-08-05,8.56,8.765,8.44,8.69,2589055.0
2025-08-04,8.08,8.47,7.86,8.45,3114200.0
2025-08-01,9.6,9.725,8.015,8.08,4653594.0
2025-07-31,9.6,9.685,9.5,9.55,2743923.0
2025-07-30,10.09,10.1,9.605,9.66,1983892.0
2025-07-29,10.29,10.35,10.03,10.05,1405162.0
2025-07-28,10.27,10.355,10.13,10.25,1323894.0
2025-07-25,10.28,10.35,10.0325,10.33,1250892.0
2025-07-24,10.47,10.53,10.17,10.25,1397843.0
2025-07-23,10.47,10.5999,10.4123,10.59,1676390.0
2025-07-22,9.94,10.42,9.91,10.34,1886133.0
2025-07-21,9.96,10.095,9.885,9.9,1344694.0
2025-07-18,10.04,10.145,9.86,9.88,1904206.0
2025-07-17,9.79,10.035,9.77,9.98,1908142.0
2025-07-16,9.83,9.88,9.59,9.81,1892235.0
2025-07-15,10.11,10.19,9.77,9.78,2071140.0
2025-07-14,10.03,10.07,9.805,10.0,1833159.0
2025-07-11,10.16,10.2597,10.0,10.13,1863387.0
2025-07-10,10.07,10.585,10.02,10.33,2825097.0
2025-07-09,10.04,10.09,9.825,10.08,2027199.0
2025-07-08,9.62,10.08,9.525,9.92,3327385.0
2025-07-07,9.73,9.86,9.565,9.57,1996674.0
2025-07-03,9.99,10.09,9.84,9.89,1215204.0
2025-07-02,9.66,9.93,9.59,9.93,2563098.0
2025-07-01,8.81,10.0167,8.79,9.63,2933504.0
2025-06-30,9.22,9.24,8.836,8.92,2339936.0
2025-06-27,9.17,9.29,9.04,9.25,23937993.0
2025-06-26,9.23,9.28,9.09,9.13,1917489.0
2025-06-25,9.36,9.4,9.0844,9.16,1406762.0
2025-06-24,9.36,9.4,9.185,9.34,2073153.0
2025-06-23,9.11,9.29,8.84,9.28,1931058.0
2025-06-20,9.14,9.22,9.04,9.19,2408342.0
2025-06-18,9.07,9.28,9.05,9.11,1917618.0
2025-06-17,9.3,9.415,9.065,9.07,1411708.0
2025-06-16,9.37,9.45,9.18,9.42,1457684.0
2025-06-13,9.43,9.575,9.2,9.24,1192639.0
2025-06-12,9.48,9.7,9.37,9.62,2145100.0
2025-06-11,9.73,9.73,9.57,9.58,2129668.0
