date,Open,High,Low,Close,Volume
2025-10-31,123.18,124.33,121.94,123.77,4848072.0
2025-10-30,123.52,125.51,122.54,124.13,4998340.0
2025-10-29,126.37,128.97,123.75,124.18,5354056.0
2025-10-28,124.28,129.2,124.04,128.22,3234372.0
2025-10-27,128.0,130.07,127.83,128.72,2265556.0
2025-10-24,129.85,130.23,127.57,127.57,3267966.0
2025-10-23,126.84,128.4775,126.265,127.34,2208880.0
2025-10-22,127.51,129.49,126.57,127.14,2663628.0
2025-10-21,123.57,129.58,122.3,128.24,4170822.0
2025-10-20,126.39,127.45,124.7288,125.85,3059260.0
2025-10-17,123.01,125.9399,122.45,125.82,4500236.0
2025-10-16,122.7,122.98,120.945,122.87,3087712.0
2025-10-15,122.57,123.67,121.33,122.44,3170092.0
2025-10-14,118.41,122.46,117.3,122.23,4302707.0
2025-10-13,117.98,119.214,117.47,118.02,3242872.0
2025-10-10,123.0,123.71,117.905,118.77,6316332.0
2025-10-09,119.93,119.96,117.1,117.91,5509123.0
2025-10-08,122.63,122.63,118.91,120.12,4469391.0
2025-10-07,124.0,124.097,121.65,122.14,3661677.0
2025-10-06,130.18,130.81,126.02,126.39,2709671.0
2025-10-03,128.325,130.83,128.3,130.07,2026728.0
2025-10-02,128.0,128.64,126.57,128.33,1718719.0
2025-10-01,126.5,128.55,126.3,128.21,2462731.0
2025-09-30,127.51,127.88,124.5,126.04,2435546.0
2025-09-29,127.44,128.26,125.405,127.68,3360337.0
2025-09-26,125.01,126.88,124.15,126.04,2430863.0
2025-09-25,124.15,126.93,123.78,124.02,3406093.0
2025-09-24,123.2,126.7,122.45,125.69,3557694.0
2025-09-23,122.46,123.7599,121.85,123.25,4178870.0
2025-09-22,124.75,125.05,121.1,121.91,6043697.0
2025-09-19,126.5,131.47,125.16,127.32,17041322.0
2025-09-18,133.01,134.07,131.34,132.87,5239949.0
2025-09-17,134.63,139.44,131.79,132.97,5872128.0
2025-09-16,134.48,134.7131,131.21,133.81,4007922.0
2025-09-15,137.88,137.88,132.275,133.77,4581924.0
2025-09-12,140.0,140.0,136.97,137.27,2854229.0
2025-09-11,137.52,140.7093,137.52,140.09,2468097.0
2025-09-10,138.75,138.82,135.575,136.58,2726647.0
2025-09-09,141.5,141.84,136.49,137.45,3702029.0
2025-09-08,141.5,142.61,139.81,142.4,2831286.0
2025-09-05,141.69,144.235,140.4975,141.88,4268770.0
2025-09-04,135.58,138.625,135.0,138.07,2970790.0
2025-09-03,132.15,134.96,131.51,134.08,2570680.0
