date,Open,High,Low,Close,Volume
2025-10-31,293.99,294.74,287.93,289.1,2165601.0
2025-10-30,284.08,305.1575,282.39,295.9,2546971.0
2025-10-29,287.3,289.565,285.44,286.87,1027044.0
2025-10-28,290.69,291.9399,287.07,287.38,970979.0
2025-10-27,293.56,294.94,290.31,291.14,1057254.0
2025-10-24,295.68,296.3,292.57,293.2,803890.0
2025-10-23,290.15,294.2,290.15,293.28,643874.0
2025-10-22,292.3,293.5,288.72,288.97,1099354.0
2025-10-21,290.4,293.82,288.55,292.3,982382.0
2025-10-20,286.26,291.645,285.97,290.56,723744.0
2025-10-17,284.2,285.1,282.27,283.87,887316.0
2025-10-16,290.29,290.98,284.09,284.29,1220557.0
2025-10-15,300.165,301.99,283.64,289.72,1464600.0
2025-10-14,292.82,300.615,292.49,299.99,842080.0
2025-10-13,291.38,294.45,290.71,293.42,801699.0
2025-10-10,298.76,299.485,292.14,292.34,1341187.0
2025-10-09,307.0,308.12,296.93,298.2,1607807.0
2025-10-08,303.0,306.83,301.95,306.76,1097220.0
2025-10-07,303.32,304.05,298.75,301.43,866926.0
2025-10-06,297.29,303.125,296.6,303.01,819155.0
2025-10-03,297.09,299.781,295.45,297.39,643307.0
2025-10-02,299.95,301.295,295.62,296.1,1099369.0
2025-10-01,303.85,304.305,298.18,300.47,1423988.0
2025-09-30,297.56,305.94,297.56,305.41,1332757.0
2025-09-29,297.83,298.4,294.77,296.95,1230456.0
2025-09-26,290.84,293.94,289.68,293.56,1147047.0
2025-09-25,286.59,290.9,286.0,289.24,1198931.0
2025-09-24,287.78,288.23,283.835,284.0,965348.0
2025-09-23,285.34,288.02,284.17,286.19,760419.0
2025-09-22,284.0,285.03,281.49,284.32,785566.0
2025-09-19,283.73,284.46,281.7528,283.94,1316080.0
2025-09-18,279.8,283.28,278.48,282.73,664827.0
2025-09-17,284.16,286.01,281.31,281.86,732610.0
2025-09-16,283.63,286.81,282.26,284.27,1332859.0
2025-09-15,278.81,282.22,278.465,281.89,783672.0
2025-09-12,280.71,281.675,278.35,279.2,800785.0
2025-09-11,275.82,280.69,274.34,280.63,948527.0
2025-09-10,270.64,275.67,269.855,275.64,951792.0
2025-09-09,272.96,273.315,268.6,270.71,1092211.0
2025-09-08,271.71,274.6988,269.26,273.89,1194509.0
2025-09-05,272.3,273.105,269.02,272.39,1071964.0
2025-09-04,273.36,274.25,272.31,272.99,1084556.0
