date,Open,High,Low,Close,Volume
2025-10-31,30.99,32.08,30.6,31.96,6896372.0
2025-10-30,31.55,32.53,30.44,31.16,5715000.0
2025-10-29,30.77,30.88,30.02,30.04,4170904.0
2025-10-28,31.33,31.375,30.89,30.96,3753024.0
2025-10-27,30.87,31.5,30.83,31.48,3110747.0
2025-10-24,30.75,30.912,30.6,30.79,2433248.0
2025-10-23,30.38,30.655,30.03,30.62,2198262.0
2025-10-22,30.54,30.885,30.33,30.35,2044639.0
2025-10-21,30.12,30.81,30.0,30.58,1963933.0
2025-10-20,30.115,30.38,29.71,30.11,2838304.0
2025-10-17,29.88,30.25,29.75,30.04,1783747.0
2025-10-16,29.8,30.02,29.47,29.82,2531032.0
2025-10-15,29.72,30.15,29.6407,29.745,1659396.0
2025-10-14,28.78,29.885,28.76,29.83,1956856.0
2025-10-13,28.81,29.2,28.415,29.15,2182364.0
2025-10-10,29.41,29.715,28.65,28.68,2260208.0
2025-10-09,29.73,29.73,29.23,29.31,3302519.0
2025-10-08,29.97,30.175,29.62,29.7,1449925.0
2025-10-07,30.8,30.86,29.9,29.97,2268365.0
2025-10-06,31.22,31.22,30.645,30.72,2086445.0
2025-10-03,31.285,31.735,31.28,31.36,2060812.0
2025-10-02,31.15,31.485,30.95,31.31,2281170.0
2025-10-01,30.66,31.22,30.57,31.13,2524782.0
2025-09-30,30.38,30.56,30.145,30.54,3393016.0
2025-09-29,30.43,30.51,29.94,30.42,2894655.0
2025-09-26,30.11,30.405,29.985,30.3,2401742.0
2025-09-25,30.26,30.27,29.77,29.98,2329386.0
2025-09-24,30.3,30.705,30.26,30.39,2153547.0
2025-09-23,30.34,30.58,30.18,30.39,2234509.0
2025-09-22,30.6,30.6,30.155,30.32,2335216.0
2025-09-19,31.3,31.3,30.56,30.68,6662475.0
2025-09-18,31.02,31.39,30.85,31.13,2247253.0
2025-09-17,31.63,32.005,31.065,31.11,2442399.0
2025-09-16,31.67,32.07,31.4,31.52,2581874.0
2025-09-15,32.45,32.45,31.53,31.55,2776533.0
2025-09-12,32.66,32.738,32.28,32.3,1721690.0
2025-09-11,32.2,32.97,32.13,32.92,2359291.0
2025-09-10,32.05,32.37,31.86,32.09,2513572.0
2025-09-09,32.23,32.69,32.12,32.31,4801452.0
2025-09-08,32.35,32.64,31.73,32.61,2567146.0
2025-09-05,32.36,32.86,32.085,32.38,1764200.0
2025-09-04,32.03,32.32,31.75,32.3,2662237.0
2025-09-03,31.74,32.115,31.6,31.98,3473260.0
2025-09-02,32.38,32.53,31.945,31.96,4898610.0
2025-08-29,32.28,32.73,32.2,32.62,3308176.0
2025-08-28,32.165,32.32,31.88,32.25,3251970.0
2025-08-27,31.5,32.29,31.41,32.08,4718382.0
2025-08-26,31.6,31.78,31.29,31.47,26555597.0
2025-08-25,31.68,31.96,31.35,31.7,2696358.0
2025-08-22,30.85,31.84,30.74,31.84,2271159.0
2025-08-21,30.34,30.73,30.25,30.59,2252021.0
2025-08-20,31.29,31.53,30.59,30.62,2957235.0
2025-08-19,30.99,31.64,30.91,31.26,3053249.0
2025-08-18,30.97,31.11,30.38,30.84,3039876.0
2025-08-15,31.68,31.905,30.865,30.97,2746268.0
2025-08-14,31.095,31.69,30.84,31.56,3282407.0
2025-08-13,30.18,31.835,30.12,31.71,4304815.0
2025-08-12,29.42,30.285,29.35,30.12,2335321.0
2025-08-11,29.53,29.95,29.16,29.24,3666529.0
2025-08-08,29.7,29.94,28.92,29.46,4160339.0
2025-08-07,30.03,30.16,29.35,29.75,2920090.0
2025-08-06,29.945,30.17,29.78,29.94,2509188.0
2025-08-05,29.63,30.0,29.43,29.96,3554646.0
2025-08-04,29.55,29.78,29.44,29.52,2932260.0
2025-08-01,29.44,29.83,29.02,29.64,3601724.0
2025-07-31,29.69,30.08,29.43,29.47,4133277.0
2025-07-30,30.735,30.735,29.905,30.12,2972992.0
2025-07-29,31.39,31.43,30.46,30.47,4505138.0
2025-07-28,32.13,32.27,31.24,31.49,4078312.0
2025-07-25,31.83,32.31,31.725,32.17,5796327.0
2025-07-24,33.34,33.515,30.06,31.73,18292996.0
2025-07-23,38.83,38.905,38.43,38.61,2406891.0
2025-07-22,37.32,38.56,37.32,38.48,2350424.0
2025-07-21,37.09,37.585,36.95,37.11,2138829.0
2025-07-18,37.68,37.85,37.01,37.12,1686375.0
2025-07-17,37.42,37.94,37.125,37.45,1952233.0
2025-07-16,37.56,37.7,36.96,37.35,1516864.0
2025-07-15,38.48,38.57,37.475,37.49,1765304.0
2025-07-14,38.4,38.7,37.86,38.38,1712154.0
2025-07-11,38.9,38.925,38.47,38.6,2159474.0
2025-07-10,38.9,39.77,38.77,39.21,1539729.0
2025-07-09,38.67,38.91,38.28,38.85,1700547.0
2025-07-08,38.26,38.75,37.87,38.6,1486819.0
2025-07-07,38.65,39.105,38.11,38.25,1745659.0
2025-07-03,38.59,38.915,38.435,38.68,1123670.0
2025-07-02,38.07,38.72,37.83,38.57,2247078.0
2025-07-01,36.88,38.49,36.83,37.96,1954440.0
2025-06-30,37.12,37.198,36.7702,37.01,1624618.0
2025-06-27,37.17,37.56,36.93,37.12,3092356.0
2025-06-26,36.94,37.31,36.68,37.07,1743542.0
2025-06-25,37.51,37.585,36.925,36.94,3286024.0
2025-06-24,37.54,37.785,37.21,37.65,2191525.0
2025-06-23,37.1,37.38,36.66,37.36,1803346.0
2025-06-20,37.13,37.32,36.88,37.13,4109129.0
2025-06-18,37.26,37.62,36.825,36.86,2441125.0
2025-06-17,38.01,38.01,37.095,37.15,1720056.0
2025-06-16,38.41,38.69,38.01,38.04,1588874.0
2025-06-13,38.7,38.76,38.02,38.12,1336961.0
2025-06-12,39.22,39.22,38.735,39.04,1355398.0
2025-06-11,39.86,39.99,39.31,39.38,1571124.0
