date,Open,High,Low,Close,Volume
2025-10-31,489.0,493.61,486.0501,491.88,1185204.0
2025-10-30,485.57,494.46,485.5,489.72,1080955.0
2025-10-29,485.0,488.817,483.6662,485.33,971473.0
2025-10-28,486.37,489.4,483.62,485.77,1220554.0
2025-10-27,484.08,487.31,479.87,486.91,1423236.0
2025-10-24,490.28,491.82,484.075,485.41,1368445.0
2025-10-23,488.12,493.98,486.52,488.05,1446086.0
2025-10-22,491.47,492.4108,482.54,487.14,1726057.0
2025-10-21,482.71,506.6,482.71,489.5,2869991.0
2025-10-20,496.43,505.9,496.43,505.9,1433308.0
2025-10-17,490.48,496.68,488.1,495.15,1915507.0
2025-10-16,500.74,501.31,492.0,493.25,1099659.0
2025-10-15,503.0,505.0,485.48,499.41,1678496.0
2025-10-14,501.25,506.9999,499.0,505.18,1078265.0
2025-10-13,502.3,507.43,500.0001,503.83,926722.0
2025-10-10,508.83,513.45,500.54,505.05,1313768.0
2025-10-09,513.89,515.1912,503.81,507.76,1185975.0
2025-10-08,515.25,516.0,511.22,514.02,798430.0
2025-10-07,514.2,515.98,509.135,511.07,922414.0
2025-10-06,506.63,515.43,506.63,514.24,1389696.0
2025-10-03,499.42,506.81,499.245,504.49,1006534.0
2025-10-02,499.24,503.6,497.01,499.36,915832.0
2025-10-01,496.17,504.07,495.0,499.0,1187448.0
2025-09-30,492.58,499.89,491.14,499.21,1312722.0
2025-09-29,497.0,498.986,489.22,491.98,1391134.0
2025-09-26,487.91,490.7499,484.57,487.44,914275.0
2025-09-25,489.58,490.7448,484.06,484.34,1205694.0
2025-09-24,487.15,495.24,485.51,486.25,1424205.0
2025-09-23,480.9,486.78,479.34,486.67,1135459.0
2025-09-22,473.67,482.0745,473.01,480.39,1410218.0
2025-09-19,474.23,477.0,471.38,472.94,2839217.0
2025-09-18,471.12,474.36,467.99,473.62,1108002.0
2025-09-17,474.93,477.1885,472.635,473.12,1016718.0
2025-09-16,473.59,478.44,471.665,474.32,1156857.0
2025-09-15,471.47,474.29,468.99,473.25,1148734.0
2025-09-12,468.93,472.98,467.17,471.31,1041423.0
2025-09-11,463.85,472.4,462.99,470.73,1623736.0
2025-09-10,456.21,464.38,455.71,463.87,1076857.0
2025-09-09,457.61,457.87,452.42,457.06,1008428.0
2025-09-08,462.925,462.925,452.765,459.11,1477595.0
2025-09-05,456.765,463.98,456.765,463.9,1465197.0
2025-09-04,450.96,457.17,449.5,456.85,1449229.0
2025-09-03,451.07,452.0,446.69,449.06,1522468.0
2025-09-02,453.8,455.77,447.5901,452.5,1645554.0
2025-08-29,457.52,459.9,454.875,455.63,1373187.0
2025-08-28,453.87,456.55,450.36,456.18,1386030.0
2025-08-27,456.87,459.47,454.0,454.47,1294214.0
2025-08-26,450.52,456.37,447.0,455.46,2051502.0
2025-08-25,447.07,448.75,445.1,447.72,985189.0
2025-08-22,449.99,452.56,444.8601,446.2,1890334.0
2025-08-21,444.99,448.49,444.7,447.2,1026288.0
2025-08-20,440.14,447.08,440.14,446.0,1282792.0
2025-08-19,439.86,444.5,438.6,441.1,1248122.0
2025-08-18,440.55,443.77,439.12,440.64,1154395.0
2025-08-15,437.84,441.425,436.46,437.56,1501663.0
2025-08-14,436.04,443.9,434.84,437.32,1733619.0
2025-08-13,432.52,443.45,431.42,442.57,1890577.0
2025-08-12,425.92,431.59,425.0,431.56,1493389.0
2025-08-11,426.0,427.82,424.12,426.26,1462070.0
2025-08-08,431.19,433.59,423.91,425.63,1478047.0
2025-08-07,430.43,434.85,428.05,430.75,1490332.0
2025-08-06,427.765,436.62,427.6601,434.85,2032345.0
2025-08-05,423.33,430.07,421.86,428.24,1643922.0
2025-08-04,420.0,424.6,419.0,423.7,1548178.0
2025-08-01,420.76,423.96,417.0,421.01,2006314.0
2025-07-31,417.13,422.5847,412.5501,420.98,2178023.0
2025-07-30,420.13,422.8,417.15,418.68,1632102.0
2025-07-29,422.74,423.65,417.35,420.13,2428781.0
2025-07-28,425.9,428.86,421.17,421.34,2423723.0
2025-07-25,421.54,425.67,418.51,421.17,2461751.0
2025-07-24,421.0,426.8838,420.13,420.55,3083942.0
2025-07-23,413.755,423.37,411.0,419.39,4578552.0
2025-07-22,422.75,437.45,410.11,410.74,8886507.0
2025-07-21,464.64,467.36,460.53,460.53,1577788.0
2025-07-18,469.22,471.21,460.97,463.96,1845269.0
2025-07-17,470.5,474.4,467.71,469.2,926150.0
2025-07-16,469.67,472.6,466.4106,471.47,935241.0
2025-07-15,473.29,473.94,468.51,470.12,1039511.0
2025-07-14,470.0,474.76,468.0,473.57,1488005.0
2025-07-11,464.75,468.21,461.82,467.51,1209186.0
2025-07-10,458.68,466.48,456.0,464.31,1255293.0
2025-07-09,465.38,465.9855,460.205,463.06,892696.0
2025-07-08,464.2,466.6236,460.65,463.01,1242958.0
2025-07-07,464.5,470.5499,461.37,469.06,1224120.0
2025-07-03,463.71,465.35,460.97,462.52,707859.0
2025-07-02,466.0,466.925,458.61,462.55,1127591.0
2025-07-01,463.0,469.44,460.0,465.94,1242775.0
2025-06-30,459.45,463.82,457.875,463.14,1205616.0
2025-06-27,455.64,459.18,451.46,458.59,1996362.0
2025-06-26,459.31,464.072,456.635,457.9,1590105.0
2025-06-25,464.21,464.88,456.5,458.39,1265509.0
2025-06-24,467.85,468.7,457.68,460.2,1970232.0
2025-06-23,472.93,482.37,468.53,472.46,2666358.0
2025-06-20,469.0,474.31,461.11,470.56,2419367.0
2025-06-18,478.45,482.36,467.96,468.6,1871162.0
2025-06-17,470.76,481.5844,467.5,479.34,2191204.0
2025-06-16,482.01,482.73,464.5224,467.06,2766611.0
2025-06-13,478.97,488.3,473.35,486.45,2729692.0
2025-06-12,457.31,469.27,456.5,469.27,1700596.0
2025-06-11,464.15,464.15,443.409,456.6,3618239.0
