date,Open,High,Low,Close,Volume
2025-10-31,40.94,42.13,40.515,42.0,2335276.0
2025-10-30,40.525,42.66,39.69,40.69,2539758.0
2025-10-29,39.95,40.6612,39.595,40.03,1425616.0
2025-10-28,40.36,40.36,39.67,40.12,1329393.0
2025-10-27,40.34,40.62,39.76,40.32,1226747.0
2025-10-24,39.65,40.33,39.65,39.93,834933.0
2025-10-23,39.32,39.735,39.265,39.35,893638.0
2025-10-22,39.72,39.95,38.94,39.42,1209814.0
2025-10-21,38.99,39.8025,38.95,39.72,1105582.0
2025-10-20,38.71,39.26,38.6475,39.0,997422.0
2025-10-17,38.06,38.675,38.04,38.54,1120943.0
2025-10-16,39.19,39.28,37.985,38.04,1837946.0
2025-10-15,40.38,40.514,39.1915,39.53,1190372.0
2025-10-14,38.75,40.61,38.75,40.25,1026872.0
2025-10-13,38.82,39.515,38.72,39.24,1280787.0
2025-10-10,39.75,39.77,38.04,38.04,1489461.0
2025-10-09,40.35,40.635,39.59,39.91,1119706.0
2025-10-08,40.43,40.85,39.63,39.88,1391258.0
2025-10-07,40.46,40.82,40.02,40.06,1331306.0
2025-10-06,41.18,41.57,40.14,40.25,1840549.0
2025-10-03,40.5,41.09,40.41,41.09,1689799.0
2025-10-02,39.94,40.54,39.79,40.35,1277354.0
2025-10-01,39.99,40.33,39.78,40.11,1476652.0
2025-09-30,40.41,40.69,39.73,40.33,1302127.0
2025-09-29,40.74,40.74,39.84,40.46,1879746.0
2025-09-26,40.53,40.95,40.25,40.67,1309331.0
2025-09-25,40.39,40.98,40.04,40.19,1282049.0
2025-09-24,40.72,41.0,40.43,40.76,1100300.0
2025-09-23,40.94,41.7538,40.533,40.55,2657954.0
2025-09-22,40.73,41.245,40.42,41.03,2013600.0
2025-09-19,41.32,41.345,40.42,41.26,5562094.0
2025-09-18,39.43,39.84,39.14,39.8,2090877.0
2025-09-17,39.68,40.243,39.205,39.36,2445120.0
2025-09-16,40.77,41.02,39.059,39.44,3031919.0
2025-09-15,42.04,42.04,41.07,41.25,1531373.0
2025-09-12,42.02,42.45,41.84,42.15,1399618.0
2025-09-11,41.52,42.21,41.22,42.15,1731425.0
2025-09-10,41.6,41.9,41.02,41.55,1494827.0
2025-09-09,42.08,42.261,41.44,41.57,1977411.0
2025-09-08,42.16,42.16,40.3668,41.68,3395412.0
2025-09-05,43.35,43.48,42.0,42.11,1700304.0
2025-09-04,43.28,43.66,42.97,43.22,1293655.0
2025-09-03,42.44,43.3,42.44,43.29,2494021.0
2025-09-02,42.05,42.7,41.315,42.67,1478181.0
2025-08-29,42.82,43.12,42.6804,42.93,1414952.0
2025-08-28,42.57,42.86,42.42,42.77,1330510.0
2025-08-27,42.29,42.92,42.29,42.43,1596505.0
2025-08-26,41.77,42.61,41.7,42.61,1459862.0
2025-08-25,41.73,42.2,41.7225,41.9,1446721.0
2025-08-22,40.91,42.36,40.835,41.94,1868724.0
2025-08-21,40.66,41.02,40.53,40.65,1023739.0
2025-08-20,40.35,41.0,40.35,40.88,1299641.0
2025-08-19,40.25,40.96,40.195,40.58,1422092.0
2025-08-18,40.27,40.35,39.75,40.19,1515594.0
2025-08-15,41.0,41.085,40.51,40.57,1620939.0
2025-08-14,40.24,40.99,40.02,40.98,1740073.0
2025-08-13,39.85,40.67,39.65,40.61,2014806.0
2025-08-12,38.66,39.8,38.51,39.7,1709442.0
2025-08-11,38.25,38.4989,37.99,38.22,1853133.0
2025-08-08,38.38,38.64,37.84,38.16,2578951.0
2025-08-07,39.52,39.72,38.03,38.26,1880941.0
2025-08-06,38.98,39.73,38.81,39.44,2782042.0
2025-08-05,38.47,38.92,38.02,38.78,2568489.0
2025-08-04,37.43,38.005,36.8801,37.92,2454743.0
2025-08-01,37.28,37.39,35.2089,36.87,3188487.0
2025-07-31,35.75,38.19,35.535,38.11,6386323.0
2025-07-30,34.75,35.0,33.915,34.2,3254104.0
2025-07-29,35.38,35.55,35.0,35.04,2830838.0
2025-07-28,34.93,35.115,34.72,35.07,1603210.0
2025-07-25,34.8,34.89,34.38,34.83,1154290.0
2025-07-24,35.11,35.31,34.6501,34.72,1216541.0
2025-07-23,34.92,35.4,34.76,35.26,1497208.0
2025-07-22,34.16,34.64,33.9966,34.5,1511473.0
2025-07-21,34.73,34.89,34.08,34.12,1886176.0
2025-07-18,34.7,34.7,34.2,34.55,1589312.0
2025-07-17,33.36,34.615,33.3,34.48,1932960.0
2025-07-16,33.59,33.9,33.05,33.65,2309334.0
2025-07-15,34.45,34.64,33.37,33.37,2166335.0
2025-07-14,33.9,34.71,33.85,34.69,1580096.0
2025-07-11,33.82,34.33,33.5669,34.07,1463403.0
2025-07-10,34.18,34.27,33.68,34.25,2015048.0
