date,Open,High,Low,Close,Volume
2025-10-31,238.08,239.335,236.45,238.13,2404946.0
2025-10-30,238.07,243.32,237.01,239.82,2077030.0
2025-10-29,242.5,243.57,236.87,238.49,3121386.0
2025-10-28,242.26,246.625,242.09,244.07,1613082.0
2025-10-27,243.45,244.47,241.74,243.65,1939596.0
2025-10-24,245.34,246.03,242.71,242.71,1804093.0
2025-10-23,242.11,244.78,239.99,243.87,2234799.0
2025-10-22,244.28,246.14,242.52,243.53,2508352.0
2025-10-21,241.88,247.0,241.0,245.27,2056175.0
2025-10-20,244.98,246.1,242.26,242.27,2110566.0
2025-10-17,243.21,245.22,243.21,244.7,2549749.0
2025-10-16,242.34,243.2,240.44,243.1,2258714.0
2025-10-15,241.51,246.075,240.5235,241.53,2569572.0
2025-10-14,233.92,241.74,233.23,240.75,3130340.0
2025-10-13,233.0,235.98,232.64,234.48,3072070.0
2025-10-10,235.35,236.13,231.61,232.22,2158590.0
2025-10-09,237.6,237.96,234.48,234.67,2285086.0
2025-10-08,239.41,239.41,237.24,237.59,1995689.0
2025-10-07,241.11,241.34,237.945,239.89,2597807.0
2025-10-06,246.12,246.49,240.5275,241.67,3307704.0
2025-10-03,246.56,247.73,245.53,246.35,2023559.0
2025-10-02,246.63,248.9999,246.35,247.33,1952309.0
2025-10-01,251.11,251.26,246.455,247.99,3106631.0
2025-09-30,252.81,253.6,249.63,251.31,3114495.0
2025-09-29,257.13,257.335,250.73,253.32,3282140.0
2025-09-26,255.61,257.69,254.2,257.12,1923595.0
2025-09-25,254.92,257.43,254.17,255.53,2877910.0
2025-09-24,258.29,259.51,256.34,257.33,3156029.0
2025-09-23,259.56,260.78,257.25,259.81,2972901.0
2025-09-22,265.0,265.41,260.36,260.39,3435420.0
2025-09-19,267.53,267.63,265.11,265.2,4079150.0
2025-09-18,269.07,270.57,267.49,267.57,2301723.0
2025-09-17,272.6,274.98,266.86,267.95,2854562.0
2025-09-16,272.93,273.275,269.41,270.52,1940749.0
2025-09-15,271.48,272.65,269.1,272.09,2648353.0
2025-09-12,270.06,272.6,269.53,271.83,2906277.0
2025-09-11,267.84,273.41,267.2101,272.4,2253586.0
2025-09-10,268.41,269.0,265.08,266.55,1918258.0
2025-09-09,272.28,272.28,267.595,269.03,3120808.0
2025-09-08,269.21,273.22,268.68,273.02,4465199.0
2025-09-05,267.37,270.68,265.23,269.97,4488357.0
2025-09-04,263.04,264.71,261.47,264.57,2258933.0
2025-09-03,257.45,261.39,257.0,260.68,1869030.0
2025-09-02,256.45,259.01,255.61,258.74,1783660.0
2025-08-29,257.77,258.8099,255.96,258.06,2177733.0
2025-08-28,259.2,259.435,255.6939,257.54,1779192.0
2025-08-27,258.84,260.635,258.075,258.67,2149071.0
2025-08-26,258.47,258.76,256.1401,258.33,2865352.0
2025-08-25,262.06,262.645,258.75,258.87,2336749.0
2025-08-22,257.35,265.4999,254.64,263.73,3796690.0
2025-08-21,256.08,258.6686,254.3201,255.65,2697253.0
2025-08-20,265.395,267.52,256.4525,257.14,5226000.0
2025-08-19,254.76,258.38,254.76,256.36,4702560.0
2025-08-18,251.7,253.0,250.47,250.89,2977124.0
2025-08-15,254.17,254.17,249.425,252.06,3026801.0
2025-08-14,252.01,253.78,251.57,253.05,3635195.0
2025-08-13,247.5,258.5,246.73,256.33,6030329.0
2025-08-12,241.94,245.36,240.9389,244.87,2973350.0
2025-08-11,241.55,243.17,237.81,239.85,2689705.0
2025-08-08,239.1,242.14,238.3025,241.15,2746407.0
2025-08-07,240.0,241.26,236.61,238.56,1948334.0
2025-08-06,237.56,239.71,236.57,238.29,2448844.0
2025-08-05,234.385,238.29,234.125,237.46,3107407.0
2025-08-04,226.405,234.55,226.28,233.81,3871305.0
2025-08-01,223.51,228.15,221.755,226.4,3400947.0
2025-07-31,225.9,228.32,222.98,223.57,2778602.0
2025-07-30,230.25,231.13,225.5161,227.43,2047634.0
2025-07-29,230.33,230.84,228.15,230.04,1853163.0
2025-07-28,226.75,231.85,225.5,229.99,3302385.0
2025-07-25,226.5,227.3258,225.09,226.8,2053537.0
2025-07-24,228.06,229.48,225.51,225.56,2083634.0
2025-07-23,226.68,228.985,225.77,228.61,2337300.0
2025-07-22,222.65,227.24,221.5,226.83,2880001.0
2025-07-21,220.03,222.74,219.62,220.91,2904702.0
2025-07-18,219.305,219.85,217.56,219.16,2399245.0
2025-07-17,216.35,219.03,215.85,218.58,2474059.0
2025-07-16,215.5,216.65,212.559,216.6,3604675.0
2025-07-15,223.01,223.06,214.91,215.01,2947168.0
2025-07-14,223.27,224.1832,219.8,222.4,2767371.0
2025-07-11,225.58,226.705,223.44,224.13,1840323.0
2025-07-10,224.76,230.36,224.495,227.91,2417270.0
2025-07-09,224.2,225.66,222.1125,225.57,2339394.0
2025-07-08,224.05,226.8285,223.4,223.67,2672036.0
2025-07-07,227.74,228.27,222.65,224.99,2740527.0
2025-07-03,226.98,228.53,224.04,228.31,1777904.0
2025-07-02,229.13,229.3861,225.56,226.94,2174540.0
2025-07-01,219.52,232.1666,219.14,228.64,3974824.0
2025-06-30,224.07,224.84,219.65,221.87,2735369.0
2025-06-27,221.42,225.22,221.27,223.63,3256659.0
2025-06-26,221.25,222.81,220.05,221.23,2254661.0
2025-06-25,219.5,221.61,218.19,220.7,2082949.0
2025-06-24,219.0,220.41,217.71,219.98,2210033.0
2025-06-23,212.79,218.79,211.79,218.57,2639485.0
2025-06-20,211.655,212.93,210.33,212.75,6148480.0
2025-06-18,212.56,213.6899,210.41,210.83,2528356.0
2025-06-17,215.05,215.78,211.1221,211.92,2518595.0
2025-06-16,218.36,218.605,214.81,216.08,2392491.0
2025-06-13,221.25,223.25,216.33,217.27,2426030.0
