date,Open,High,Low,Close,Volume
2025-10-31,30.0,30.39,29.915,30.3,8462531.0
2025-10-30,30.49,30.77,30.05,30.09,6580197.0
2025-10-29,31.02,31.13,30.455,30.66,10919926.0
2025-10-28,32.15,32.175,31.025,31.09,11384729.0
2025-10-27,32.46,32.74,31.865,32.25,9621299.0
2025-10-24,32.05,32.43,31.38,32.2,15189625.0
2025-10-23,32.82,33.15,31.02,31.65,27807764.0
2025-10-22,34.36,34.75,33.43,33.76,10576371.0
2025-10-21,34.12,34.975,34.06,34.68,9404988.0
2025-10-20,33.78,34.665,33.6046,34.43,7636047.0
2025-10-17,33.23,33.795,33.19,33.52,8264447.0
2025-10-16,33.67,34.05,32.84,33.29,11017205.0
2025-10-15,33.75,33.88,33.25,33.56,7429138.0
2025-10-14,31.52,33.625,31.42,33.42,11028910.0
2025-10-13,31.73,32.32,31.555,31.9,4892675.0
2025-10-10,31.85,32.63,31.055,31.29,7987373.0
2025-10-09,33.53,33.73,31.47,31.68,10590263.0
2025-10-08,32.66,32.7,32.11,32.45,7689060.0
2025-10-07,32.57,32.755,32.093,32.39,8065890.0
2025-10-06,32.54,32.7098,31.77,32.58,6908523.0
2025-10-03,32.75,33.485,32.51,32.52,9214128.0
2025-10-02,32.28,32.575,31.835,32.31,7439164.0
2025-10-01,31.99,32.5475,31.81,32.28,8546790.0
2025-09-30,32.83,32.89,30.765,31.91,10283395.0
2025-09-29,32.76,33.06,32.405,32.76,9139354.0
2025-09-26,32.14,32.605,32.0,32.53,6825040.0
2025-09-25,32.875,32.875,31.655,31.93,9892721.0
2025-09-24,33.38,33.9,32.965,33.06,8455144.0
2025-09-23,32.25,33.41,32.235,33.34,12691387.0
2025-09-22,32.25,32.45,31.91,32.3,10781555.0
2025-09-19,32.485,32.75,31.98,32.52,22411196.0
2025-09-18,32.2,32.4,31.64,32.27,9021344.0
2025-09-17,31.74,32.625,31.56,32.12,10892480.0
2025-09-16,31.51,31.7057,30.71,31.57,8162187.0
2025-09-15,31.76,31.79,31.19,31.43,8911023.0
2025-09-12,31.87,32.455,31.54,31.66,10397651.0
2025-09-11,31.35,31.84,30.6,31.72,11511910.0
2025-09-10,30.81,31.425,30.575,31.11,7513559.0
2025-09-09,31.61,31.68,30.635,30.99,6896149.0
2025-09-08,31.27,31.855,31.195,31.71,9332548.0
2025-09-05,31.23,31.86,30.99,31.39,8027905.0
2025-09-04,32.37,32.68,30.9,31.12,10494937.0
2025-09-03,32.16,33.35,32.12,32.33,4303824.0
2025-09-02,32.32,32.94,31.705,32.25,7200609.0
2025-08-29,33.02,33.07,32.63,32.9,3665964.0
2025-08-28,33.35,33.35,32.545,32.98,5208309.0
2025-08-27,33.37,33.64,33.025,33.19,5190223.0
2025-08-26,32.53,33.51,32.495,33.4,8181781.0
2025-08-25,32.42,32.79,32.42,32.52,7783342.0
2025-08-22,31.22,32.87,31.22,32.77,8447662.0
2025-08-21,31.0,31.11,30.55,31.07,4871933.0
2025-08-20,31.23,31.66,31.1,31.18,5369024.0
2025-08-19,31.35,31.715,31.22,31.59,5219585.0
2025-08-18,31.34,31.417,31.02,31.31,8090712.0
2025-08-15,30.87,31.765,30.75,31.5,7885009.0
2025-08-14,30.52,30.82,30.22,30.7,5812660.0
2025-08-13,30.63,31.15,30.4,30.97,7876999.0
2025-08-12,29.38,30.88,29.33,30.72,12198059.0
2025-08-11,29.6,29.93,28.975,29.06,7961236.0
2025-08-08,29.94,30.005,29.5,29.62,7085985.0
2025-08-07,29.93,30.07,29.36,29.56,6313341.0
2025-08-06,29.93,30.235,29.56,29.71,8835964.0
2025-08-05,29.85,30.23,29.535,29.92,9324548.0
2025-08-04,29.98,30.18,29.61,29.75,7020340.0
2025-08-01,30.28,30.31,29.34,29.8,12572454.0
2025-07-31,30.5,31.29,30.37,30.93,13500807.0
2025-07-30,31.36,31.36,30.45,30.71,11884163.0
2025-07-29,32.65,32.835,31.09,31.1,13281741.0
2025-07-28,33.0,33.06,32.12,32.52,15894435.0
2025-07-25,33.35,33.3893,32.62,33.21,16999774.0
2025-07-24,36.095,36.25,32.4,33.26,44107108.0
2025-07-23,37.55,37.845,37.355,37.44,12692511.0
2025-07-22,36.85,37.425,36.85,37.17,10725264.0
2025-07-21,36.6,37.28,36.56,36.86,9189211.0
2025-07-18,36.65,36.76,36.1801,36.51,8191296.0
2025-07-17,37.625,37.96,36.3,36.47,15297247.0
2025-07-16,37.39,37.6,36.7726,37.41,8705762.0
2025-07-15,37.38,37.67,37.05,37.13,9849638.0
2025-07-14,37.2,37.74,37.13,37.7,10600980.0
2025-07-11,37.29,37.51,36.8342,37.13,10378100.0
2025-07-10,35.55,37.845,35.285,37.35,23743090.0
2025-07-09,34.32,34.825,34.12,34.54,9786340.0
2025-07-08,34.06,34.475,33.83,33.98,7706771.0
2025-07-07,34.0,34.445,33.26,33.81,8574756.0
2025-07-03,34.0,34.235,33.86,34.08,3733353.0
2025-07-02,33.71,34.095,33.4,33.99,9172628.0
2025-07-01,32.21,33.56,32.18,33.41,15871591.0
2025-06-30,32.4,32.51,32.03,32.44,9701342.0
2025-06-27,31.75,32.425,31.46,32.16,21619258.0
2025-06-26,31.5,31.69,31.4175,31.52,6318855.0
2025-06-25,31.97,32.02,31.225,31.34,7059801.0
2025-06-24,32.42,32.69,31.72,31.86,10884356.0
2025-06-23,31.29,32.09,30.72,31.88,10928960.0
2025-06-20,31.3,31.78,31.14,31.39,17650873.0
2025-06-18,31.32,31.63,30.92,31.16,8961454.0
2025-06-17,31.7,31.98,31.155,31.44,12669202.0
2025-06-16,32.03,32.68,31.86,32.2,10310313.0
2025-06-13,31.66,32.45,31.4,31.73,12160568.0
2025-06-12,32.99,33.17,32.405,32.58,10415787.0
2025-06-11,34.45,34.58,33.245,33.49,11325776.0
