date,Open,High,Low,Close,Volume
2025-10-31,58.76,59.5,58.52,59.35,4747637.0
2025-10-30,58.51,59.315,57.6012,58.95,4090036.0
2025-10-29,58.22,59.4,58.11,58.78,4544517.0
2025-10-28,59.2,59.54,57.82,58.2,4666811.0
2025-10-27,58.59,59.66,58.21,59.44,6496252.0
2025-10-24,56.99,58.29,56.47,57.6,6124154.0
2025-10-23,54.56,57.7,53.85,56.89,13414105.0
2025-10-22,50.3,51.055,49.85,50.62,4374414.0
2025-10-21,49.58,50.77,49.195,50.62,3815626.0
2025-10-20,49.89,50.66,49.42,49.73,7701630.0
2025-10-17,49.11,49.8,48.31,48.54,7964444.0
2025-10-16,50.11,50.11,48.6,49.14,4497602.0
2025-10-15,48.19,49.91,48.19,49.03,4861666.0
2025-10-14,45.91,48.41,45.91,48.04,6517573.0
2025-10-13,48.5,48.68,46.29,46.47,11891696.0
2025-10-10,52.03,52.03,49.48,49.61,6608995.0
2025-10-09,52.98,52.98,50.9,51.86,5423632.0
2025-10-08,51.93,54.18,51.835,53.27,5252473.0
2025-10-07,52.25,52.5,51.61,51.8,3172580.0
2025-10-06,51.63,53.11,51.535,52.27,5959313.0
2025-10-03,54.47,54.55,50.64,50.97,8163334.0
2025-10-02,54.95,55.45,54.34,55.05,3202759.0
2025-10-01,53.87,55.145,53.58,54.77,3888274.0
2025-09-30,55.24,55.24,53.39,53.79,4110929.0
2025-09-29,54.93,55.485,54.09,55.25,4291406.0
2025-09-26,53.02,54.46,52.9898,54.01,3285899.0
2025-09-25,52.89,53.405,52.53,53.06,2735698.0
2025-09-24,53.28,53.4673,52.5,52.99,3383507.0
2025-09-23,53.0,54.05,52.91,53.07,4747192.0
2025-09-22,54.43,54.61,52.84,52.86,5920686.0
2025-09-19,53.62,54.41,53.1763,53.87,15691876.0
2025-09-18,52.84,53.26,52.19,53.21,4336191.0
2025-09-17,52.15,53.135,51.68,52.71,5051110.0
2025-09-16,52.63,52.7155,51.55,51.86,6442377.0
2025-09-15,53.45,53.49,52.46,53.09,5734994.0
2025-09-12,54.89,54.91,53.32,53.5,5880975.0
2025-09-11,54.63,54.905,53.86,54.71,5815944.0
2025-09-10,54.19,54.67,53.82,54.5,4945790.0
2025-09-09,53.72,54.27,53.535,54.0,4732726.0
2025-09-08,53.9,53.94,53.09,53.75,6145923.0
2025-09-05,55.1,55.3,53.61,53.7,5133778.0
2025-09-04,55.41,55.41,54.62,55.11,4841598.0
2025-09-03,56.91,56.91,55.2,55.37,5902272.0
2025-09-02,56.87,57.42,56.3943,57.01,5159749.0
2025-08-29,57.5,58.05,57.271,57.63,3245375.0
2025-08-28,57.3,57.74,57.11,57.71,3126725.0
2025-08-27,55.81,56.92,55.81,56.7,3176697.0
2025-08-26,56.09,56.86,55.81,56.19,5484133.0
2025-08-25,55.5,56.55,55.44,56.22,4559429.0
2025-08-22,53.75,55.209,53.54,55.05,4015111.0
2025-08-21,53.41,53.79,53.18,53.51,3451934.0
2025-08-20,53.17,54.08,53.17,53.62,3728947.0
2025-08-19,53.0,53.81,52.77,53.6,3902490.0
2025-08-18,53.76,53.9799,52.76,52.8,4643902.0
2025-08-15,54.3,54.57,53.65,53.66,3487759.0
2025-08-14,53.82,54.3,53.64,54.12,3812620.0
2025-08-13,53.89,54.39,53.5815,54.33,4584312.0
2025-08-12,53.15,54.43,52.95,53.89,5304544.0
2025-08-11,52.92,53.135,52.27,53.02,3688957.0
2025-08-08,52.1,53.19,51.57,52.63,2608187.0
2025-08-07,52.97,53.27,52.625,53.01,2895406.0
2025-08-06,52.41,52.869,51.95,52.72,2770233.0
2025-08-05,52.42,52.72,51.62,52.2,3240271.0
