date,Open,High,Low,Close,Volume
2025-10-31,61.65,61.86,60.66,61.73,2772037.0
2025-10-30,62.9,63.375,62.14,62.19,1489733.0
2025-10-29,65.2,65.736,62.69,63.18,2081459.0
2025-10-28,66.45,66.56,65.16,65.57,1058804.0
2025-10-27,66.76,67.07,66.12,66.57,1482356.0
2025-10-24,65.73,66.66,65.0,66.38,1528205.0
2025-10-23,64.28,65.22,63.54,65.16,1448233.0
2025-10-22,64.75,64.9636,63.97,64.75,1441578.0
2025-10-21,65.87,65.9,64.48,64.65,2410783.0
2025-10-20,65.57,66.285,64.92,65.67,2489299.0
2025-10-17,65.015,65.18,64.38,65.01,2139256.0
2025-10-16,64.37,65.205,64.02,64.96,1500519.0
2025-10-15,64.0,64.7,63.63,63.98,1437319.0
2025-10-14,63.34,64.25,62.94,64.16,1389807.0
2025-10-13,63.67,64.1,62.51,63.81,1461579.0
2025-10-10,64.83,66.16,63.48,63.75,2349756.0
2025-10-09,63.87,64.78,63.5,64.58,1499041.0
2025-10-08,63.8,64.61,63.26,64.02,1734468.0
2025-10-07,63.5,63.57,62.35,63.31,2800987.0
2025-10-06,62.66,63.49,62.4,63.4,2622147.0
2025-10-03,62.3,63.14,61.96,62.9,2409715.0
2025-10-02,62.2,63.75,62.02,62.14,2822792.0
2025-10-01,58.21,62.897,58.21,62.01,4445882.0
2025-09-30,59.41,60.6,56.54,58.08,6314546.0
2025-09-29,55.98,56.32,54.93,55.67,4258796.0
2025-09-26,52.93,55.3,52.51,55.22,2742002.0
2025-09-25,53.58,54.07,52.49,52.83,1062030.0
2025-09-24,54.41,54.88,53.46,53.77,1103385.0
2025-09-23,55.44,55.77,54.11,54.32,1116844.0
2025-09-22,55.52,55.935,54.638,55.37,1183918.0
2025-09-19,56.77,56.77,55.52,55.66,2174535.0
2025-09-18,56.18,57.0,55.975,56.47,1268761.0
2025-09-17,57.7,57.93,55.55,55.65,1828087.0
2025-09-16,56.43,57.8595,56.325,57.74,1834489.0
2025-09-15,56.85,57.1,56.09,56.09,1629570.0
2025-09-12,56.88,57.155,56.23,56.42,1009521.0
2025-09-11,56.33,57.78,56.08,57.12,1401191.0
2025-09-10,56.79,56.79,54.84,55.87,1495476.0
2025-09-09,57.37,57.88,56.9,57.12,1311154.0
2025-09-08,57.43,57.67,56.32,57.57,1533199.0
2025-09-05,55.74,58.16,55.74,58.0,1659067.0
2025-09-04,56.64,56.972,55.48,55.77,1096510.0
2025-09-03,56.39,56.78,55.19,56.55,1302521.0
2025-09-02,57.08,57.61,56.34,56.55,1345909.0
2025-08-29,56.34,57.68,56.02,57.53,1115354.0
2025-08-28,56.55,56.615,55.79,56.25,1142866.0
2025-08-27,56.07,56.93,55.92,56.66,1056555.0
2025-08-26,56.07,56.495,55.625,56.41,1486215.0
2025-08-25,56.75,56.795,55.83,55.98,975401.0
2025-08-22,55.17,57.03,54.935,56.99,1203599.0
2025-08-21,54.86,55.17,54.49,54.66,1361284.0
2025-08-20,54.96,55.49,54.47,55.19,1046596.0
2025-08-19,54.64,55.7,54.55,55.1,1114475.0
2025-08-18,54.41,54.91,54.06,54.3,1090595.0
2025-08-15,55.04,55.15,53.96,54.15,1093988.0
2025-08-14,53.88,54.85,53.64,54.83,1458449.0
2025-08-13,52.97,55.26,52.73,54.73,1936841.0
2025-08-12,51.65,53.5,51.47,52.97,1799618.0
2025-08-11,51.4,52.2,51.39,51.65,1130926.0
2025-08-08,51.92,52.6663,51.165,51.55,1064737.0
2025-08-07,51.99,52.37,50.72,52.12,1736342.0
2025-08-06,53.26,53.26,51.25,51.45,2137932.0
2025-08-05,54.4,54.67,53.05,53.16,1948376.0
2025-08-04,55.95,56.592,54.57,54.64,1945527.0
2025-08-01,56.75,56.82,55.5,55.99,1668742.0
2025-07-31,58.16,58.785,56.7,57.07,2605026.0
2025-07-30,59.76,59.76,58.42,58.7,1405579.0
2025-07-29,59.21,59.89,58.56,59.46,1635642.0
2025-07-28,60.25,60.6985,59.17,59.22,2310676.0
2025-07-25,58.23,61.02,58.11,60.86,3561707.0
2025-07-24,57.1,58.7,55.72,58.61,3771644.0
2025-07-23,56.06,59.5,54.98,57.19,10537918.0
2025-07-22,48.22,49.32,48.13,49.17,3397331.0
2025-07-21,49.32,49.5,47.87,48.04,3464689.0
2025-07-18,50.5,50.5,48.81,49.0,2577057.0
2025-07-17,50.16,50.62,49.745,50.49,2645133.0
2025-07-16,49.74,50.05,48.71,50.0,2781658.0
2025-07-15,51.41,51.52,49.74,49.79,1663584.0
2025-07-14,50.43,51.44,50.245,51.07,2510626.0
2025-07-11,50.85,51.51,49.85,51.32,2328188.0
2025-07-10,51.09,51.79,50.58,51.38,2961186.0
2025-07-09,52.02,53.68,50.9,51.26,2880070.0
2025-07-08,51.19,53.63,50.93,52.34,3605463.0
2025-07-07,52.22,52.5892,50.95,50.97,2049025.0
2025-07-03,52.8,53.25,52.305,52.47,1089845.0
2025-07-02,52.46,53.77,52.44,52.76,1936258.0
2025-07-01,51.77,53.22,51.43,52.37,3170707.0
2025-06-30,54.0,55.04,51.465,51.85,3147673.0
2025-06-27,53.46,53.5275,52.61,53.4,3555736.0
2025-06-26,53.36,53.65,52.86,53.19,1117584.0
2025-06-25,53.22,53.54,52.6,53.01,1520152.0
2025-06-24,54.53,54.89,53.38,53.79,1585053.0
2025-06-23,53.58,54.32,53.25,54.09,1303266.0
2025-06-20,53.21,53.71,52.64,53.53,2430305.0
2025-06-18,53.25,54.315,52.97,53.22,2141554.0
2025-06-17,54.89,55.35,53.79,53.95,2076725.0
2025-06-16,55.05,55.49,54.2,55.29,1651609.0
2025-06-13,55.77,56.985,54.515,54.8,1635101.0
2025-06-12,55.11,56.28,54.64,56.28,962164.0
2025-06-11,55.64,56.01,55.35,55.77,1683918.0
