date,Open,High,Low,Close,Volume
2025-10-31,148.09,151.14,147.46,149.53,2814881.0
2025-10-30,148.01,150.4599,147.39,148.02,3026210.0
2025-10-29,150.26,152.74,149.08,149.19,2009405.0
2025-10-28,153.25,153.255,150.58,151.07,1702412.0
2025-10-27,153.91,154.19,151.9,153.17,1377840.0
2025-10-24,154.0,155.25,152.8,152.86,1347375.0
2025-10-23,156.72,157.99,152.51,153.33,1914763.0
2025-10-22,159.19,159.19,154.78,156.15,1849970.0
2025-10-21,156.71,158.385,156.69,157.24,1218165.0
2025-10-20,155.43,158.18,155.43,156.77,1872088.0
2025-10-17,152.14,156.45,151.63,155.19,3933823.0
2025-10-16,154.78,156.24,150.79,151.71,1546530.0
2025-10-15,153.13,156.71,152.12,155.23,2290989.0
2025-10-14,152.85,154.04,151.7,152.83,1493824.0
2025-10-13,153.93,155.27,153.32,153.86,2590653.0
2025-10-10,152.425,154.55,151.475,152.96,2115996.0
2025-10-09,149.5,153.69,149.27,152.75,4681929.0
2025-10-08,151.18,152.89,149.02,149.95,6429260.0
2025-10-07,155.89,156.04,153.9,155.33,2298768.0
2025-10-06,155.27,156.41,153.01,155.94,2000769.0
2025-10-03,156.65,156.705,152.925,156.32,2436019.0
2025-10-02,159.53,159.53,155.39,156.67,2169398.0
2025-10-01,161.0,161.97,156.63,158.88,3391957.0
2025-09-30,165.27,168.11,163.38,163.4,6747216.0
2025-09-29,162.93,165.57,160.5,164.36,2607022.0
2025-09-26,162.36,163.21,161.31,161.79,1964374.0
2025-09-25,161.16,162.88,159.95,161.99,1969265.0
2025-09-24,164.46,164.65,161.76,162.08,2322876.0
2025-09-23,165.37,166.15,163.31,164.13,1407578.0
2025-09-22,161.83,165.604,161.63,165.15,1962906.0
2025-09-19,164.65,164.65,161.36,163.72,3822725.0
2025-09-18,169.85,169.85,163.21,164.68,4224564.0
2025-09-17,171.0,171.3701,167.84,169.37,3168076.0
2025-09-16,170.07,170.95,166.83,170.42,3120080.0
2025-09-15,173.79,175.25,171.61,172.38,4176493.0
2025-09-12,173.75,175.25,172.72,173.73,1408360.0
2025-09-11,170.89,174.42,170.655,174.06,2456707.0
2025-09-10,170.84,172.0767,169.4213,170.9,2025534.0
2025-09-09,170.86,170.86,168.24,170.3,2150152.0
2025-09-08,163.94,169.66,163.9,169.4,2340992.0
2025-09-05,162.975,163.57,162.065,163.42,1244565.0
2025-09-04,162.73,163.75,161.55,162.98,2449261.0
2025-09-03,166.44,167.94,160.16,161.97,2653672.0
2025-09-02,164.3,165.57,163.2,165.47,1461337.0
2025-08-29,166.64,167.0,165.58,166.49,1028143.0
2025-08-28,165.78,167.22,165.45,166.62,1066518.0
