date,Open,High,Low,Close,Volume
2025-10-31,19.66,19.76,19.265,19.49,5677777.0
2025-10-30,19.45,19.94,19.24,19.54,6332162.0
2025-10-29,19.65,19.9898,19.39,19.54,7191455.0
2025-10-28,19.3,19.7,19.13,19.7,4930136.0
2025-10-27,19.0,19.5225,18.865,19.38,6099432.0
2025-10-24,18.81,18.995,18.67,18.72,6610251.0
2025-10-23,18.58,19.08,18.52,18.64,6495893.0
2025-10-22,18.2,18.73,18.185,18.56,6247411.0
2025-10-21,17.97,18.47,17.89,18.24,5804661.0
2025-10-20,17.9,18.01,17.72,17.98,4386808.0
2025-10-17,17.81,17.98,17.61,17.82,6116162.0
2025-10-16,17.86,18.175,17.66,17.96,8308448.0
2025-10-15,17.96,18.14,17.72,17.9,6153854.0
2025-10-14,17.12,17.94,17.052,17.83,9267031.0
2025-10-13,16.86,17.5,16.82,17.45,12647203.0
2025-10-10,17.3,17.352,16.41,16.51,10442329.0
2025-10-09,17.6,17.7718,17.25,17.28,8409869.0
2025-10-08,17.85,18.08,17.58,17.72,7199021.0
2025-10-07,18.32,18.4429,17.7,17.77,8074166.0
2025-10-06,18.35,18.47,17.995,18.3,9507254.0
2025-10-03,18.3,18.35,17.96,18.21,7025326.0
2025-10-02,17.9,18.295,17.885,18.19,7305366.0
2025-10-01,17.83,18.13,17.535,17.96,7342237.0
2025-09-30,18.11,18.295,17.635,17.93,7849273.0
2025-09-29,18.0,18.28,17.67,18.17,8393509.0
2025-09-26,17.18,18.1,17.065,18.0,13714722.0
2025-09-25,17.23,17.365,16.91,17.08,7652521.0
2025-09-24,17.13,17.4876,17.05,17.38,12573084.0
2025-09-23,17.0,17.335,16.905,17.13,7382064.0
2025-09-22,17.53,17.53,16.85,16.89,10739067.0
2025-09-19,17.59,17.9,17.335,17.55,10508014.0
2025-09-18,17.51,17.87,17.465,17.61,6833201.0
2025-09-17,17.52,17.83,17.28,17.4,8727544.0
2025-09-16,17.45,17.61,17.2405,17.43,7321075.0
2025-09-15,16.81,17.46,16.54,17.44,8823153.0
2025-09-12,17.41,17.44,16.92,16.95,11828827.0
2025-09-11,17.1,17.62,17.065,17.46,9333985.0
2025-09-10,17.0,17.205,16.84,17.04,10139036.0
2025-09-09,17.16,17.33,16.84,17.21,11136994.0
2025-09-08,17.66,17.66,16.8563,17.09,11669249.0
2025-09-05,17.25,17.56,17.03,17.33,18331539.0
2025-09-04,16.37,17.3,16.0,17.24,26119176.0
2025-09-03,15.43,16.43,15.3,16.28,48342738.0
2025-09-02,13.15,13.53,13.09,13.49,13292614.0
2025-08-29,13.37,13.485,13.18,13.23,8374489.0
2025-08-28,13.62,13.69,13.205,13.36,9026113.0
2025-08-27,13.8,13.8,13.425,13.6,9247340.0
2025-08-26,13.33,13.6485,13.235,13.36,7884687.0
2025-08-25,13.5,13.54,13.14,13.27,4967927.0
2025-08-22,12.99,13.58,12.94,13.58,6803656.0
2025-08-21,12.76,12.95,12.6628,12.94,4840071.0
2025-08-20,12.88,13.01,12.7649,12.88,5099955.0
2025-08-19,13.35,13.4,12.96,13.04,4330583.0
2025-08-18,12.86,13.3,12.77,13.27,6997809.0
2025-08-15,12.97,13.1337,12.65,12.81,4760036.0
2025-08-14,12.95,13.075,12.765,12.96,4509445.0
2025-08-13,12.73,13.275,12.66,13.21,6096981.0
2025-08-12,12.34,12.82,12.2901,12.73,11336345.0
2025-08-11,12.16,12.255,12.02,12.11,5723125.0
2025-08-08,12.09,12.13,11.885,12.08,4379411.0
2025-08-07,12.29,12.3399,11.955,12.11,6172648.0
2025-08-06,12.07,12.28,11.98,12.11,5858019.0
2025-08-05,12.01,12.17,11.77,12.0,9458599.0
2025-08-04,12.36,12.405,11.89,11.9,8576345.0
2025-08-01,12.31,12.395,12.055,12.36,6583774.0
2025-07-31,12.87,13.09,12.45,12.63,7485230.0
2025-07-30,13.29,13.42,12.865,13.02,5585200.0
2025-07-29,13.71,13.77,13.2,13.31,6995852.0
2025-07-28,13.25,13.74,13.205,13.72,10619068.0
2025-07-25,12.74,13.16,12.72,13.08,6730629.0
2025-07-24,12.75,13.045,12.65,12.7,5875318.0
2025-07-23,13.2,13.27,12.71,12.78,9053143.0
2025-07-22,12.84,13.48,12.55,13.01,17316467.0
2025-07-21,12.01,12.3,11.98,12.21,6120118.0
2025-07-18,12.08,12.12,11.8,11.95,5667344.0
2025-07-17,12.04,12.14,11.87,12.0,5368835.0
2025-07-16,12.09,12.165,11.88,12.05,5608421.0
2025-07-15,12.52,12.57,12.05,12.07,8424405.0
2025-07-14,12.44,12.63,12.37,12.48,4402294.0
2025-07-11,12.58,12.655,12.36,12.53,5279294.0
2025-07-10,12.51,12.92,12.51,12.73,6285564.0
2025-07-09,12.65,12.775,12.385,12.5,5100914.0
2025-07-08,12.49,12.74,12.35,12.54,8169201.0
2025-07-07,12.46,12.57,12.225,12.45,4950498.0
2025-07-03,12.52,12.58,12.345,12.52,3638226.0
2025-07-02,12.4,12.5,12.1,12.48,7705989.0
2025-07-01,11.56,12.515,11.52,12.33,14304646.0
2025-06-30,11.4,11.845,11.39,11.66,9053071.0
2025-06-27,11.29,11.635,11.15,11.35,9485360.0
2025-06-26,11.02,11.19,10.87,11.12,5640864.0
2025-06-25,10.85,11.07,10.72,11.02,6873210.0
2025-06-24,10.83,10.995,10.73,10.81,10444535.0
2025-06-23,10.91,10.975,10.54,10.64,10948887.0
2025-06-20,11.16,11.4,10.9901,11.05,8569174.0
2025-06-18,11.3,11.4852,11.03,11.07,7312322.0
2025-06-17,11.69,11.788,11.33,11.33,6018495.0
2025-06-16,11.44,11.89,11.36,11.88,8000474.0
2025-06-13,11.54,11.665,11.19,11.24,6145901.0
2025-06-12,11.99,12.15,11.84,11.9,6425880.0
2025-06-11,12.44,12.485,12.075,12.16,5293026.0
