date,Open,High,Low,Close,Volume
2025-10-31,128.18,130.61,127.92,128.23,1687276.0
2025-10-30,126.455,129.6,126.455,128.81,2662446.0
2025-10-29,129.87,130.39,126.05,126.28,1869805.0
2025-10-28,132.25,132.71,130.525,130.71,1017551.0
2025-10-27,133.91,133.99,132.4301,133.01,1081992.0
2025-10-24,134.75,135.1899,133.9278,133.99,720323.0
2025-10-23,134.5,135.1,132.88,134.43,837640.0
2025-10-22,134.12,135.42,132.8705,134.36,832703.0
2025-10-21,133.21,134.28,132.17,133.4,1004908.0
2025-10-20,132.9,133.9,132.27,132.89,761228.0
2025-10-17,131.84,133.24,131.4,132.7,794887.0
2025-10-16,132.0,132.78,131.17,131.43,752774.0
2025-10-15,132.1,133.335,131.6,132.0,1068486.0
2025-10-14,134.48,135.055,133.24,133.76,893911.0
2025-10-13,134.51,135.34,134.055,134.54,533000.0
2025-10-10,135.3,135.42,133.28,134.55,510618.0
2025-10-09,136.29,136.33,134.35,134.91,479934.0
2025-10-08,135.49,136.61,134.97,135.85,757511.0
2025-10-07,136.03,137.69,135.49,136.22,735016.0
2025-10-06,137.22,137.52,135.42,136.0,904430.0
2025-10-03,136.78,137.54,136.37,136.7,874318.0
2025-10-02,137.5,137.815,136.07,136.26,954904.0
2025-10-01,139.42,139.88,137.97,138.0,832785.0
2025-09-30,138.11,139.76,138.0,139.73,1150885.0
2025-09-29,138.7,139.21,137.6362,138.61,1071459.0
2025-09-26,139.08,140.585,138.39,139.57,801092.0
2025-09-25,140.48,141.69,138.25,138.74,692082.0
2025-09-24,141.14,141.87,139.76,140.43,870479.0
2025-09-23,141.17,141.83,140.36,141.12,528339.0
2025-09-22,140.295,141.76,139.43,141.25,868759.0
2025-09-19,140.6,141.97,140.17,140.86,1566405.0
2025-09-18,139.38,140.83,139.13,140.54,560413.0
2025-09-17,139.47,141.89,139.2,139.55,519327.0
2025-09-16,140.69,141.73,139.01,139.39,612850.0
2025-09-15,142.2,142.57,140.38,140.61,633581.0
2025-09-12,143.82,143.995,141.7,142.2,737061.0
2025-09-11,141.0,144.55,141.0,144.09,779401.0
2025-09-10,145.35,145.8,141.15,141.46,744252.0
2025-09-09,143.92,145.54,143.7,145.43,930802.0
2025-09-08,143.86,144.71,143.56,144.65,585383.0
2025-09-05,144.73,146.41,144.12,145.4,620287.0
2025-09-04,144.03,144.405,142.32,144.0,516673.0
2025-09-03,141.91,143.49,141.8301,143.41,769688.0
2025-09-02,144.83,145.295,141.8975,142.3,665087.0
2025-08-29,143.82,145.96,143.82,145.82,594416.0
2025-08-28,144.42,144.42,142.86,144.13,389148.0
2025-08-27,143.2,145.0,142.74,144.42,970242.0
2025-08-26,142.14,143.17,141.79,142.62,1129086.0
2025-08-25,142.35,143.03,141.37,142.03,722525.0
2025-08-22,141.95,143.725,141.56,143.03,849670.0
2025-08-21,141.33,142.66,140.76,141.01,635849.0
2025-08-20,143.11,144.66,142.27,142.36,922063.0
2025-08-19,140.58,142.41,140.56,142.4,810641.0
2025-08-18,141.6,141.75,140.0,140.06,623421.0
2025-08-15,139.87,141.62,139.57,140.9,927468.0
2025-08-14,139.43,140.21,138.4,140.03,879777.0
2025-08-13,138.18,139.99,137.94,139.77,1637710.0
2025-08-12,138.52,138.82,137.32,138.38,910949.0
2025-08-11,140.51,141.0,138.34,138.48,724995.0
2025-08-08,142.44,142.485,140.01,140.48,481246.0
2025-08-07,141.28,142.45,140.62,142.15,587326.0
2025-08-06,141.7,142.485,139.65,140.61,807956.0
2025-08-05,140.43,142.95,139.52,141.8,996337.0
2025-08-04,140.0,142.025,139.48,140.1,1154396.0
2025-08-01,144.25,144.25,138.67,140.0,1382707.0
2025-07-31,146.33,149.175,142.14,142.43,1824721.0
2025-07-30,151.63,151.72,147.32,148.79,1302342.0
2025-07-29,149.69,152.355,149.1701,152.32,619448.0
2025-07-28,151.24,151.64,149.14,149.35,714307.0
2025-07-25,151.39,151.9,150.515,151.65,560427.0
2025-07-24,152.91,153.31,151.48,151.68,569866.0
2025-07-23,153.22,153.93,152.24,152.73,701921.0
2025-07-22,150.03,153.47,150.03,153.2,678839.0
2025-07-21,151.41,152.05,149.83,150.02,741173.0
2025-07-18,150.76,151.95,150.27,150.77,720098.0
2025-07-17,150.69,151.57,150.195,150.66,867192.0
2025-07-16,147.72,150.585,147.525,150.36,1027598.0
2025-07-15,149.44,149.7,146.785,147.43,1022677.0
2025-07-14,151.0,152.75,150.78,151.26,696555.0
2025-07-11,149.35,151.5,149.35,150.72,940004.0
2025-07-10,150.07,152.83,149.0682,151.1,1219310.0
2025-07-09,151.0,151.06,149.505,150.23,800799.0
2025-07-08,148.73,151.585,148.73,150.26,1186508.0
2025-07-07,150.47,152.305,148.905,150.09,1262440.0
2025-07-03,148.92,150.941,148.01,150.47,403534.0
2025-07-02,148.49,149.81,147.0,149.21,1680625.0
2025-07-01,148.02,150.1,146.0728,148.9,912340.0
2025-06-30,147.48,148.1,145.13,148.01,825894.0
2025-06-27,147.9,149.08,147.02,147.85,956598.0
2025-06-26,146.64,147.5,145.405,147.46,1236027.0
2025-06-25,148.14,148.19,145.24,145.91,1386993.0
2025-06-24,149.9,150.16,148.34,149.17,1312697.0
2025-06-23,149.17,150.77,148.32,150.16,779776.0
2025-06-20,149.65,150.2339,147.91,148.56,1473185.0
2025-06-18,149.51,150.21,148.53,148.92,1187081.0
2025-06-17,149.65,150.57,148.6,148.99,840633.0
2025-06-16,150.84,151.41,149.12,149.53,663969.0
2025-06-13,150.51,151.17,148.93,149.85,862796.0
2025-06-12,150.59,151.45,149.23,151.45,907656.0
2025-06-11,151.86,152.265,149.76,150.36,1399981.0
