date,Open,High,Low,Close,Volume
2025-10-31,64.56,65.18,64.31,64.76,2536915.0
2025-10-30,65.01,66.585,64.695,64.99,3033678.0
2025-10-29,64.5,68.0,63.98,65.22,4483839.0
2025-10-28,68.33,69.27,67.795,68.43,4224931.0
2025-10-27,68.25,69.31,68.08,68.32,1976388.0
2025-10-24,70.11,70.45,68.015,68.14,2203042.0
2025-10-23,69.08,69.65,68.39,69.49,1306245.0
2025-10-22,69.86,70.39,68.94,68.98,1412982.0
2025-10-21,68.19,70.51,68.0,70.18,1437899.0
2025-10-20,68.16,68.95,67.88,68.71,1472272.0
2025-10-17,68.09,68.41,67.335,67.87,1802442.0
2025-10-16,67.83,68.12,67.17,68.03,1748100.0
2025-10-15,68.28,68.92,67.16,67.51,1547053.0
2025-10-14,65.57,68.445,65.412,68.13,1968409.0
2025-10-13,65.97,66.19,65.45,65.99,2105267.0
2025-10-10,67.84,68.17,64.975,65.09,2261831.0
2025-10-09,68.81,68.82,67.1,67.4,1484130.0
2025-10-08,68.62,68.99,67.94,68.81,1269081.0
2025-10-07,68.67,69.045,68.335,68.53,1895647.0
2025-10-06,70.52,70.725,68.565,68.79,1852595.0
2025-10-03,71.03,71.66,70.34,70.38,1502173.0
2025-10-02,70.19,71.06,69.84,71.0,1761275.0
2025-10-01,69.84,70.7499,69.7,70.22,1597230.0
2025-09-30,70.21,70.545,69.54,70.39,1821139.0
2025-09-29,71.01,71.1,69.18,70.04,2302555.0
2025-09-26,70.71,70.84,69.73,70.44,1721169.0
2025-09-25,70.89,71.75,70.26,70.48,1868821.0
2025-09-24,71.1,71.975,70.965,71.58,2548856.0
2025-09-23,71.24,71.63,70.725,71.58,3548673.0
2025-09-22,72.02,72.5,71.03,71.03,3003472.0
2025-09-19,73.09,73.09,72.03,72.24,4819569.0
2025-09-18,72.86,73.285,72.425,72.99,2902669.0
2025-09-17,73.71,75.535,71.78,72.47,2772241.0
2025-09-16,73.8,74.065,73.065,73.3,2082546.0
2025-09-15,74.12,74.205,73.07,73.46,1487461.0
2025-09-12,74.66,75.03,73.54,73.63,1639605.0
2025-09-11,73.47,75.42,73.17,75.22,1694813.0
2025-09-10,73.49,73.91,73.03,73.17,1975054.0
2025-09-09,75.17,75.455,72.995,73.45,3140530.0
2025-09-08,75.88,76.1,74.26,75.8,2319842.0
2025-09-05,75.09,76.28,74.93,76.07,2806501.0
2025-09-04,72.9,74.01,72.455,73.98,1760800.0
2025-09-03,72.11,72.49,71.65,72.33,1148613.0
2025-09-02,72.16,72.61,71.53,72.38,2277390.0
2025-08-29,73.64,73.955,73.03,73.39,1098499.0
2025-08-28,74.73,74.85,73.03,73.55,1498172.0
2025-08-27,73.97,74.9,73.92,74.54,2237199.0
2025-08-26,74.41,75.03,74.18,74.26,2713450.0
2025-08-25,74.94,75.305,74.29,74.5,1776497.0
2025-08-22,72.77,76.405,72.315,75.58,2447920.0
2025-08-21,72.37,72.63,71.8,72.32,1423967.0
2025-08-20,74.03,74.715,73.01,73.02,2418621.0
2025-08-19,73.63,75.41,73.375,74.48,1928335.0
2025-08-18,73.51,73.75,73.05,73.05,1612566.0
2025-08-15,73.68,74.21,72.97,73.52,2377019.0
2025-08-14,73.54,73.69,72.88,73.57,2144400.0
2025-08-13,71.56,74.735,71.3301,74.64,2584355.0
2025-08-12,69.49,71.39,69.26,71.21,3031427.0
2025-08-11,69.56,69.94,68.31,68.9,2155401.0
2025-08-08,69.28,69.7,69.005,69.29,1435676.0
2025-08-07,70.06,70.61,69.12,69.35,2663633.0
2025-08-06,70.15,70.42,69.05,69.33,2437765.0
2025-08-05,69.35,70.75,69.295,69.96,2334914.0
2025-08-04,69.17,69.8,68.47,69.46,3214763.0
2025-08-01,67.85,69.04,67.0,68.83,4104880.0
2025-07-31,71.66,72.69,67.84,68.13,5236518.0
2025-07-30,66.57,66.71,65.19,65.73,4454541.0
2025-07-29,67.5,67.86,66.19,66.65,3194243.0
2025-07-28,67.63,68.36,67.05,67.5,1866529.0
2025-07-25,67.95,68.035,67.225,67.75,1590453.0
2025-07-24,67.85,67.9,66.66,67.43,3028078.0
2025-07-23,67.55,68.34,66.91,67.86,3402116.0
2025-07-22,64.31,66.9,64.2218,66.71,2262549.0
2025-07-21,65.91,66.0,65.04,65.13,1678152.0
2025-07-18,66.33,66.33,65.17,65.56,1654020.0
2025-07-17,65.16,66.04,65.1,65.88,1216201.0
2025-07-16,64.59,65.29,63.85,64.98,1418355.0
2025-07-15,66.71,67.7,64.39,64.44,2078218.0
2025-07-14,65.61,66.07,64.88,65.91,1724582.0
2025-07-11,66.53,66.62,65.53,65.85,1808047.0
2025-07-10,67.0,68.49,66.95,67.5,1402089.0
2025-07-09,65.99,67.11,65.36,66.89,1599386.0
2025-07-08,65.37,66.635,65.17,65.55,2001721.0
2025-07-07,66.12,66.55,64.82,65.3,1435997.0
2025-07-03,67.16,67.58,66.18,66.38,1335842.0
2025-07-02,67.34,67.5,66.46,67.28,2320751.0
2025-07-01,63.8,68.54,63.685,67.1,3292704.0
2025-06-30,64.49,64.52,63.77,64.36,1910817.0
2025-06-27,64.02,64.74,63.6,64.17,2796058.0
2025-06-26,63.71,63.94,63.17,63.74,2263576.0
2025-06-25,63.67,63.78,62.9,63.19,1452413.0
2025-06-24,63.45,63.95,63.16,63.78,2584221.0
2025-06-23,60.76,63.105,60.67,62.95,3147023.0
2025-06-20,61.24,61.86,61.1324,61.19,5148329.0
2025-06-18,61.15,61.87,60.73,60.9,2520455.0
2025-06-17,61.72,62.565,60.84,61.12,2779850.0
2025-06-16,62.62,62.7,61.6,62.49,1908481.0
2025-06-13,62.46,63.09,61.57,61.88,1762729.0
2025-06-12,63.69,64.26,62.75,63.83,1668622.0
2025-06-11,65.97,66.28,63.82,63.86,1578057.0
