date,Open,High,Low,Close,Volume
2025-10-31,300.0,300.71,297.0,298.43,3582719.0
2025-10-30,300.5,304.39,300.1042,302.43,3128398.0
2025-10-29,304.7,304.78,301.215,302.35,2502261.0
2025-10-28,308.54,310.58,306.325,306.4,2336495.0
2025-10-27,305.9,310.09,305.34,310.0,2139674.0
2025-10-24,307.63,307.7,305.0152,305.79,1994545.0
2025-10-23,311.97,311.97,306.22,306.97,2081527.0
2025-10-22,308.22,312.79,307.145,310.11,2735723.0
2025-10-21,308.55,308.55,306.39,307.48,2461407.0
2025-10-20,307.95,308.6999,305.84,307.77,2329755.0
2025-10-17,306.8,308.33,306.3075,308.09,2194185.0
2025-10-16,305.79,307.28,304.715,305.33,2021608.0
2025-10-15,303.63,309.1,303.63,305.25,2522103.0
2025-10-14,300.16,305.52,300.1101,304.56,2992849.0
2025-10-13,294.6,300.42,294.0,300.11,3369584.0
2025-10-10,294.7,297.9483,292.89,297.01,4016226.0
2025-10-09,293.65,295.12,292.04,293.81,2802739.0
2025-10-08,296.38,296.66,293.43,294.4,2464566.0
2025-10-07,295.0,298.065,294.1337,296.32,2516057.0
2025-10-06,299.04,299.645,294.91,296.04,3814151.0
2025-10-03,298.9,301.39,298.663,300.98,2599053.0
2025-10-02,299.6,302.38,298.95,299.88,2690402.0
2025-10-01,303.26,304.77,298.3,300.52,3055347.0
2025-09-30,302.75,304.48,302.0,303.89,2640436.0
2025-09-29,305.88,306.105,301.85,302.99,3073835.0
2025-09-26,303.37,305.78,302.01,305.24,2284795.0
2025-09-25,305.88,306.33,301.95,302.3,2558353.0
2025-09-24,302.49,305.98,302.01,304.33,2427617.0
2025-09-23,303.74,304.45,300.315,303.19,2976905.0
2025-09-22,302.32,304.25,300.42,302.99,3657877.0
2025-09-19,301.7,304.8,300.75,302.38,5696853.0
2025-09-18,301.47,302.6886,297.88,301.14,4654057.0
2025-09-17,304.9,306.58,303.91,304.97,2681606.0
2025-09-16,303.5,305.9999,302.7,303.29,3578515.0
2025-09-15,305.14,305.71,300.5114,302.07,3584545.0
2025-09-12,307.62,308.5099,305.25,305.4,2072848.0
2025-09-11,306.23,308.94,305.25,308.43,2761496.0
2025-09-10,312.09,312.09,304.61,305.94,3479927.0
2025-09-09,311.21,313.7,310.725,312.52,2310842.0
2025-09-08,312.82,313.08,309.76,312.8,2873797.0
2025-09-05,317.365,318.04,313.27,314.38,2533259.0
2025-09-04,317.82,319.425,316.48,316.99,2881528.0
2025-09-03,315.02,316.87,312.98,316.39,3108874.0
2025-09-02,313.05,316.13,312.325,315.76,3228651.0
2025-08-29,312.23,313.9,311.43,313.54,2492471.0
