date,Open,High,Low,Close,Volume
2025-10-31,62.07,63.13,61.59,62.42,7081600.0
2025-10-30,62.78,63.42,61.92,62.07,5752927.0
2025-10-29,63.68,64.305,62.14,62.54,9882348.0
2025-10-28,64.51,64.61,63.0,63.64,4808713.0
2025-10-27,63.96,65.17,63.49,64.55,7362043.0
2025-10-24,65.99,66.05,63.12,63.17,7533177.0
2025-10-23,62.93,65.29,62.93,65.09,7224565.0
2025-10-22,65.21,66.06,63.3,64.5,9989802.0
2025-10-21,66.96,68.0,66.305,67.52,5611928.0
2025-10-20,66.07,67.665,65.65,67.07,5562062.0
2025-10-17,64.81,65.63,64.26,65.135,4582855.0
2025-10-16,65.97,66.405,64.39,65.35,5193203.0
2025-10-15,65.5,65.75,63.655,65.21,10045634.0
2025-10-14,62.22,66.61,62.22,64.6,9058386.0
2025-10-13,62.8,64.92,62.18,64.39,8316555.0
2025-10-10,65.98,66.29,60.2,60.41,12554647.0
2025-10-09,66.7,66.75,65.08,65.86,3842859.0
2025-10-08,65.32,67.125,64.68,66.92,6149921.0
2025-10-07,67.03,67.415,64.735,64.96,6049286.0
2025-10-06,67.23,67.77,64.35,66.59,6410220.0
2025-10-03,66.39,69.0,66.35,66.54,6368394.0
2025-10-02,64.775,67.06,64.415,66.13,6221003.0
2025-10-01,63.98,64.89,63.325,64.11,8399387.0
2025-09-30,64.27,64.87,63.03,64.22,7686713.0
2025-09-29,64.875,65.105,64.005,64.07,6499781.0
2025-09-26,64.665,65.0,63.76,64.42,4110784.0
2025-09-25,65.45,65.45,63.74,64.84,4621152.0
2025-09-24,64.85,66.25,64.67,65.85,5874256.0
2025-09-23,65.74,66.51,64.48,64.71,6218938.0
2025-09-22,65.5,66.2,65.01,65.4,6466459.0
2025-09-19,66.31,66.5,63.87,65.15,13348425.0
2025-09-18,67.025,67.8654,65.96,66.26,9831984.0
2025-09-17,64.39,67.62,63.99,65.78,7381580.0
2025-09-16,63.64,64.72,63.29,64.45,7680290.0
2025-09-15,64.0,64.67,62.27,63.17,6803956.0
2025-09-12,65.12,65.65,64.41,64.7,4608203.0
2025-09-11,64.74,65.22,63.78,65.02,6455699.0
2025-09-10,64.91,65.7,64.17,64.74,5407504.0
2025-09-09,65.285,65.68,64.43,64.76,4192830.0
2025-09-08,66.35,66.875,64.83,65.3,7153405.0
2025-09-05,64.735,67.09,64.36,65.92,7765189.0
2025-09-04,64.0,64.71,61.1,64.43,11088135.0
2025-09-03,63.55,63.75,61.595,63.28,6963309.0
2025-09-02,63.27,63.85,62.28,63.6,6639114.0
2025-08-29,65.07,65.68,64.3175,65.0,9209777.0
2025-08-28,66.6,67.57,65.08,65.25,13999152.0
2025-08-27,66.94,67.22,66.285,66.65,8212045.0
2025-08-26,68.275,69.3,67.26,67.62,8740367.0
2025-08-25,69.14,69.14,67.97,68.55,5326854.0
2025-08-22,66.25,70.7,66.14,69.14,12430340.0
2025-08-21,66.43,66.68,65.7,66.1,5932634.0
2025-08-20,65.0,66.91,63.68,66.76,10209083.0
2025-08-19,65.56,66.4,64.4,64.71,5069665.0
2025-08-18,65.64,66.01,65.04,65.56,4991723.0
2025-08-15,66.13,66.55,65.6,65.71,7744534.0
2025-08-14,64.55,66.33,63.41,65.99,6843018.0
2025-08-13,64.82,66.12,64.1701,65.75,8379639.0
2025-08-12,61.94,66.495,61.68,64.5,12676129.0
2025-08-11,61.92,62.89,60.84,60.95,10238970.0
2025-08-08,61.58,63.945,60.875,61.87,20070575.0
2025-08-07,67.81,68.38,65.775,66.22,13767506.0
2025-08-06,66.9,67.44,65.65,66.17,6366094.0
2025-08-05,67.64,68.18,65.3803,67.13,9872932.0
2025-08-04,66.83,67.5,66.445,66.59,8552307.0
2025-08-01,68.55,68.61,64.67,66.36,11544637.0
2025-07-31,69.7,70.0579,66.81,67.59,15369562.0
2025-07-30,70.92,71.1,69.48,70.29,6430760.0
2025-07-29,71.03,71.54,69.83,70.68,5449068.0
2025-07-28,69.71,71.08,69.345,70.53,6765045.0
2025-07-25,67.77,69.265,67.675,69.21,8354555.0
2025-07-24,68.92,69.42,66.73,67.81,13363750.0
2025-07-23,70.7,71.745,68.2,70.25,19476755.0
2025-07-22,73.41,75.56,73.0912,75.26,8819430.0
2025-07-21,75.15,76.09,73.8,73.85,6153715.0
2025-07-18,75.18,75.6304,74.0504,74.78,5239429.0
2025-07-17,74.22,74.545,73.42,74.3,6255515.0
2025-07-16,72.9,74.44,72.055,74.43,7036553.0
2025-07-15,75.015,75.4,73.08,73.11,6016548.0
2025-07-14,73.575,74.471,72.775,74.05,5756188.0
2025-07-11,74.03,75.06,73.725,74.56,4885943.0
2025-07-10,75.6,77.2,74.99,75.08,7550480.0
2025-07-09,74.385,75.5815,73.9,74.68,6484478.0
2025-07-08,72.7,75.745,72.29,74.56,11350568.0
2025-07-07,72.96,73.565,71.115,71.48,7790525.0
2025-07-03,73.83,74.4,72.94,73.06,3810846.0
2025-07-02,71.51,73.52,70.98,73.16,8245527.0
2025-07-01,69.46,72.5,69.32,71.68,8034499.0
2025-06-30,70.63,70.77,69.5,70.37,5861679.0
2025-06-27,71.05,71.53,69.78,70.49,6885575.0
2025-06-26,71.65,71.85,70.68,70.78,7060669.0
2025-06-25,70.3,71.68,69.34,71.6,7586594.0
2025-06-24,69.8,71.335,69.63,70.43,8422170.0
2025-06-23,69.065,70.63,67.97,68.58,7497952.0
2025-06-20,69.49,69.68,67.38,68.97,19067440.0
2025-06-18,68.0,69.305,67.54,68.02,5642795.0
2025-06-17,67.575,68.75,67.24,67.69,6922853.0
2025-06-16,66.75,68.36,66.48,68.19,9211780.0
2025-06-13,66.54,67.33,65.5,65.73,9841400.0
2025-06-12,68.695,69.19,67.69,67.93,7700287.0
2025-06-11,70.23,71.01,68.84,69.6,12731484.0
