date,Open,High,Low,Close,Volume
2025-10-31,820.09,830.915,808.22,811.34,933216.0
2025-10-30,825.02,846.32,821.7,825.53,919321.0
2025-10-29,803.88,811.615,801.74,807.63,512329.0
2025-10-28,811.44,812.6899,800.54,804.59,453106.0
2025-10-27,801.35,811.86,799.17,811.44,451593.0
2025-10-24,794.4,807.75,791.63,801.67,476444.0
2025-10-23,796.84,799.5,787.01,792.97,454849.0
2025-10-22,792.64,797.27,781.86,795.62,460413.0
2025-10-21,787.82,788.915,780.9,787.29,586274.0
2025-10-20,787.46,793.54,780.31,787.82,413685.0
2025-10-17,781.27,793.11,774.04,786.0,621056.0
2025-10-16,789.23,793.965,774.45,775.44,688777.0
2025-10-15,778.48,792.34,775.995,791.93,574410.0
2025-10-14,773.0,783.89,762.2501,781.9,666680.0
2025-10-13,752.47,775.7,752.47,769.49,535010.0
2025-10-10,758.97,769.44,757.9443,763.55,556857.0
2025-10-09,754.91,759.32,747.6,757.96,423308.0
2025-10-08,752.28,756.36,744.0,755.75,483271.0
2025-10-07,738.46,750.74,733.175,750.13,653457.0
2025-10-06,736.93,743.7,732.765,741.29,724535.0
2025-10-03,758.0,762.16,730.041,738.06,1092969.0
2025-10-02,758.16,764.35,753.345,758.7,664983.0
2025-10-01,770.3,776.14,762.9334,765.08,773267.0
2025-09-30,762.93,774.85,759.86,772.54,960094.0
2025-09-29,758.97,765.24,756.21,761.82,711560.0
2025-09-26,743.18,761.72,741.78,760.55,820441.0
2025-09-25,762.6,763.01,715.31,736.52,1536737.0
2025-09-24,750.0,770.0,745.655,760.58,916845.0
2025-09-23,714.0,748.745,714.0,741.31,1141203.0
2025-09-22,696.2,700.79,687.68,697.0,583855.0
2025-09-19,690.67,699.375,690.67,698.31,1445594.0
2025-09-18,690.98,697.98,688.0,690.13,518663.0
2025-09-17,696.2,700.0,691.3416,692.24,434100.0
2025-09-16,705.1,707.7,691.63,693.45,617472.0
2025-09-15,711.61,715.29,700.98,702.88,630838.0
2025-09-12,717.6,724.0,710.58,711.42,522434.0
2025-09-11,707.16,727.31,706.0,719.8,744948.0
2025-09-10,701.04,709.205,698.77,706.25,504765.0
2025-09-09,696.9,707.18,692.86,705.55,679926.0
2025-09-08,688.0,697.56,683.375,696.98,592164.0
2025-09-05,689.8,690.7099,682.35,687.4,472767.0
2025-09-04,690.57,696.75,688.365,691.45,731611.0
2025-09-03,695.07,695.07,685.4701,690.84,417596.0
2025-09-02,687.33,696.47,684.51,691.62,756087.0
2025-08-29,680.77,688.51,679.65,686.64,880320.0
2025-08-28,682.58,683.9,677.2773,681.02,698722.0
2025-08-27,682.96,686.2719,677.81,683.51,1032062.0
2025-08-26,678.33,682.95,673.38,680.52,1168590.0
2025-08-25,688.33,693.31,678.77,678.91,709769.0
2025-08-22,705.63,709.5,684.71,689.45,1217441.0
2025-08-21,701.54,708.54,698.68,706.0,765876.0
2025-08-20,680.98,703.82,680.83,702.94,1063450.0
2025-08-19,669.81,681.7,667.5,676.91,507917.0
2025-08-18,672.9,677.0,668.5,671.19,512430.0
2025-08-15,677.76,681.9999,671.39,673.05,630708.0
2025-08-14,666.69,677.7,661.69,673.82,669753.0
2025-08-13,666.5,670.9,659.8601,663.17,627400.0
2025-08-12,666.75,666.75,637.0,659.01,1644208.0
2025-08-11,667.24,682.83,667.24,672.77,830832.0
2025-08-08,663.67,671.4,656.49,668.58,1298933.0
2025-08-07,683.5,692.255,648.6,663.25,2172501.0
2025-08-06,703.015,711.48,687.2,703.76,1305534.0
2025-08-05,705.74,713.58,705.0,709.49,1040083.0
2025-08-04,699.45,710.95,697.775,710.94,827439.0
