date,Open,High,Low,Close,Volume
2025-10-31,159.88,162.05,158.655,160.06,528706.0
2025-10-30,158.28,161.36,158.28,159.98,819074.0
2025-10-29,161.81,162.795,158.42,158.85,704777.0
2025-10-28,166.97,167.24,163.09,163.38,536323.0
2025-10-27,172.74,172.74,166.49,167.55,641261.0
2025-10-24,171.27,172.715,170.49,170.55,295529.0
2025-10-23,171.65,172.26,169.05,171.53,312299.0
2025-10-22,171.97,174.95,171.15,171.85,514824.0
2025-10-21,170.41,173.16,170.22,172.925,394245.0
2025-10-20,172.93,173.65,168.83,170.94,843113.0
2025-10-17,171.42,172.76,170.14,171.26,470111.0
2025-10-16,171.58,172.1419,170.0,171.07,546072.0
2025-10-15,170.01,172.67,169.1101,171.55,440272.0
2025-10-14,172.1,173.69,170.125,171.08,525234.0
2025-10-13,176.26,179.0598,172.4,172.9,947624.0
2025-10-10,171.95,177.63,171.55,177.4,852181.0
2025-10-09,171.89,173.41,170.505,172.23,462819.0
2025-10-08,167.68,172.17,165.71,172.13,736810.0
2025-10-07,167.9,170.52,167.35,168.14,1201007.0
2025-10-06,166.45,168.01,161.61,167.88,1640960.0
2025-10-03,169.59,171.98,169.0,170.5,794770.0
2025-10-02,170.36,171.64,168.74,169.59,2428392.0
2025-10-01,175.54,175.78,169.59,170.84,859562.0
2025-09-30,176.53,177.495,174.04,174.25,680948.0
2025-09-29,182.08,182.08,176.98,177.63,710038.0
2025-09-26,179.45,181.235,177.6,180.14,574187.0
2025-09-25,178.96,180.53,177.65,178.17,574891.0
2025-09-24,178.84,180.1,177.0,179.04,664572.0
2025-09-23,178.7,181.375,177.91,179.11,576507.0
2025-09-22,179.99,181.32,176.565,178.42,891450.0
2025-09-19,180.3,180.3,177.84,178.32,9702909.0
2025-09-18,183.16,183.56,179.6,179.71,674960.0
2025-09-17,183.13,185.21,182.515,183.53,593391.0
2025-09-16,181.28,185.17,179.87,182.94,530364.0
2025-09-15,186.19,186.19,180.95,181.68,737089.0
2025-09-12,188.32,189.39,184.62,184.85,648628.0
2025-09-11,185.77,190.47,185.06,188.46,777469.0
2025-09-10,186.61,187.85,183.19,184.63,820906.0
2025-09-09,187.45,188.53,186.25,188.17,680734.0
2025-09-08,188.01,188.185,184.27,187.17,867936.0
2025-09-05,185.0,189.54,183.67,187.5,758253.0
2025-09-04,182.0,182.74,178.2,180.13,716202.0
2025-09-03,179.7,181.69,179.26,181.59,1103338.0
2025-09-02,184.67,184.99,179.0976,180.2,611315.0
2025-08-29,184.22,184.34,182.35,183.84,592373.0
2025-08-28,187.44,188.0,182.15,182.55,648174.0
2025-08-27,189.76,191.0,187.38,187.51,452332.0
2025-08-26,189.34,191.62,189.02,189.78,551893.0
2025-08-25,190.77,192.96,189.75,190.15,818491.0
2025-08-22,187.96,189.325,186.87,188.73,589577.0
