date,Open,High,Low,Close,Volume
2025-10-31,177.9,179.3,176.1,178.15,4252186.0
2025-10-30,180.72,181.48,178.31,178.67,4477775.0
2025-10-29,180.99,182.8,179.2601,179.99,3851138.0
2025-10-28,187.0,187.62,182.73,182.82,2990215.0
2025-10-27,186.87,188.3865,185.745,187.62,2679344.0
2025-10-24,188.15,188.53,186.42,186.55,2119690.0
2025-10-23,189.33,189.52,187.12,188.08,2447560.0
2025-10-22,189.07,189.99,187.605,189.31,2740028.0
2025-10-21,189.25,191.07,188.12,188.95,2751731.0
2025-10-20,189.9,191.05,187.65,189.91,2899624.0
2025-10-17,186.82,191.1,186.0,189.59,5808119.0
2025-10-16,193.95,196.5,185.12,186.48,8749716.0
2025-10-15,205.29,206.04,201.12,203.85,3115710.0
2025-10-14,205.77,207.28,204.51,207.02,2012977.0
2025-10-13,205.51,207.0,203.765,205.36,2659994.0
2025-10-10,207.29,207.825,205.735,207.02,2840988.0
2025-10-09,207.0,207.5,204.57,206.0,3193306.0
2025-10-08,204.22,205.03,203.05,204.75,2656114.0
2025-10-07,202.2,203.995,201.36,203.84,1829681.0
2025-10-06,201.11,201.78,199.78,201.34,1491107.0
2025-10-03,199.24,202.12,199.24,201.14,2291213.0
2025-10-02,199.03,201.6,197.81,199.57,1996594.0
2025-10-01,200.64,201.87,200.24,201.29,2927305.0
2025-09-30,199.44,201.85,199.38,201.53,2490675.0
2025-09-29,199.26,200.28,198.16,200.23,2265258.0
2025-09-26,199.68,200.92,198.53,199.56,1694879.0
2025-09-25,200.77,201.72,197.33,197.97,2324498.0
2025-09-24,196.64,201.08,196.305,199.66,2831265.0
2025-09-23,197.23,198.37,195.63,197.46,2739129.0
2025-09-22,196.87,197.48,195.83,197.04,2355907.0
2025-09-19,197.12,197.935,196.074,196.78,3629997.0
2025-09-18,196.48,198.44,195.0108,196.15,1455511.0
2025-09-17,197.4,199.87,197.07,197.4,1734332.0
2025-09-16,197.04,197.805,196.17,196.83,2162659.0
2025-09-15,203.06,203.72,197.31,198.11,2122669.0
2025-09-12,202.63,204.35,202.4296,202.93,2652548.0
2025-09-11,198.93,203.47,198.39,203.46,2998908.0
2025-09-10,201.03,201.48,198.09,198.77,2529215.0
2025-09-09,202.48,203.58,198.06,201.88,2193938.0
2025-09-08,202.77,203.68,201.03,203.46,1833487.0
2025-09-05,205.77,207.08,203.165,203.74,1516950.0
2025-09-04,205.73,206.965,204.7968,206.11,2683770.0
2025-09-03,204.88,205.715,204.12,205.27,1241065.0
2025-09-02,205.65,207.19,204.51,205.44,2892566.0
2025-08-29,206.73,207.53,205.325,205.81,2404947.0
2025-08-28,206.2,207.01,204.29,206.44,2190301.0
2025-08-27,206.61,207.635,205.92,206.37,1383621.0
2025-08-26,206.66,206.93,205.27,206.42,2050465.0
2025-08-25,210.38,211.28,206.97,207.01,1370677.0
2025-08-22,212.07,212.65,210.11,210.55,1467085.0
2025-08-21,210.45,211.38,209.67,211.11,1503654.0
2025-08-20,212.0,213.8,210.76,211.21,1886821.0
2025-08-19,208.08,211.835,208.075,210.93,1480562.0
2025-08-18,206.75,208.31,206.71,207.65,1731957.0
2025-08-15,207.89,209.28,207.0925,207.21,1767649.0
2025-08-14,209.4,209.87,206.24,206.99,1677118.0
2025-08-13,205.17,210.11,204.41,209.35,2069541.0
2025-08-12,203.68,205.1,202.44,204.41,2469683.0
2025-08-11,203.53,204.66,202.225,203.35,2724499.0
2025-08-08,203.68,204.69,202.15,203.67,2219215.0
2025-08-07,205.02,205.02,201.735,203.31,3026763.0
2025-08-06,200.84,204.49,200.64,203.9,3756577.0
2025-08-05,199.48,201.19,198.96,200.5,2555136.0
2025-08-04,198.9,199.22,197.3541,199.08,2338263.0
2025-08-01,199.97,200.0,196.27,197.78,3514413.0
2025-07-31,199.0,201.06,198.45,199.2,3006613.0
2025-07-30,202.78,203.3476,199.57,200.56,3081154.0
2025-07-29,205.84,206.285,201.5101,202.92,4765167.0
2025-07-28,209.46,209.6925,205.89,206.27,2483256.0
2025-07-25,209.15,211.21,209.08,210.4,2292713.0
2025-07-24,208.72,210.69,208.07,208.32,2767721.0
2025-07-23,211.09,213.0,208.7735,209.8,2414570.0
2025-07-22,210.99,212.9,209.3,210.3,1780000.0
2025-07-21,211.55,213.77,209.84,210.01,2181029.0
2025-07-18,211.06,213.16,210.815,212.28,3524092.0
2025-07-17,214.99,216.315,209.25,211.04,3589738.0
2025-07-16,215.6,215.6,209.5939,211.98,3331101.0
2025-07-15,212.78,213.61,210.85,210.9,2968275.0
2025-07-14,211.74,214.04,211.12,213.57,2409195.0
2025-07-11,213.79,214.22,211.385,211.74,2234454.0
2025-07-10,213.76,215.235,212.63,214.71,2234049.0
2025-07-09,212.84,214.33,212.035,214.17,1852742.0
