date,Open,High,Low,Close,Volume
2025-10-31,66.25,67.07,65.88,66.83,5003824.0
2025-10-30,66.87,67.45,66.27,66.57,8725477.0
2025-10-29,68.87,68.92,66.41,66.56,5796947.0
2025-10-28,69.1579,69.54,68.47,69.32,3472329.0
2025-10-27,70.16,70.16,69.59,69.68,3936845.0
2025-10-24,70.26,70.38,69.45,69.69,2401324.0
2025-10-23,69.59,69.97,69.13,69.89,3043095.0
2025-10-22,68.69,70.46,68.69,69.72,5132419.0
2025-10-21,69.83,69.99,68.59,68.9,5866820.0
2025-10-20,70.65,70.72,69.315,69.76,4675683.0
2025-10-17,70.57,70.65,69.88,70.22,4723065.0
2025-10-16,69.06,70.51,68.77,70.16,6355845.0
2025-10-15,68.47,69.19,67.845,68.65,4414747.0
2025-10-14,67.15,68.9,67.01,68.61,6203723.0
2025-10-13,68.99,69.495,66.94,67.15,6425434.0
2025-10-10,69.34,70.06,69.2,69.62,6769353.0
2025-10-09,68.77,69.28,68.5,69.03,3797736.0
2025-10-08,68.45,69.2,67.86,68.73,7629965.0
2025-10-07,67.03,68.28,66.98,68.15,5798296.0
2025-10-06,67.11,67.23,66.33,67.09,3254394.0
2025-10-03,67.45,67.89,67.13,67.17,3095281.0
2025-10-02,66.9,67.885,66.56,67.58,4318482.0
2025-10-01,67.15,67.84,66.705,67.43,5051574.0
2025-09-30,67.13,67.445,66.7128,67.31,4775569.0
2025-09-29,65.7,67.12,65.5,66.96,7321763.0
2025-09-26,64.76,65.46,64.42,65.34,3097820.0
2025-09-25,65.39,65.545,64.21,64.59,3132868.0
2025-09-24,64.4,65.14,64.24,64.93,3996901.0
2025-09-23,63.98,64.5,63.01,64.48,4189156.0
2025-09-22,63.78,64.35,63.47,63.98,4668693.0
2025-09-19,64.86,64.86,63.525,64.13,13013868.0
2025-09-18,66.03,66.57,64.61,64.64,5903507.0
2025-09-17,66.38,67.125,65.84,66.52,6551724.0
2025-09-16,64.19,66.3,64.19,66.16,8652940.0
2025-09-15,64.93,65.41,64.3,64.35,4334954.0
2025-09-12,63.8,64.78,63.64,64.69,4842597.0
2025-09-11,62.935,64.09,62.7,63.8,3618026.0
2025-09-10,63.1,64.12,62.49,62.83,4830091.0
2025-09-09,62.86,64.01,62.73,63.35,4465496.0
2025-09-08,62.32,63.03,62.07,63.02,4194481.0
2025-09-05,63.53,63.66,62.13,62.46,3338667.0
2025-09-04,63.58,63.91,63.115,63.45,5148742.0
2025-09-03,62.17,63.53,62.155,63.51,4605600.0
2025-09-02,62.45,62.89,61.9,62.67,3846643.0
2025-08-29,61.93,62.53,61.76,62.41,4164488.0
2025-08-28,61.77,62.465,61.61,62.02,4329117.0
2025-08-27,62.09,62.19,60.97,61.73,4499408.0
2025-08-26,62.16,62.52,61.84,62.12,7095795.0
2025-08-25,62.64,63.07,62.05,62.3,4935249.0
2025-08-22,64.73,65.0,62.63,62.84,4681499.0
2025-08-21,64.45,64.99,63.915,64.36,4117028.0
2025-08-20,64.29,65.24,64.06,64.39,4952263.0
2025-08-19,64.25,64.3,63.292,63.99,5572132.0
2025-08-18,64.81,64.83,63.94,64.12,4467072.0
2025-08-15,64.49,65.015,64.29,64.64,4846826.0
2025-08-14,64.15,64.49,63.76,64.2,4040261.0
2025-08-13,64.22,64.22,63.18,64.15,5729762.0
2025-08-12,63.73,64.585,63.585,64.03,7503109.0
2025-08-11,64.43,64.59,62.71,63.66,8590087.0
2025-08-08,65.5,66.75,64.35,64.69,12216160.0
2025-08-07,59.96,60.97,59.8,60.8,9030471.0
2025-08-06,59.455,59.66,58.54,59.5,11643632.0
2025-08-05,60.24,60.5,58.74,59.04,8787824.0
2025-08-04,59.11,60.47,59.03,60.35,6075163.0
2025-08-01,58.75,59.34,58.09,59.02,12248612.0
2025-07-31,60.59,60.81,58.47,58.75,10841100.0
