date,Open,High,Low,Close,Volume
2025-10-31,196.2,196.5,193.33,194.91,1538966.0
2025-10-30,196.44,200.65,195.49,195.63,1697231.0
2025-10-29,191.57,197.46,190.32,195.75,1624593.0
2025-10-28,194.63,196.1446,191.95,192.21,1170993.0
2025-10-27,196.72,197.56,194.34,196.23,2622610.0
2025-10-24,196.89,198.79,195.97,196.22,1233261.0
2025-10-23,190.09,197.33,189.97,195.96,1931394.0
2025-10-22,184.07,188.82,181.79,188.54,1710115.0
2025-10-21,186.11,186.7,182.61,182.87,1282408.0
2025-10-20,184.93,187.3,184.68,186.27,957927.0
2025-10-17,183.36,185.5,181.18,184.47,1954288.0
2025-10-16,185.3,185.3,180.32,181.15,1193732.0
2025-10-15,184.65,185.415,181.91,183.83,1882647.0
2025-10-14,181.41,186.09,181.25,183.12,1389673.0
2025-10-13,183.75,185.0899,182.37,183.4,1095515.0
2025-10-10,186.0,187.68,180.72,180.89,1678432.0
2025-10-09,189.72,190.89,186.63,187.56,1284034.0
2025-10-08,191.0,191.16,188.02,188.71,2416746.0
2025-10-07,192.72,193.4899,187.805,191.54,1352292.0
2025-10-06,193.62,197.1,193.19,193.52,1013228.0
2025-10-03,195.25,198.75,193.14,193.14,1968743.0
2025-10-02,191.03,192.94,189.42,192.24,1642839.0
2025-10-01,192.09,193.4758,191.08,192.31,1265196.0
2025-09-30,194.78,195.64,191.29,192.74,1532154.0
2025-09-29,198.33,198.44,194.495,196.47,1402212.0
2025-09-26,198.0,201.61,197.07,198.69,2042793.0
2025-09-25,193.1,196.7,192.075,196.44,1811431.0
2025-09-24,191.51,194.92,191.0,193.1,1526773.0
2025-09-23,187.74,192.61,187.17,190.87,1787467.0
2025-09-22,185.58,188.7,185.2478,187.25,1783239.0
2025-09-19,185.3,185.73,182.86,185.46,6246901.0
2025-09-18,186.0,186.0,182.03,185.03,1570757.0
2025-09-17,182.82,186.08,182.055,184.68,1885830.0
2025-09-16,181.28,184.53,180.0,182.99,2250063.0
2025-09-15,180.11,181.94,178.875,179.94,1765485.0
2025-09-12,183.0,183.54,179.83,180.28,1500305.0
2025-09-11,182.28,183.74,180.66,182.31,1265815.0
2025-09-10,183.0,184.78,177.42,181.69,1800282.0
2025-09-09,182.39,186.282,178.475,183.18,2307706.0
2025-09-08,179.93,181.24,176.89,181.19,2006803.0
2025-09-05,178.5,180.48,177.05,180.28,1696279.0
2025-09-04,179.66,180.13,178.16,178.98,1494012.0
2025-09-03,180.0,183.5,177.35,179.0,1749151.0
2025-09-02,178.86,180.24,177.9025,180.15,2245614.0
2025-08-29,179.78,181.425,178.19,179.71,1753840.0
2025-08-28,178.38,179.33,175.4605,179.3,1844100.0
2025-08-27,173.25,178.5537,173.0586,177.89,1820563.0
2025-08-26,170.99,173.57,170.23,173.51,3153896.0
2025-08-25,170.72,172.8,170.31,172.18,1477305.0
2025-08-22,165.71,171.08,165.08,170.88,1734072.0
2025-08-21,165.01,166.08,163.1,164.94,1299678.0
2025-08-20,163.95,166.66,163.37,165.82,1540075.0
2025-08-19,162.36,165.345,161.8,164.38,2155341.0
2025-08-18,161.37,162.95,160.87,162.67,1487787.0
2025-08-15,162.48,163.47,161.53,162.34,1831457.0
2025-08-14,160.66,162.58,159.01,162.32,1373247.0
2025-08-13,159.0,161.83,158.0001,161.73,2071968.0
2025-08-12,160.0,161.62,158.547,159.11,2291850.0
2025-08-11,162.47,162.83,158.0801,158.59,1784184.0
2025-08-08,162.22,163.16,160.29,160.84,1278171.0
2025-08-07,164.27,165.0,161.44,161.51,1587808.0
2025-08-06,169.67,170.3,160.845,162.44,2755537.0
2025-08-05,169.47,170.09,165.49,168.92,1923410.0
2025-08-04,166.4,168.78,165.76,167.96,2068509.0
2025-08-01,167.8,168.0,164.775,165.53,1385321.0
2025-07-31,170.33,171.92,169.173,170.19,1340662.0
2025-07-30,173.81,174.02,169.45,170.78,1494576.0
2025-07-29,175.25,175.5,172.99,175.43,1296340.0
2025-07-28,172.7,174.955,171.8701,174.8,1100399.0
2025-07-25,172.07,173.225,170.34,171.57,1287759.0
2025-07-24,174.99,176.57,170.12,171.31,2607379.0
2025-07-23,175.76,177.75,175.02,177.54,1798292.0
2025-07-22,174.81,176.865,174.44,175.25,1431346.0
2025-07-21,174.99,176.47,173.95,174.88,1458156.0
2025-07-18,176.65,178.33,174.21,174.21,2623699.0
