date,Open,High,Low,Close,Volume
2025-10-31,579.16,591.47,576.5775,588.55,871425.0
2025-10-30,568.57,589.2,568.17,583.14,697761.0
2025-10-29,588.16,588.2125,560.2194,567.54,1140390.0
2025-10-28,553.92,594.375,550.925,593.76,1465913.0
2025-10-27,545.55,548.845,542.785,546.86,688398.0
2025-10-24,543.6,547.88,538.79,542.29,394370.0
2025-10-23,536.56,539.19,533.08,538.75,440272.0
2025-10-22,539.83,545.74,535.99,537.61,514582.0
2025-10-21,531.78,545.32,531.78,540.36,686239.0
2025-10-20,528.68,538.61,525.31,536.7,603297.0
2025-10-17,535.0,536.68,526.067,534.35,861700.0
2025-10-16,550.18,550.18,531.78,533.34,773251.0
2025-10-15,551.73,554.53,543.49,549.4,511204.0
2025-10-14,547.85,556.92,546.995,553.58,367149.0
2025-10-13,548.05,552.45,545.0,548.35,450178.0
2025-10-10,562.0,562.8075,546.525,546.95,488235.0
2025-10-09,563.32,566.76,557.39,558.3,474446.0
2025-10-08,567.65,573.63,563.92,566.94,330776.0
2025-10-07,562.99,572.395,558.055,569.11,324451.0
2025-10-06,564.06,568.2,557.725,564.81,396859.0
2025-10-03,560.5,563.45,554.995,560.12,386945.0
2025-10-02,550.87,562.64,545.01,560.77,660029.0
2025-10-01,567.01,568.34,550.16,552.59,522838.0
2025-09-30,566.64,571.8699,562.86,567.41,460715.0
2025-09-29,566.85,571.37,563.84,568.9,507805.0
2025-09-26,565.82,572.79,564.125,565.42,579929.0
2025-09-25,564.0,566.64,559.05,564.66,484848.0
2025-09-24,566.0,567.93,558.32,566.42,710883.0
2025-09-23,566.0,570.97,565.62,568.94,650819.0
2025-09-22,559.0,571.73,557.0,568.06,838721.0
2025-09-19,557.96,562.79,555.0,559.75,1237064.0
2025-09-18,579.31,579.99,548.085,555.98,1599019.0
2025-09-17,568.81,585.3999,568.81,578.64,875452.0
2025-09-16,576.15,580.0413,562.9,567.02,566601.0
2025-09-15,584.15,584.34,574.945,576.61,1255962.0
2025-09-12,584.07,585.45,576.34,583.25,722142.0
2025-09-11,565.71,585.84,564.805,585.48,477035.0
2025-09-10,571.77,571.77,558.98,563.18,648745.0
2025-09-09,571.99,574.5,567.9,569.16,671176.0
2025-09-08,557.73,576.1558,554.905,574.58,922809.0
2025-09-05,558.36,561.59,554.0,555.15,626844.0
2025-09-04,554.1,557.595,551.0,557.19,590626.0
2025-09-03,552.6,558.44,549.09,551.61,898649.0
2025-09-02,560.66,565.79,548.0001,553.91,845436.0
2025-08-29,568.8,571.64,565.53,567.72,499006.0
2025-08-28,571.05,572.13,568.39,568.55,521744.0
2025-08-27,571.49,575.27,569.71,570.15,333064.0
2025-08-26,572.88,572.91,562.935,571.43,425113.0
2025-08-25,573.46,577.45,569.93,573.72,532526.0
2025-08-22,571.12,580.23,566.6875,574.83,380106.0
2025-08-21,570.61,572.12,565.985,567.27,535635.0
2025-08-20,567.63,574.41,562.596,574.25,577290.0
2025-08-19,556.0,570.01,555.33,568.16,685213.0
2025-08-18,556.02,561.73,555.02,555.67,709959.0
2025-08-15,564.26,566.85,555.96,557.02,372334.0
2025-08-14,564.21,566.6,560.3,565.72,362929.0
2025-08-13,554.0,567.89,552.49,567.43,542957.0
2025-08-12,550.01,554.08,547.5162,550.16,589472.0
2025-08-11,547.16,555.71,547.16,549.39,588011.0
2025-08-08,546.81,550.0,545.0001,546.68,608732.0
2025-08-07,553.09,555.0,541.5,545.49,499701.0
2025-08-06,559.23,562.66,542.255,548.3,1064871.0
2025-08-05,572.15,575.96,557.62,557.73,1089948.0
2025-08-04,560.51,573.295,560.51,572.04,863385.0
2025-08-01,559.14,563.61,552.385,557.4,1053066.0
2025-07-31,556.48,569.99,556.48,561.36,1103034.0
2025-07-30,555.07,563.785,554.625,559.15,994528.0
2025-07-29,557.61,561.0,552.875,557.21,1162222.0
2025-07-28,542.46,556.91,541.12,552.79,1668705.0
2025-07-25,546.49,551.42,544.5,546.29,998981.0
2025-07-24,532.31,547.87,531.789,543.31,1252052.0
2025-07-23,534.77,538.99,525.0,530.86,1930956.0
2025-07-22,565.01,571.53,525.34,526.48,2464297.0
2025-07-21,582.58,582.95,574.57,577.97,1065722.0
2025-07-18,580.63,584.56,576.77,577.94,584883.0
2025-07-17,575.0,581.82,569.41,580.18,647016.0
2025-07-16,564.8,573.39,558.64,572.13,841261.0
2025-07-15,571.51,576.06,563.11,563.13,403320.0
2025-07-14,565.61,576.55,562.93,570.66,519960.0
2025-07-11,576.56,578.795,563.31,565.56,635347.0
2025-07-10,580.92,586.875,579.825,580.66,332331.0
2025-07-09,582.85,586.3499,579.45,581.81,349944.0
2025-07-08,591.36,593.27,577.1,580.97,541078.0
2025-07-07,587.79,590.4784,583.18,588.0,373752.0
2025-07-03,586.5,589.55,580.0,587.74,268232.0
2025-07-02,577.36,586.345,577.36,582.85,466747.0
2025-07-01,574.4,583.63,570.0,581.34,456829.0
2025-06-30,575.82,579.07,569.43,576.74,584621.0
2025-06-27,569.57,577.495,568.14,576.41,879942.0
2025-06-26,570.75,571.565,564.33,565.69,584460.0
2025-06-25,574.14,574.465,560.35,569.99,562220.0
2025-06-24,561.355,577.58,560.3598,575.69,672288.0
2025-06-23,543.66,555.56,539.65,555.12,867338.0
2025-06-20,546.0,547.52,541.47,544.78,666136.0
2025-06-18,547.28,550.68,540.86,543.72,551602.0
2025-06-17,543.5,549.3,543.5,548.55,414822.0
2025-06-16,546.27,551.77,545.82,547.37,375488.0
2025-06-13,549.64,550.99,540.3425,542.73,465519.0
2025-06-12,552.25,555.25,547.85,555.19,410982.0
2025-06-11,557.62,560.59,553.025,554.42,566698.0
