date,Open,High,Low,Close,Volume
2025-10-31,419.65,419.65,404.84,406.71,1961099.0
2025-10-30,430.48,438.71,429.67,431.98,1306600.0
2025-10-29,440.03,440.925,431.25,432.18,710127.0
2025-10-28,441.01,445.12,439.68,440.21,520212.0
2025-10-27,439.55,444.24,437.69,443.99,584994.0
2025-10-24,445.3,445.3,438.62,438.98,1070044.0
2025-10-23,446.53,447.9317,443.395,444.83,773435.0
2025-10-22,447.01,450.185,445.1801,446.86,528336.0
2025-10-21,450.29,452.25,446.94,448.1,395529.0
2025-10-20,445.0,448.84,444.7,448.44,410656.0
2025-10-17,437.41,445.74,437.265,445.0,540062.0
2025-10-16,439.86,441.1601,434.47,437.21,829193.0
2025-10-15,461.24,462.0899,437.7,438.94,1281868.0
2025-10-14,458.93,464.345,457.07,460.62,597705.0
2025-10-13,457.32,459.6899,454.77,456.25,487418.0
2025-10-10,460.42,462.0,455.34,456.3,831380.0
2025-10-09,462.27,462.27,455.34,457.63,538093.0
2025-10-08,459.44,465.45,458.61,462.26,804440.0
2025-10-07,457.65,459.01,453.96,458.5,660092.0
2025-10-06,454.79,458.42,453.05,457.13,610392.0
2025-10-03,448.25,458.91,447.975,452.9,583869.0
2025-10-02,454.21,454.36,447.66,448.03,723960.0
2025-10-01,454.82,458.31,453.16,456.93,731662.0
2025-09-30,453.21,458.01,453.21,457.29,708156.0
2025-09-29,458.75,459.655,452.92,454.18,760469.0
2025-09-26,457.36,458.64,454.43,456.52,551661.0
2025-09-25,456.01,457.8298,454.3159,455.73,776655.0
2025-09-24,468.72,471.095,455.0,455.13,957580.0
2025-09-23,471.36,474.16,468.78,470.72,1067112.0
2025-09-22,476.67,477.52,471.46,471.47,789976.0
2025-09-19,476.67,478.7,471.68,476.21,1676705.0
2025-09-18,477.0,478.4435,471.435,474.55,791435.0
2025-09-17,477.82,479.785,475.78,477.85,721083.0
2025-09-16,482.0,484.23,475.25,476.84,1021520.0
2025-09-15,479.75,485.56,479.75,482.43,885274.0
2025-09-12,487.97,487.97,481.29,481.71,793132.0
2025-09-11,481.05,492.22,480.28,490.3,1046639.0
2025-09-10,477.56,484.09,476.5,481.7,701151.0
2025-09-09,477.1,478.8,473.03,477.93,597642.0
2025-09-08,477.75,478.82,474.17,478.37,935224.0
2025-09-05,479.03,480.185,475.29,478.98,631399.0
2025-09-04,476.65,478.89,475.575,478.62,608390.0
2025-09-03,477.5,479.44,470.26,474.16,770517.0
2025-09-02,469.96,479.23,466.7,479.0,1615002.0
2025-08-29,470.14,474.2,469.08,472.46,960951.0
2025-08-28,462.56,470.54,462.065,470.1,972707.0
2025-08-27,457.15,466.49,455.17,464.41,729643.0
2025-08-26,460.94,461.0,451.63,455.62,2148581.0
2025-08-25,462.8,464.805,458.9,460.68,496142.0
2025-08-22,464.08,466.75,460.82,461.91,610670.0
2025-08-21,460.81,463.36,457.99,462.43,789945.0
2025-08-20,462.0,463.73,459.47,462.13,834338.0
2025-08-19,461.26,467.86,459.98,460.41,1140940.0
2025-08-18,460.24,462.39,459.2,461.18,733187.0
2025-08-15,461.36,462.31,457.46,460.31,1274701.0
2025-08-14,467.32,468.12,461.04,461.61,976093.0
2025-08-13,471.29,472.0,467.775,470.2,913651.0
2025-08-12,463.0,474.105,461.735,471.2,1636539.0
2025-08-11,456.25,466.24,454.125,460.94,1539036.0
2025-08-08,451.82,458.34,434.64,453.41,1617481.0
2025-08-07,445.0,446.7375,440.49,445.1,1143530.0
2025-08-06,433.65,442.73,433.04,442.12,669367.0
2025-08-05,439.54,442.795,433.73,434.05,1205873.0
2025-08-04,436.63,446.15,435.845,439.97,1043667.0
2025-08-01,438.53,440.74,429.71,436.71,1176433.0
2025-07-31,436.42,441.72,436.42,438.98,1440681.0
2025-07-30,433.39,437.56,433.0,436.07,1101580.0
2025-07-29,430.76,436.27,427.29,433.95,814099.0
2025-07-28,427.09,430.5,425.4025,429.97,974090.0
2025-07-25,424.87,428.32,424.295,428.0,633218.0
2025-07-24,423.75,425.5283,421.75,424.83,569593.0
2025-07-23,420.88,423.7599,419.64,422.17,615760.0
2025-07-22,421.19,424.075,419.27,421.27,542563.0
2025-07-21,419.46,424.75,417.015,420.91,642438.0
2025-07-18,423.21,424.14,420.345,420.46,741405.0
2025-07-17,415.21,422.5,413.865,421.04,793619.0
2025-07-16,412.95,416.41,410.57,416.29,973517.0
2025-07-15,413.33,416.27,408.6,408.73,817870.0
2025-07-14,415.32,417.27,413.2075,413.62,638077.0
2025-07-11,415.98,418.76,415.1042,416.03,720381.0
2025-07-10,415.85,419.86,414.235,417.72,701892.0
2025-07-09,417.02,418.98,415.12,417.88,698859.0
2025-07-08,422.13,425.29,415.79,417.36,896240.0
2025-07-07,424.81,428.0,423.85,426.37,610106.0
2025-07-03,422.7,426.34,421.16,424.84,494717.0
2025-07-02,423.82,424.825,416.54,422.27,826719.0
2025-07-01,420.87,427.4,417.57,425.65,1220886.0
2025-06-30,420.21,421.93,417.73,420.46,1477867.0
2025-06-27,415.35,419.24,414.74,418.66,908812.0
2025-06-26,420.49,421.33,411.6,415.27,724803.0
2025-06-25,417.33,420.39,416.67,419.0,661104.0
2025-06-24,411.33,419.695,409.73,418.35,979102.0
2025-06-23,407.24,410.87,404.865,410.87,1268140.0
2025-06-20,406.05,411.2,404.37,406.25,1457810.0
2025-06-18,406.8,407.5299,403.92,404.74,971982.0
2025-06-17,407.29,408.52,404.03,406.41,862950.0
2025-06-16,408.07,412.33,406.41,407.46,1015364.0
2025-06-13,411.57,413.51,406.97,408.1,718103.0
2025-06-12,412.04,414.51,407.83,413.07,643726.0
2025-06-11,412.4,413.03,407.48,409.07,840911.0
