date,Open,High,Low,Close,Volume
2025-10-31,181.26,184.355,180.23,183.87,873546.0
2025-10-30,181.3,186.39,181.3,182.8,1187617.0
2025-10-29,179.58,183.67,179.32,181.34,1424932.0
2025-10-28,181.79,182.63,180.79,181.41,1314625.0
2025-10-27,186.1,186.1,181.465,182.92,1186104.0
2025-10-24,183.13,186.175,182.65,185.23,1035582.0
2025-10-23,182.85,183.47,180.42,181.09,1087366.0
2025-10-22,182.03,183.36,180.91,182.12,1224414.0
2025-10-21,181.42,182.9,181.03,181.7,1932620.0
2025-10-20,181.65,183.97,180.925,182.07,1684688.0
2025-10-17,176.885,181.25,176.02,180.67,3049819.0
2025-10-16,185.07,187.53,174.76,178.63,3179159.0
2025-10-15,187.91,188.175,183.91,185.03,1873619.0
2025-10-14,182.3,188.69,181.775,187.04,1186997.0
2025-10-13,182.72,183.455,181.41,182.7,1015350.0
2025-10-10,188.8,189.31,180.605,180.84,1162901.0
2025-10-09,188.33,189.82,186.68,188.04,608857.0
2025-10-08,189.66,190.6057,187.92,188.07,790810.0
2025-10-07,190.51,191.64,189.23,189.58,1043204.0
2025-10-06,197.22,198.87,189.91,190.0,1499843.0
2025-10-03,195.29,196.6,194.01,194.56,1484945.0
2025-10-02,194.68,196.0805,194.16,195.63,806660.0
2025-10-01,196.95,197.82,194.825,195.29,918026.0
2025-09-30,198.34,199.72,194.7595,197.62,847725.0
2025-09-29,199.97,200.4159,196.15,198.3,1175906.0
2025-09-26,200.53,201.64,199.15,200.14,670885.0
2025-09-25,199.2,199.97,197.8935,198.79,931656.0
2025-09-24,200.47,202.35,198.53,199.44,847011.0
2025-09-23,199.36,203.0,197.21,200.63,1509933.0
2025-09-22,200.59,201.82,198.14,198.9,1012467.0
2025-09-19,200.17,202.565,198.88,202.02,3604921.0
2025-09-18,198.41,200.99,197.735,200.43,984510.0
2025-09-17,195.84,201.11,195.185,198.6,1020262.0
2025-09-16,196.96,196.96,192.67,195.28,805798.0
2025-09-15,198.84,199.69,196.22,196.57,782305.0
2025-09-12,198.1,199.84,197.01,198.8,696754.0
2025-09-11,197.98,198.92,196.01,197.83,904864.0
2025-09-10,200.65,200.82,197.42,198.17,927265.0
2025-09-09,199.18,201.63,199.145,199.8,628815.0
2025-09-08,199.345,199.66,196.345,199.22,700100.0
2025-09-05,202.8,203.96,198.9209,199.57,977422.0
2025-09-04,199.97,202.83,198.74,202.36,916662.0
2025-09-03,199.06,200.83,197.25,198.57,951365.0
2025-09-02,197.94,198.98,195.61,198.98,1044104.0
2025-08-29,200.66,202.8,200.145,201.66,748468.0
2025-08-28,203.12,203.12,199.72,200.8,848671.0
2025-08-27,199.97,203.19,199.91,202.02,884692.0
2025-08-26,197.3,200.56,197.205,200.15,878030.0
2025-08-25,198.91,199.72,197.84,197.89,645732.0
2025-08-22,193.79,200.16,193.3125,199.74,1111466.0
2025-08-21,191.7,192.6,190.77,192.43,904547.0
2025-08-20,191.21,193.91,190.925,193.18,990113.0
2025-08-19,190.34,192.61,190.24,190.36,640236.0
2025-08-18,189.87,190.74,188.67,190.67,729792.0
2025-08-15,194.07,194.07,190.0,190.07,741904.0
2025-08-14,192.37,194.17,191.0,193.95,761128.0
2025-08-13,191.68,193.5,190.85,193.21,1031894.0
2025-08-12,188.2,191.2525,187.33,191.08,934982.0
2025-08-11,187.58,188.4327,185.58,186.51,942878.0
2025-08-08,185.18,187.77,183.01,187.17,811016.0
2025-08-07,187.15,187.175,183.13,183.74,852745.0
2025-08-06,188.16,188.36,185.46,185.5,755770.0
2025-08-05,188.75,189.195,184.95,188.04,1039166.0
2025-08-04,185.28,188.64,185.19,188.29,852847.0
2025-08-01,185.52,185.95,182.625,184.99,1282129.0
2025-07-31,191.05,191.64,188.41,188.7,861720.0
2025-07-30,194.28,195.11,190.68,191.55,731603.0
2025-07-29,195.035,196.08,193.57,194.34,590852.0
2025-07-28,193.73,194.29,192.54,194.15,1140343.0
2025-07-25,192.68,194.06,190.1696,193.77,779365.0
2025-07-24,195.81,196.72,193.63,193.67,814862.0
2025-07-23,196.84,197.37,194.005,195.81,1055435.0
2025-07-22,195.68,198.31,195.67,196.78,1453929.0
2025-07-21,196.35,198.15,195.18,195.29,795023.0
2025-07-18,196.0,196.55,194.43,196.19,1191662.0
2025-07-17,192.86,195.845,190.22,195.6,1751633.0
2025-07-16,199.09,200.13,191.42,192.52,2700384.0
2025-07-15,201.68,202.1147,196.74,197.28,1736997.0
2025-07-14,201.72,203.285,201.17,203.05,1307655.0
2025-07-11,202.72,203.265,201.09,201.91,1004401.0
2025-07-10,200.48,204.32,199.96,204.05,1183719.0
2025-07-09,202.04,202.15,198.9,200.38,1033704.0
2025-07-08,201.39,202.22,199.7105,200.8,801814.0
2025-07-07,202.17,203.7465,199.5609,200.67,742169.0
2025-07-03,201.27,203.58,201.115,202.58,838320.0
2025-07-02,199.25,200.245,196.865,200.06,1434047.0
2025-07-01,193.33,198.87,193.075,197.5,1163223.0
2025-06-30,195.36,196.26,193.35,193.99,1411916.0
2025-06-27,193.74,194.735,192.9064,193.78,1351607.0
2025-06-26,191.89,193.7,191.63,193.49,977589.0
2025-06-25,189.65,191.31,188.64,191.23,1065392.0
2025-06-24,191.28,193.21,189.94,190.12,1073281.0
2025-06-23,184.22,189.7,184.14,189.41,1377004.0
2025-06-20,183.45,185.36,182.325,185.06,3680805.0
2025-06-18,178.4,182.47,178.4,181.7,1349970.0
2025-06-17,178.59,180.3728,177.4,178.33,1109419.0
2025-06-16,179.47,181.36,178.46,180.25,992108.0
2025-06-13,182.47,182.585,177.53,178.03,1301597.0
