date,Open,High,Low,Close,Volume
2025-10-31,1391.08,1424.715,1380.345,1416.29,177747.0
2025-10-30,1382.83,1405.85,1372.455,1377.01,129883.0
2025-10-29,1394.29,1416.0599,1383.95,1394.17,166997.0
2025-10-28,1412.49,1418.635,1400.97,1404.58,131443.0
2025-10-27,1433.51,1443.6083,1413.975,1419.71,175159.0
2025-10-24,1442.99,1454.675,1421.975,1434.32,135091.0
2025-10-23,1380.37,1438.7,1380.37,1437.75,146724.0
2025-10-22,1382.0,1398.32,1373.55,1381.44,165811.0
2025-10-21,1365.56,1405.29,1349.0665,1385.57,175113.0
2025-10-20,1353.19,1378.2,1351.585,1357.26,108730.0
2025-10-17,1344.86,1356.835,1337.93,1349.28,155124.0
2025-10-16,1317.97,1360.49,1311.055,1359.61,153189.0
2025-10-15,1301.6,1329.79,1282.65,1304.0,125734.0
2025-10-14,1270.55,1313.2899,1270.55,1303.04,199659.0
2025-10-13,1284.69,1300.0,1275.35,1284.74,92150.0
2025-10-10,1309.24,1312.41,1270.65,1273.67,114703.0
2025-10-09,1320.67,1339.07,1296.25,1307.57,99261.0
2025-10-08,1310.16,1341.75,1310.16,1328.53,123332.0
2025-10-07,1353.44,1353.44,1301.1875,1309.12,154831.0
2025-10-06,1315.08,1346.17,1309.555,1345.27,155280.0
2025-10-03,1307.48,1327.01,1303.995,1314.04,146234.0
2025-10-02,1278.4,1302.79,1261.12,1300.54,162985.0
2025-10-01,1227.73,1292.095,1227.73,1289.82,200546.0
2025-09-30,1190.07,1231.57,1190.07,1227.61,134574.0
2025-09-29,1215.3,1215.3,1187.8,1191.36,114243.0
2025-09-26,1210.92,1225.61,1200.8,1204.43,130084.0
2025-09-25,1232.2,1232.2,1199.725,1209.54,163975.0
2025-09-24,1250.3,1251.66,1232.51,1242.28,151914.0
2025-09-23,1251.85,1268.74,1245.83,1257.03,145261.0
2025-09-22,1263.98,1273.83,1252.125,1258.05,119946.0
2025-09-19,1291.8,1291.8,1263.155,1265.59,231443.0
2025-09-18,1279.01,1302.595,1279.01,1287.1,116130.0
2025-09-17,1282.0,1295.22,1260.63,1273.96,177179.0
2025-09-16,1258.5,1282.76,1242.82,1276.1,124223.0
2025-09-15,1255.39,1270.02,1255.39,1260.13,109653.0
2025-09-12,1279.42,1279.42,1255.22,1259.54,109047.0
2025-09-11,1244.95,1285.755,1244.95,1282.72,148512.0
2025-09-10,1270.05,1282.4225,1250.39,1252.87,112988.0
2025-09-09,1310.57,1310.57,1280.5,1285.31,112828.0
2025-09-08,1296.19,1316.965,1286.79,1314.65,93383.0
2025-09-05,1291.09,1313.705,1291.09,1305.71,95040.0
2025-09-04,1265.99,1288.81,1249.125,1287.79,96460.0
2025-09-03,1267.34,1274.79,1259.97,1268.6,109383.0
2025-09-02,1290.0,1293.7,1258.06,1276.0,174105.0
2025-08-29,1280.11,1303.625,1277.295,1301.04,100599.0
2025-08-28,1283.87,1307.1,1279.41,1283.11,182104.0
2025-08-27,1277.24,1295.495,1272.67,1285.24,102643.0
2025-08-26,1290.66,1297.795,1280.8,1284.77,149636.0
2025-08-25,1316.87,1325.67,1284.25,1289.78,85847.0
2025-08-22,1293.24,1340.855,1287.755,1321.45,114639.0
2025-08-21,1309.38,1314.8875,1275.01,1278.0,138896.0
2025-08-20,1317.24,1320.895,1302.67,1316.88,211245.0
2025-08-19,1312.66,1331.605,1311.615,1322.57,93318.0
2025-08-18,1311.17,1330.06,1304.25,1311.32,127997.0
2025-08-15,1323.21,1323.21,1303.65,1312.34,135663.0
2025-08-14,1317.54,1317.54,1299.98,1313.64,87061.0
2025-08-13,1294.99,1324.52,1290.0,1324.06,111803.0
2025-08-12,1251.71,1293.07,1251.67,1292.89,199847.0
2025-08-11,1254.32,1267.15,1249.175,1256.49,201935.0
2025-08-08,1240.9,1256.785,1229.56,1255.97,136538.0
2025-08-07,1235.29,1254.285,1217.22,1236.96,148751.0
2025-08-06,1241.97,1251.54,1206.665,1221.84,184758.0
2025-08-05,1233.25,1246.07,1217.94,1243.94,148298.0
2025-08-04,1199.55,1239.74,1188.05,1231.88,129244.0
2025-08-01,1233.68,1233.68,1135.525,1197.23,339593.0
2025-07-31,1251.58,1274.05,1233.68,1233.68,302601.0
2025-07-30,1269.01,1277.68,1247.2,1265.9,168899.0
2025-07-29,1261.49,1272.16,1254.83,1266.1,153673.0
2025-07-28,1252.22,1275.875,1250.87,1261.03,159145.0
2025-07-25,1268.56,1268.56,1246.16,1263.99,155612.0
2025-07-24,1258.15,1287.33,1251.365,1260.75,196872.0
2025-07-23,1255.76,1269.265,1239.8,1257.2,176764.0
2025-07-22,1176.13,1227.855,1162.02,1218.96,166334.0
2025-07-21,1194.86,1197.195,1165.98,1166.48,125452.0
2025-07-18,1210.29,1210.29,1182.87,1194.85,93366.0
2025-07-17,1186.91,1208.695,1186.29,1205.68,126611.0
2025-07-16,1172.86,1186.26,1157.895,1184.2,202761.0
2025-07-15,1201.74,1201.74,1163.15,1168.56,164551.0
2025-07-14,1212.86,1212.86,1186.045,1193.89,196300.0
2025-07-11,1226.83,1232.98,1218.93,1223.93,118779.0
2025-07-10,1223.02,1262.36,1216.68,1236.24,157879.0
2025-07-09,1211.32,1226.56,1195.65,1218.65,175795.0
2025-07-08,1196.14,1222.07,1184.39,1206.53,142682.0
2025-07-07,1202.72,1210.3458,1179.44,1188.54,121746.0
2025-07-03,1205.15,1213.745,1205.15,1209.08,41859.0
2025-07-02,1203.61,1212.48,1189.725,1205.65,129313.0
2025-07-01,1171.0,1232.57,1166.375,1205.29,115639.0
2025-06-30,1180.69,1186.38,1161.4994,1174.72,119236.0
2025-06-27,1201.14,1201.14,1174.04,1184.54,163651.0
2025-06-26,1199.71,1210.84,1173.5083,1193.31,155418.0
2025-06-25,1185.49,1209.23,1174.205,1192.85,143314.0
