date,Open,High,Low,Close,Volume
2025-10-31,42.21,42.275,41.61,42.11,7328015.0
2025-10-30,42.43,42.7,41.655,42.13,8511027.0
2025-10-29,44.5,44.88,42.07,42.46,10825747.0
2025-10-28,44.0,44.03,43.14,43.39,5155650.0
2025-10-27,43.62,43.76,43.17,43.73,2931467.0
2025-10-24,44.06,44.16,43.485,43.63,2718061.0
2025-10-23,44.37,44.45,43.35,43.87,5265388.0
2025-10-22,43.97,44.27,43.65,44.13,5448206.0
2025-10-21,43.95,44.115,43.435,43.71,4002868.0
2025-10-20,43.99,44.05,43.57,43.85,3402628.0
2025-10-17,43.27,43.45,42.945,43.25,2113143.0
2025-10-16,43.66,44.048,43.05,43.22,4101886.0
2025-10-15,43.01,43.61,42.75,43.55,3402257.0
2025-10-14,42.67,43.225,42.62,42.93,3922973.0
2025-10-13,43.0,43.43,42.675,42.73,3552743.0
2025-10-10,43.09,43.51,42.825,42.86,3125673.0
2025-10-09,44.11,44.23,42.91,42.94,4575043.0
2025-10-08,43.83,43.925,43.305,43.9,2813895.0
2025-10-07,44.13,44.287,43.45,43.59,5162545.0
2025-10-06,43.96,44.515,43.78,44.17,4278016.0
2025-10-03,43.06,44.175,42.995,43.83,4196386.0
2025-10-02,42.96,43.14,42.6,43.1,3344506.0
2025-10-01,43.24,43.705,43.04,43.07,3361211.0
2025-09-30,43.29,43.5,42.965,43.3,3803323.0
2025-09-29,42.625,43.27,42.435,43.21,4978071.0
2025-09-26,42.1,42.58,41.87,42.57,4257037.0
2025-09-25,42.4,42.5386,41.73,41.82,4781907.0
2025-09-24,41.65,42.5,41.575,42.38,6496007.0
2025-09-23,41.15,41.67,41.08,41.57,5469627.0
2025-09-22,40.58,41.74,40.52,41.3,8966192.0
2025-09-19,40.25,40.57,40.1,40.32,5497375.0
2025-09-18,39.5,40.31,39.33,40.16,6090767.0
2025-09-17,39.58,40.08,39.44,39.61,4378217.0
2025-09-16,40.41,40.56,39.295,39.37,5385431.0
2025-09-15,41.04,41.14,40.54,40.54,4361245.0
2025-09-12,40.83,41.2,40.75,41.01,2379918.0
2025-09-11,40.72,41.2,40.45,41.13,4422746.0
2025-09-10,40.56,40.83,40.38,40.73,2721967.0
2025-09-09,40.24,40.67,39.99,40.49,2642939.0
2025-09-08,40.33,40.52,40.02,40.23,4587720.0
2025-09-05,39.475,40.585,39.4,40.33,10085283.0
2025-09-04,41.91,41.91,38.45,39.83,15860542.0
2025-09-03,41.91,42.23,41.615,41.8,2807050.0
2025-09-02,42.02,42.3882,41.6341,42.11,2362144.0
2025-08-29,42.21,42.36,42.08,42.27,1756597.0
2025-08-28,42.33,42.44,42.075,42.14,2184910.0
2025-08-27,42.28,42.63,42.26,42.44,2491928.0
2025-08-26,42.7,42.7,42.1,42.38,4133758.0
2025-08-25,42.63,43.0,42.52,42.67,3016705.0
2025-08-22,42.46,42.965,42.325,42.94,3793711.0
2025-08-21,42.53,42.69,42.2245,42.29,2614592.0
2025-08-20,42.5,42.81,42.3,42.54,2644735.0
