date,Open,High,Low,Close,Volume
2025-10-31,65.0,65.25,64.25,64.59,17822510.0
2025-10-30,65.18,66.0,64.574,64.9,13895231.0
2025-10-29,67.01,67.19,64.95,65.35,15143126.0
2025-10-28,68.11,68.61,67.05,67.43,11262395.0
2025-10-27,70.035,70.44,68.26,68.59,9838115.0
2025-10-24,69.71,70.08,68.91,69.11,7102911.0
2025-10-23,69.09,69.885,68.74,69.68,9124913.0
2025-10-22,68.22,69.36,67.96,69.08,8096127.0
2025-10-21,67.75,69.29,67.41,68.36,9659203.0
2025-10-20,67.56,68.175,67.47,67.62,9669999.0
2025-10-17,66.63,67.77,66.32,67.37,10054043.0
2025-10-16,68.6,69.04,66.58,66.84,15349738.0
2025-10-15,68.58,69.53,68.13,68.46,13001479.0
2025-10-14,66.47,68.0,66.06,67.64,9483677.0
2025-10-13,65.7,67.52,65.5475,67.38,13191246.0
2025-10-10,68.18,68.49,64.88,65.22,18806071.0
2025-10-09,69.55,69.655,67.89,68.06,13410879.0
2025-10-08,68.91,69.426,68.665,69.09,13051753.0
2025-10-07,71.23,71.58,68.9,68.91,17367985.0
2025-10-06,72.02,72.39,71.01,71.17,14039587.0
2025-10-03,74.78,74.78,71.92,71.93,18794866.0
2025-10-02,75.0,76.97,73.88,74.57,26254376.0
2025-10-01,74.345,74.69,71.61,74.2,57921886.0
2025-09-30,70.07,70.2066,68.82,69.73,40567682.0
2025-09-29,69.77,69.96,68.74,69.55,18479281.0
2025-09-26,69.38,69.44,68.03,69.31,15627552.0
2025-09-25,71.16,71.16,69.0515,69.24,13075284.0
2025-09-24,70.67,71.53,70.45,71.22,10024485.0
2025-09-23,71.57,72.42,70.73,70.93,10432417.0
2025-09-22,70.785,72.4899,70.425,71.28,12336264.0
2025-09-19,72.01,72.25,70.74,70.89,33415575.0
2025-09-18,73.435,73.6,71.63,72.1,14918371.0
2025-09-17,73.065,73.32,71.61,72.31,11108702.0
2025-09-16,72.8,73.375,72.09,72.75,8813556.0
2025-09-15,73.18,73.209,72.575,73.03,10323751.0
2025-09-12,74.24,74.28,71.93,73.0,11806044.0
2025-09-11,74.41,75.53,74.01,74.33,9803422.0
2025-09-10,75.245,75.46,73.33,74.25,11359274.0
2025-09-09,73.99,74.55,73.05,73.6,8740157.0
2025-09-08,74.26,74.58,73.71,74.15,13793260.0
2025-09-05,74.8,75.41,73.63,73.91,13758377.0
2025-09-04,74.75,75.77,74.51,75.35,11096158.0
2025-09-03,74.4,75.18,73.91,74.74,7441170.0
2025-09-02,75.64,76.05,74.0,74.29,15078709.0
2025-08-29,77.75,79.13,77.12,77.37,14208813.0
2025-08-28,78.58,78.66,77.725,77.92,7478609.0
2025-08-27,78.96,79.51,77.65,78.06,12636742.0
2025-08-26,78.995,79.48,78.38,78.65,6874765.0
2025-08-25,78.47,80.165,78.39,79.17,12488938.0
2025-08-22,76.54,79.135,76.25,78.38,10985948.0
2025-08-21,75.7,76.2254,75.1335,76.18,6354912.0
2025-08-20,76.69,77.56,76.16,76.26,6282604.0
2025-08-19,78.2,78.79,76.675,76.88,7684807.0
2025-08-18,77.11,78.255,76.85,77.43,9069079.0
2025-08-15,76.74,77.5,76.1601,76.97,9767746.0
2025-08-14,75.91,76.6,75.35,76.39,7990497.0
2025-08-13,75.48,77.685,75.185,77.2,13472551.0
2025-08-12,74.72,75.7216,74.34,74.9,6399721.0
2025-08-11,74.32,74.79,73.05,74.02,6985681.0
2025-08-08,74.2,74.96,73.39,74.19,6738987.0
2025-08-07,76.32,76.35,74.0,74.35,8717603.0
2025-08-06,74.47,75.98,74.25,75.48,7579794.0
2025-08-05,74.91,75.71,74.24,74.38,6533788.0
2025-08-04,75.03,75.255,74.16,74.82,8839008.0
2025-08-01,73.445,74.7,72.53,74.62,11911586.0
2025-07-31,76.35,76.4,74.31,74.69,16700030.0
2025-07-30,77.78,78.3,75.9636,76.68,14601692.0
2025-07-29,78.76,79.37,77.7627,78.33,12885505.0
2025-07-28,79.0,79.99,77.56,79.24,22631087.0
2025-07-25,75.91,76.57,75.53,76.27,7208387.0
2025-07-24,76.51,77.54,75.405,75.42,10037823.0
2025-07-23,76.15,77.21,75.82,76.75,16428064.0
2025-07-22,74.07,75.54,74.04,75.39,11297526.0
2025-07-21,72.93,74.81,72.91,74.02,12743932.0
2025-07-18,73.275,73.275,72.12,72.47,8801019.0
2025-07-17,72.12,73.205,72.04,72.98,9180372.0
2025-07-16,71.9,72.71,71.15,72.1,9008574.0
2025-07-15,72.26,72.88,71.58,71.99,9708349.0
2025-07-14,72.34,72.58,71.03,72.25,11385359.0
2025-07-11,73.69,73.84,72.4,72.63,12771419.0
2025-07-10,73.12,75.5,72.95,74.62,13036468.0
2025-07-09,74.13,74.92,73.42,73.56,12076693.0
2025-07-08,76.13,76.3,73.65,73.92,19572430.0
2025-07-07,76.04,77.5,75.845,76.53,17296891.0
2025-07-03,76.265,77.03,75.58,76.39,12022568.0
2025-07-02,73.17,76.84,73.0,76.39,36882339.0
2025-07-01,71.99,73.935,71.83,73.41,27512934.0
2025-06-30,71.45,71.705,70.06,71.04,31090390.0
2025-06-27,69.79,74.19,69.69,72.04,117530345.0
2025-06-26,61.56,62.73,60.82,62.54,39659773.0
2025-06-25,61.45,61.53,60.36,60.83,12186174.0
2025-06-24,61.33,61.98,60.475,61.42,12563997.0
2025-06-23,59.575,61.295,59.44,60.78,15921334.0
2025-06-20,59.75,60.041,59.19,59.79,19083966.0
2025-06-18,60.0,60.4499,59.37,59.51,14194281.0
2025-06-17,61.3,61.3,59.68,60.0,13649716.0
2025-06-16,61.38,62.18,61.24,61.9,13681576.0
2025-06-13,61.745,62.78,60.11,60.53,16509682.0
2025-06-12,62.74,62.93,61.76,62.8,9830489.0
2025-06-11,64.395,64.85,62.58,63.11,10238704.0
