date,Open,High,Low,Close,Volume
2025-10-31,25.97,26.435,25.79,26.36,4079872.0
2025-10-30,25.86,26.29,25.79,26.09,6020319.0
2025-10-29,26.49,26.53,25.78,25.85,3787744.0
2025-10-28,26.88,26.925,26.66,26.71,3749265.0
2025-10-27,26.96,27.365,26.58,26.84,4657180.0
2025-10-24,27.35,27.54,27.2,27.22,2169522.0
2025-10-23,27.29,27.32,26.965,27.19,3072542.0
2025-10-22,27.3,27.335,27.04,27.21,2495214.0
2025-10-21,26.61,27.43,26.56,27.36,3337397.0
2025-10-20,26.61,26.885,26.54,26.7,2746818.0
2025-10-17,26.4,26.62,26.315,26.52,3140834.0
2025-10-16,27.14,27.23,26.36,26.47,3271494.0
2025-10-15,26.96,27.175,26.86,27.04,3152433.0
2025-10-14,26.6,27.0,26.38,26.83,3057019.0
2025-10-13,26.502,26.845,26.48,26.7,2695055.0
2025-10-10,27.13,27.28,26.42,26.52,3880750.0
2025-10-09,27.23,27.33,26.905,27.04,3004859.0
2025-10-08,27.32,27.565,27.185,27.24,2331659.0
2025-10-07,27.8,27.92,27.16,27.3,3240263.0
2025-10-06,27.91,27.95,27.66,27.75,3053385.0
2025-10-03,28.06,28.18,27.67,27.82,3117341.0
2025-10-02,28.13,28.235,27.82,28.08,2374450.0
2025-10-01,28.32,28.47,27.935,28.12,2905389.0
2025-09-30,28.81,28.93,27.8,28.39,5521162.0
2025-09-29,28.97,28.988,28.715,28.79,2422448.0
2025-09-26,28.57,28.825,28.465,28.8,2532616.0
2025-09-25,28.94,28.94,28.42,28.495,3245006.0
2025-09-24,28.98,29.22,28.86,29.09,4060013.0
2025-09-23,28.92,29.02,28.7607,28.95,2237332.0
2025-09-22,28.73,28.9,28.565,28.84,2914912.0
2025-09-19,29.08,29.25,28.74,28.99,9551747.0
2025-09-18,28.65,28.955,28.6,28.86,3345952.0
2025-09-17,28.73,28.99,28.5401,28.66,3018901.0
2025-09-16,28.78,28.865,28.48,28.6,3207530.0
2025-09-15,29.07,29.15,28.69,28.76,3165242.0
2025-09-12,29.62,29.65,29.12,29.14,2865837.0
2025-09-11,29.37,29.715,29.22,29.67,3265115.0
2025-09-10,29.55,29.88,29.23,29.25,3869169.0
2025-09-09,30.17,30.2399,29.41,29.47,3005469.0
2025-09-08,29.595,29.935,29.41,29.91,2636282.0
2025-09-05,29.73,29.8219,29.28,29.5,2497211.0
2025-09-04,29.65,29.65,29.28,29.53,2872611.0
2025-09-03,29.39,29.68,29.1419,29.66,4382500.0
2025-09-02,29.84,29.9,29.165,29.5,4106203.0
2025-08-29,30.14,30.26,30.0,30.2,4825447.0
2025-08-28,30.93,30.93,30.19,30.21,3938135.0
2025-08-27,30.77,30.86,30.59,30.74,3858698.0
2025-08-26,31.04,31.125,30.5,30.77,5737377.0
2025-08-25,31.565,31.565,31.11,31.13,3356016.0
2025-08-22,31.3,31.88,31.24,31.58,3609174.0
2025-08-21,31.27,31.4,31.155,31.19,3248746.0
2025-08-20,31.5,31.59,31.26,31.44,3222519.0
2025-08-19,31.39,31.64,31.245,31.5,4264399.0
2025-08-18,31.42,31.465,31.18,31.37,2436462.0
2025-08-15,31.58,31.63,31.195,31.47,3274750.0
2025-08-14,32.09,32.09,31.485,31.51,3557804.0
2025-08-13,31.91,32.215,31.85,32.16,5408275.0
2025-08-12,30.67,31.875,30.67,31.85,5031763.0
2025-08-11,30.55,31.235,30.27,30.77,5057498.0
2025-08-08,29.675,31.55,29.305,30.45,10080057.0
2025-08-07,28.86,28.93,27.73,28.27,6484132.0
2025-08-06,28.79,28.94,28.475,28.69,3741681.0
2025-08-05,29.13,29.2,28.54,28.58,3613226.0
2025-08-04,28.82,29.245,28.805,28.98,3196961.0
2025-08-01,29.36,29.395,28.67,28.79,3610332.0
2025-07-31,29.98,29.98,29.38,29.49,3112756.0
2025-07-30,30.43,30.43,29.7,29.84,2711683.0
2025-07-29,30.68,30.735,30.09,30.27,2600148.0
2025-07-28,30.65,30.705,30.34,30.52,2212840.0
2025-07-25,30.57,30.74,30.39,30.61,1918417.0
2025-07-24,30.57,30.71,30.465,30.52,2631675.0
2025-07-23,30.66,30.82,30.375,30.68,2635280.0
2025-07-22,30.445,30.61,30.27,30.52,2915813.0
2025-07-21,30.3,30.555,30.12,30.29,2816713.0
