date,Open,High,Low,Close,Volume
2025-10-31,579.15,586.63,575.82,583.45,840195.0
2025-10-30,585.94,591.73,577.74,578.6,1103098.0
2025-10-29,590.0,594.215,582.51,584.99,723541.0
2025-10-28,594.5,598.945,591.24,595.05,714928.0
2025-10-27,604.87,605.65,595.0,595.95,501263.0
2025-10-24,606.35,608.5,597.08,605.58,564834.0
2025-10-23,599.73,609.82,598.01,605.74,655583.0
2025-10-22,597.07,605.9599,595.65,596.48,1122830.0
2025-10-21,589.96,604.89,571.36,599.35,1750875.0
2025-10-20,599.66,602.9,596.21,602.0,1084102.0
2025-10-17,597.0,601.645,591.68,594.5,825196.0
2025-10-16,611.0,611.8,597.595,598.98,781930.0
2025-10-15,625.05,627.05,600.0838,608.93,666900.0
2025-10-14,619.48,627.41,618.07,626.93,437591.0
2025-10-13,619.97,624.055,616.9,618.88,452758.0
2025-10-10,633.36,635.245,619.4101,623.49,660101.0
2025-10-09,638.0,640.901,631.37,635.01,1007665.0
2025-10-08,630.0,638.54,625.55,637.95,939163.0
2025-10-07,622.85,627.8099,618.395,621.63,838233.0
2025-10-06,609.12,619.71,609.0,618.52,540307.0
2025-10-03,607.0,610.64,605.3,609.54,435952.0
2025-10-02,603.8,607.2635,601.96,605.01,453946.0
2025-10-01,607.22,610.85,603.01,605.42,558360.0
2025-09-30,593.1,610.12,593.1,609.32,803097.0
2025-09-29,598.31,604.125,591.51,593.99,777141.0
2025-09-26,589.49,594.96,586.85,594.52,511016.0
2025-09-25,590.0,593.75,582.485,585.77,1074102.0
2025-09-24,580.64,589.6,577.0,586.27,784174.0
2025-09-23,576.0,580.665,571.08,577.08,656281.0
2025-09-22,573.69,577.6475,570.26,576.15,566750.0
2025-09-19,571.91,576.15,565.5,573.03,1478380.0
2025-09-18,572.0,576.98,568.32,573.75,798950.0
2025-09-17,579.1,585.0,576.3901,577.08,790271.0
2025-09-16,578.0,587.24,575.95,579.36,1104597.0
2025-09-15,574.0,576.47,571.115,574.54,804620.0
2025-09-12,582.34,583.13,575.18,575.96,717913.0
2025-09-11,579.31,585.76,578.0,582.95,901131.0
2025-09-10,571.24,580.84,570.0,579.87,547458.0
2025-09-09,580.46,580.49,571.44,571.63,482591.0
2025-09-08,574.99,582.13,571.365,581.9,814129.0
2025-09-05,579.34,581.165,574.82,580.8,633710.0
2025-09-04,581.71,581.94,576.0,579.76,505548.0
2025-09-03,586.53,588.0,577.69,581.01,458675.0
2025-09-02,591.88,596.1647,585.26,589.32,635899.0
2025-08-29,587.9,591.5718,587.08,590.04,528588.0
2025-08-28,586.61,587.94,580.9,587.9,479159.0
2025-08-27,594.55,594.55,585.0376,586.61,679475.0
2025-08-26,588.39,595.85,588.115,593.02,1002304.0
2025-08-25,592.0,595.4,586.05,586.74,478197.0
2025-08-22,599.79,600.99,591.3674,592.44,616735.0
2025-08-21,593.0,598.83,591.313,597.21,610288.0
2025-08-20,589.84,595.32,587.77,592.54,610481.0
2025-08-19,584.0,589.48,582.2225,586.23,470841.0
2025-08-18,587.47,592.225,583.5403,584.82,922401.0
2025-08-15,583.41,586.75,580.9186,583.96,667579.0
2025-08-14,583.89,585.285,580.935,583.72,543334.0
2025-08-13,582.49,586.8866,576.22,582.09,745676.0
2025-08-12,579.21,581.625,577.62,580.8,643893.0
2025-08-11,579.81,583.775,575.45,580.24,744795.0
2025-08-08,587.71,591.07,579.15,581.11,749480.0
2025-08-07,583.21,588.23,580.0,587.38,626641.0
2025-08-06,590.0,593.48,586.7,589.29,992555.0
2025-08-05,590.22,594.68,586.01,589.95,905822.0
2025-08-04,585.69,592.16,584.125,589.75,970347.0
2025-08-01,577.135,587.88,572.95,586.44,1006502.0
2025-07-31,572.0,577.38,568.8901,576.61,850666.0
2025-07-30,572.94,573.8099,568.711,572.81,661769.0
2025-07-29,571.4,573.3,568.19,573.22,682782.0
2025-07-28,569.24,570.0,563.64,568.62,679713.0
2025-07-25,568.0,570.155,563.305,569.74,635756.0
2025-07-24,568.25,576.86,566.5801,568.48,974954.0
2025-07-23,562.35,568.67,551.805,568.5,1251078.0
2025-07-22,536.01,567.1234,535.52,563.79,2395123.0
2025-07-21,518.31,523.98,514.39,515.29,832867.0
2025-07-18,523.35,528.27,515.64,519.04,874064.0
2025-07-17,519.0,525.52,518.64,523.83,621049.0
2025-07-16,516.84,520.78,514.0601,519.7,483661.0
2025-07-15,519.4,523.46,516.15,516.82,539574.0
2025-07-14,517.0,523.76,513.33,521.11,790441.0
2025-07-11,513.7,515.195,508.02,514.6,748973.0
2025-07-10,506.55,514.93,504.9796,513.87,624131.0
2025-07-09,505.81,508.405,502.2955,507.94,608961.0
2025-07-08,501.0,506.93,500.835,504.85,669571.0
2025-07-07,506.2,509.6,503.2001,507.92,653555.0
2025-07-03,500.26,505.19,498.61,504.2,381831.0
2025-07-02,493.0,499.02,489.52,498.9,817524.0
2025-07-01,499.95,504.81,496.38,503.53,651573.0
2025-06-30,495.31,501.08,493.96,499.98,644139.0
2025-06-27,490.95,494.68,489.26,494.0,874362.0
2025-06-26,489.19,497.04,487.68,493.66,876453.0
2025-06-25,488.0,488.46,483.84,486.92,724829.0
2025-06-24,494.8,495.12,481.28,484.0,930618.0
2025-06-23,500.81,508.32,496.4412,499.67,978833.0
2025-06-20,496.62,499.86,488.0,497.7,916352.0
2025-06-18,504.42,506.5999,493.58,494.65,792680.0
2025-06-17,502.0,505.85,498.059,503.97,764299.0
2025-06-16,510.81,515.0,495.58,497.52,1168662.0
2025-06-13,504.0,519.43,503.2,516.72,1843953.0
2025-06-12,488.82,497.32,487.945,497.13,635177.0
2025-06-11,483.57,488.71,472.02,488.46,895249.0
