date,Open,High,Low,Close,Volume
2025-10-31,175.29,176.98,170.36,171.86,1567808.0
2025-10-30,176.43,180.08,172.87,173.14,1769207.0
2025-10-29,173.68,180.54,170.5,178.5,2483095.0
2025-10-28,173.5,173.9,165.84,172.76,2472194.0
2025-10-27,172.28,173.35,169.8101,172.59,1602458.0
2025-10-24,167.45,170.57,167.08,170.36,1596170.0
2025-10-23,161.66,163.98,160.31,163.81,2226112.0
2025-10-22,164.02,165.37,158.31,160.42,2916195.0
2025-10-21,166.52,167.91,160.19,163.59,2071021.0
2025-10-20,171.81,172.9,166.31,167.01,1768846.0
2025-10-17,168.66,172.4,165.88,168.74,2091700.0
2025-10-16,173.09,173.995,165.74,169.93,2181634.0
2025-10-15,168.19,173.36,167.86,171.33,2111137.0
2025-10-14,165.57,168.98,163.09,165.61,1680882.0
2025-10-13,164.19,168.78,164.16,168.77,1965430.0
2025-10-10,167.72,168.83,160.38,160.43,1846217.0
2025-10-09,168.21,169.99,166.92,168.25,1973685.0
2025-10-08,164.59,169.33,163.5,167.52,2587632.0
2025-10-07,164.32,165.8,162.07,162.61,2648515.0
2025-10-06,168.97,169.9699,163.1,163.95,2408362.0
2025-10-03,168.23,172.205,165.83,166.28,2270164.0
2025-10-02,162.97,168.575,162.48,167.3,2642376.0
2025-10-01,161.68,165.45,160.57,161.91,3233027.0
2025-09-30,165.4,165.83,161.05,161.95,2449033.0
2025-09-29,169.31,170.095,164.66,165.34,2686479.0
2025-09-26,163.78,169.445,162.9,168.57,2443292.0
2025-09-25,160.96,164.96,157.9,162.96,2226438.0
2025-09-24,167.71,169.15,165.5,165.58,2133866.0
2025-09-23,171.16,171.57,165.18,167.43,2527267.0
2025-09-22,164.95,172.04,163.5001,170.97,2580123.0
2025-09-19,165.04,165.78,161.89,164.36,4195856.0
2025-09-18,167.08,167.58,161.87,164.19,2421814.0
2025-09-17,165.38,167.08,162.305,164.58,2373256.0
2025-09-16,166.62,167.24,162.25,164.22,2536495.0
2025-09-15,165.105,169.02,165.105,166.08,2357871.0
2025-09-12,157.7,165.82,157.02,164.84,2278795.0
2025-09-11,161.46,161.79,157.75,157.92,2303298.0
2025-09-10,154.95,162.26,154.905,161.21,3506683.0
2025-09-09,148.5,152.42,147.8244,152.26,1755759.0
2025-09-08,148.73,149.64,144.7884,147.76,2333969.0
2025-09-05,148.95,150.25,142.8729,147.66,1672701.0
2025-09-04,148.02,148.62,146.17,147.95,1305025.0
2025-09-03,144.89,148.21,144.192,146.91,1456918.0
2025-09-02,142.27,145.24,140.7728,145.11,2499359.0
2025-08-29,148.17,148.56,143.96,145.56,1560892.0
2025-08-28,147.93,151.205,147.455,148.66,1752548.0
2025-08-27,146.74,149.23,146.37,148.12,1951357.0
2025-08-26,145.0,146.565,143.8201,146.23,2123367.0
2025-08-25,145.74,146.89,144.28,144.77,2051382.0
2025-08-22,146.87,148.44,144.38,145.09,1900448.0
2025-08-21,148.55,150.16,144.7001,145.89,1889239.0
2025-08-20,147.27,148.78,143.55,148.19,2459270.0
2025-08-19,149.52,150.12,147.05,148.38,2190844.0
2025-08-18,148.89,150.88,147.81,150.44,2093726.0
2025-08-15,155.09,155.39,148.29,148.62,2789467.0
2025-08-14,152.6,156.46,151.9,153.78,2211072.0
2025-08-13,157.1,158.9846,151.91,155.0,2514690.0
2025-08-12,152.0,157.0,151.5885,156.69,2410609.0
2025-08-11,152.0,154.9,151.37,152.03,2779746.0
2025-08-08,153.43,155.06,151.5,152.54,2574272.0
2025-08-07,151.09,155.0,150.005,153.22,4884479.0
2025-08-06,166.07,166.07,145.0,148.56,9532996.0
2025-08-05,174.99,175.96,167.46,171.96,4432463.0
2025-08-04,169.49,174.45,168.95,173.91,3195607.0
2025-08-01,162.17,168.375,160.38,167.63,2560607.0
2025-07-31,167.29,169.24,165.495,167.2,3266149.0
2025-07-30,161.6,167.0,161.0001,166.59,3887610.0
2025-07-29,159.56,160.345,156.88,159.87,1979507.0
2025-07-28,158.01,159.65,157.1666,158.54,2071789.0
2025-07-25,158.43,158.88,155.83,156.59,2026163.0
