date,Open,High,Low,Close,Volume
2025-10-31,280.41,284.53,279.495,283.38,1062603.0
2025-10-30,279.63,283.41,279.485,281.62,816741.0
2025-10-29,280.0,281.5,278.41,279.53,1048512.0
2025-10-28,282.71,284.62,280.31,280.4,1535282.0
2025-10-27,281.95,282.58,280.07,281.64,1086315.0
2025-10-24,283.48,285.08,279.92,280.5,1466778.0
2025-10-23,288.64,289.62,283.41,283.83,1124233.0
2025-10-22,290.21,292.5414,288.54,288.63,1232140.0
2025-10-21,290.11,292.08,288.98,289.78,993102.0
2025-10-20,289.57,292.89,289.5,291.15,1348078.0
2025-10-17,289.56,292.5675,289.24,289.78,991271.0
2025-10-16,291.45,291.45,287.35,288.49,1115822.0
2025-10-15,290.41,291.72,288.43,289.7,938203.0
2025-10-14,287.68,292.1114,287.0001,290.31,745569.0
2025-10-13,289.5,291.42,287.79,289.57,1057256.0
2025-10-10,295.72,297.57,288.31,288.37,925817.0
2025-10-09,297.53,297.53,294.47,294.89,926473.0
2025-10-08,294.99,297.54,292.95,296.62,886352.0
2025-10-07,299.95,300.835,294.81,295.86,912205.0
2025-10-06,301.44,301.53,298.57,299.65,2076619.0
2025-10-03,298.31,302.24,298.31,300.15,1839362.0
2025-10-02,299.31,301.47,297.63,298.3,1292881.0
2025-10-01,299.18,300.8,297.2,298.68,1594853.0
2025-09-30,299.0,300.6,298.667,300.41,1089363.0
2025-09-29,297.23,300.91,297.23,299.62,1117994.0
2025-09-26,294.68,298.42,293.33,297.49,1835444.0
2025-09-25,293.91,295.535,293.54,294.57,1666932.0
2025-09-24,292.45,296.375,292.45,293.32,2405236.0
2025-09-23,291.0,293.64,289.81,292.08,1734480.0
2025-09-22,284.69,294.78,282.955,290.55,2918176.0
2025-09-19,283.8,284.76,282.605,283.71,2712447.0
2025-09-18,278.38,283.12,277.76,282.68,1095413.0
2025-09-17,278.95,280.11,276.55,278.0,2854854.0
2025-09-16,278.0,280.985,277.61,278.09,1707116.0
2025-09-15,277.0,277.46,274.78,277.16,1169509.0
2025-09-12,273.86,276.23,273.76,274.72,2243820.0
2025-09-11,271.9,275.62,271.875,274.0,1447173.0
2025-09-10,272.42,274.01,268.23,272.36,1979389.0
2025-09-09,275.49,276.63,273.33,273.45,1362768.0
2025-09-08,277.0,277.78,274.83,275.59,1946247.0
2025-09-05,279.82,280.24,276.6,277.75,1302073.0
2025-09-04,278.56,280.28,277.25,279.76,923321.0
2025-09-03,278.22,279.61,276.52,278.19,1487929.0
2025-09-02,277.97,278.665,275.15,278.25,1718729.0
2025-08-29,277.5,280.12,277.5,279.98,1543097.0
2025-08-28,278.8,280.76,276.28,277.8,3031661.0
2025-08-27,276.36,276.94,272.08,272.35,2525361.0
2025-08-26,274.99,276.9,273.71,276.67,2275391.0
2025-08-25,284.48,284.48,275.4,277.39,2649496.0
2025-08-22,286.37,291.6947,269.31,284.6,4575312.0
2025-08-21,285.04,285.42,283.16,284.35,1899671.0
2025-08-20,285.25,288.64,285.09,285.49,1742918.0
2025-08-19,280.34,287.4859,280.34,285.53,2126981.0
2025-08-18,279.49,281.25,278.8125,279.79,1392268.0
2025-08-15,282.7,283.38,280.48,280.74,1939874.0
2025-08-14,281.24,282.66,279.03,282.5,1761800.0
2025-08-13,278.36,282.695,277.3301,281.84,1520370.0
2025-08-12,279.79,280.4,277.08,278.24,1650880.0
2025-08-11,280.06,281.0475,276.83,278.32,1280890.0
2025-08-08,281.41,283.42,279.46,280.03,1295430.0
2025-08-07,284.43,285.46,279.33,280.47,2187534.0
2025-08-06,280.55,285.6,279.11,282.95,2281346.0
2025-08-05,278.4,280.06,277.45,279.87,1778305.0
2025-08-04,276.54,280.51,275.7,278.12,3123947.0
2025-08-01,274.83,276.4073,273.1,274.85,2727475.0
2025-07-31,277.38,280.34,276.795,278.0,3691005.0
2025-07-30,278.97,283.99,278.25,279.0,5866713.0
2025-07-29,275.42,282.9,274.0,277.7,9749593.0
2025-07-28,282.35,287.98,282.12,286.42,3822084.0
2025-07-25,277.51,283.46,275.57,282.38,4530713.0
2025-07-24,288.0,288.11,275.25,278.0,5379522.0
2025-07-23,280.505,281.18,278.35,280.27,1703493.0
2025-07-22,279.72,281.19,276.96,280.26,2041847.0
2025-07-21,278.17,279.29,275.855,277.38,1689149.0
2025-07-18,278.03,280.0,273.76,276.66,6134301.0
2025-07-17,264.1,270.42,264.005,269.81,3024586.0
2025-07-16,261.0,261.36,257.4901,260.32,1083488.0
2025-07-15,262.89,262.89,259.27,259.49,1119980.0
2025-07-14,265.45,265.5,261.0,262.89,1553844.0
2025-07-11,261.0,267.99,260.96,266.57,1718359.0
2025-07-10,260.16,265.0,259.25,263.14,902927.0
2025-07-09,261.57,262.4,260.04,260.04,941862.0
2025-07-08,259.29,263.41,258.65,261.2,1222176.0
2025-07-07,261.44,262.33,258.8,259.99,870336.0
2025-07-03,262.43,263.82,261.94,262.5,928463.0
2025-07-02,262.75,263.35,260.3,262.0,2002649.0
2025-07-01,255.78,264.68,255.41,262.38,1309421.0
2025-06-30,255.92,256.99,255.0301,255.97,1466176.0
2025-06-27,255.9,257.55,254.18,255.81,1905810.0
2025-06-26,256.26,256.26,252.54,255.51,1402753.0
2025-06-25,256.86,257.415,254.28,255.21,922094.0
2025-06-24,258.0,258.29,254.97,257.46,1193332.0
2025-06-23,253.17,256.87,251.62,256.58,1035983.0
2025-06-20,254.09,255.52,252.32,253.18,1849323.0
2025-06-18,251.44,254.38,250.645,252.93,1410930.0
2025-06-17,250.8,252.78,249.39,250.42,1333293.0
2025-06-16,249.96,252.66,248.82,252.13,1049030.0
2025-06-13,250.3,252.21,247.85,248.6,916879.0
2025-06-12,250.05,251.66,249.16,251.47,985044.0
2025-06-11,253.54,253.54,250.05,251.33,1029047.0
