date,Open,High,Low,Close,Volume
2025-10-31,116.13,118.56,115.98,117.78,1498980.0
2025-10-30,114.13,116.29,113.67,115.57,1303134.0
2025-10-29,115.96,116.25,113.79,114.12,2164668.0
2025-10-28,117.0,117.16,114.11,115.91,1667165.0
2025-10-27,117.36,118.25,116.13,117.19,1522422.0
2025-10-24,119.26,119.26,116.42,116.64,1709629.0
2025-10-23,117.14,119.06,117.14,117.79,1521251.0
2025-10-22,119.01,119.58,115.63,116.76,1597120.0
2025-10-21,116.66,119.65,116.66,119.08,1207852.0
2025-10-20,119.82,120.365,117.06,117.24,1414231.0
2025-10-17,119.24,119.99,118.25,119.07,1234693.0
2025-10-16,122.11,123.0,118.66,119.4,2093931.0
2025-10-15,121.62,123.66,120.715,121.47,2306988.0
2025-10-14,116.94,121.725,116.36,120.55,2309890.0
2025-10-13,116.28,119.39,115.4,118.86,2052353.0
2025-10-10,119.0,119.0,112.63,113.94,4304592.0
2025-10-09,121.14,121.5,118.75,120.31,1387846.0
2025-10-08,118.24,121.955,118.01,121.82,1433416.0
2025-10-07,121.69,122.32,117.35,117.99,1352973.0
2025-10-06,119.99,120.54,117.57,120.42,1636851.0
2025-10-03,119.89,121.365,118.65,118.72,1265345.0
2025-10-02,120.06,120.6563,118.07,120.07,1588994.0
2025-10-01,117.43,119.175,117.08,118.5,1841392.0
2025-09-30,118.37,119.3899,116.525,118.46,2056504.0
2025-09-29,120.67,121.15,118.15,118.57,1607573.0
2025-09-26,120.84,120.95,119.34,119.88,1475114.0
2025-09-25,121.87,122.0,119.62,120.78,1867713.0
2025-09-24,123.22,123.585,122.32,123.25,1825450.0
2025-09-23,124.61,124.78,122.92,123.44,1974701.0
2025-09-22,124.52,125.2148,123.75,124.61,1512770.0
2025-09-19,126.54,126.66,124.35,125.16,7250398.0
2025-09-18,123.875,126.54,123.875,126.36,1842564.0
2025-09-17,123.2,124.76,122.21,123.92,1770450.0
2025-09-16,124.06,124.56,122.67,123.37,1685038.0
2025-09-15,124.3,125.82,123.42,124.16,2477842.0
2025-09-12,125.05,125.26,123.745,124.0,1868587.0
2025-09-11,124.3,125.63,122.58,125.09,2106640.0
2025-09-10,123.67,124.62,122.7432,123.53,2170226.0
2025-09-09,121.6,123.25,120.73,123.12,2000837.0
2025-09-08,118.83,121.33,118.375,121.17,3018356.0
2025-09-05,119.0,120.46,117.54,118.75,1413027.0
2025-09-04,117.0,118.99,115.2,118.83,2049848.0
2025-09-03,115.41,116.59,115.39,116.47,1982230.0
2025-09-02,110.91,115.6,110.21,115.37,2710042.0
2025-08-29,116.46,118.24,112.19,112.79,2552060.0
2025-08-28,108.61,117.42,108.61,117.22,4683747.0
2025-08-27,109.42,112.46,109.3,112.13,3377534.0
2025-08-26,110.8,111.26,109.39,109.41,3099413.0
2025-08-25,110.37,111.54,109.94,111.01,2293782.0
2025-08-22,108.47,110.86,107.56,110.52,1331260.0
2025-08-21,108.12,108.65,107.258,107.775,1509514.0
2025-08-20,109.18,109.225,105.855,108.42,2498819.0
2025-08-19,109.07,110.1,108.69,109.16,1731897.0
2025-08-18,108.55,109.39,108.34,108.9,1193410.0
2025-08-15,109.62,110.005,108.0701,108.79,2066159.0
2025-08-14,108.79,109.85,108.04,109.56,1965344.0
2025-08-13,108.0,109.51,107.37,109.4,1306645.0
2025-08-12,106.45,108.05,106.285,107.78,1558273.0
2025-08-11,105.9,107.275,105.325,105.88,1334343.0
2025-08-08,104.51,106.49,103.9,106.21,1275303.0
2025-08-07,104.34,104.61,102.36,103.85,1330437.0
2025-08-06,102.69,104.26,102.13,103.33,1630377.0
2025-08-05,103.77,104.03,101.8019,102.01,1255862.0
2025-08-04,101.82,103.32,101.23,103.23,1193767.0
2025-08-01,102.51,102.84,100.555,101.1,1415085.0
2025-07-31,104.88,105.92,103.9,104.13,1196452.0
2025-07-30,106.0,106.495,104.18,104.7,1363380.0
2025-07-29,107.66,107.9161,105.39,106.085,1362955.0
2025-07-28,105.36,107.13,105.36,106.91,1177190.0
2025-07-25,105.09,105.335,104.37,104.94,893171.0
2025-07-24,105.73,106.35,104.6,104.66,1585202.0
2025-07-23,105.65,106.5,105.32,105.88,2082959.0
2025-07-22,107.47,107.97,104.92,104.95,1650332.0
2025-07-21,109.04,109.055,106.915,107.46,2159727.0
2025-07-18,108.18,110.3199,107.76,108.37,1742715.0
2025-07-17,104.34,107.26,104.04,107.25,2578126.0
2025-07-16,103.65,104.48,102.3775,104.16,1423170.0
2025-07-15,105.83,105.83,103.43,103.47,982276.0
2025-07-14,105.01,105.39,102.72,104.67,1275029.0
2025-07-11,105.4,105.97,104.565,105.27,1538128.0
2025-07-10,106.84,106.89,105.71,106.42,1354744.0
2025-07-09,106.66,107.07,105.6,106.67,1201904.0
2025-07-08,106.18,107.16,105.26,106.66,1270396.0
2025-07-07,106.87,107.91,105.2001,105.5,1376918.0
2025-07-03,107.45,108.25,106.845,107.26,940236.0
2025-07-02,106.4,107.679,104.854,107.61,1400089.0
2025-07-01,106.05,108.095,105.62,106.69,1493527.0
2025-06-30,106.5,106.97,105.44,106.55,2006006.0
2025-06-27,105.29,106.46,103.47,105.72,2976118.0
2025-06-26,105.32,105.75,103.54,104.75,2115744.0
2025-06-25,106.42,107.0,105.05,105.18,1676980.0
2025-06-24,104.8,106.22,103.91,106.13,1905378.0
2025-06-23,102.03,104.355,101.73,104.27,2523247.0
2025-06-20,103.5,103.93,101.835,102.69,3005910.0
2025-06-18,104.13,104.24,102.41,102.75,1859648.0
2025-06-17,103.57,104.641,102.45,103.2,2124497.0
2025-06-16,101.65,104.28,101.165,104.2,2113976.0
2025-06-13,101.48,102.01,99.9,100.49,3516004.0
2025-06-12,102.15,103.7025,101.915,102.94,1901066.0
2025-06-11,102.99,102.99,101.19,102.63,2800559.0
