date,Open,High,Low,Close,Volume
2025-10-31,126.9,129.03,125.985,128.67,1136720.0
2025-10-30,127.26,129.5125,126.59,126.9,1059700.0
2025-10-29,126.4,128.9,125.7274,127.26,1160008.0
2025-10-28,126.33,127.645,126.095,127.34,1025299.0
2025-10-27,126.97,127.6,125.29,126.2,1018550.0
2025-10-24,126.11,127.0,125.245,126.03,955723.0
2025-10-23,126.15,126.285,123.71,124.74,1377961.0
2025-10-22,124.5,126.775,122.78,125.48,1653370.0
2025-10-21,128.73,129.81,127.66,128.52,923393.0
2025-10-20,125.97,130.19,125.22,128.85,1253276.0
2025-10-17,125.0,125.74,121.12,124.82,1824986.0
2025-10-16,129.94,130.21,124.09,124.57,1137633.0
2025-10-15,130.03,130.805,128.38,129.88,972447.0
2025-10-14,126.37,130.7,126.275,129.02,896794.0
2025-10-13,125.6,127.545,125.6,127.03,959493.0
2025-10-10,130.32,131.265,124.42,124.72,1219406.0
2025-10-09,131.18,131.535,129.3,129.99,1044425.0
2025-10-08,132.96,133.1,129.84,130.75,1264285.0
2025-10-07,133.3,133.84,131.5,132.45,1636138.0
2025-10-06,133.25,133.92,130.57,132.21,800903.0
2025-10-03,133.42,134.35,131.28,132.4,976916.0
2025-10-02,131.0,133.56,130.19,133.24,1067852.0
2025-10-01,133.61,134.54,130.56,131.2,1281168.0
2025-09-30,134.01,135.48,131.3,134.6,1433237.0
2025-09-29,133.99,134.135,132.7901,133.9,1012919.0
2025-09-26,132.22,135.0,131.695,133.31,1173714.0
2025-09-25,129.85,131.635,129.453,131.38,1216179.0
2025-09-24,131.07,131.73,129.15,129.51,1187315.0
2025-09-23,131.86,133.695,129.84,130.52,911585.0
2025-09-22,130.34,131.96,130.005,131.78,796614.0
2025-09-19,132.94,132.94,131.03,131.5,2960903.0
2025-09-18,129.85,132.66,129.21,132.22,1402447.0
2025-09-17,129.86,131.39,128.4348,129.46,1290174.0
2025-09-16,130.39,130.39,128.12,129.25,699173.0
2025-09-15,129.35,131.55,129.095,130.26,1428707.0
2025-09-12,129.09,130.44,128.735,129.42,801954.0
2025-09-11,127.6,129.92,125.98,129.48,1375864.0
2025-09-10,128.6,129.18,126.4,127.06,1516726.0
2025-09-09,127.36,129.54,126.791,128.88,916845.0
2025-09-08,127.46,127.95,126.37,127.43,1043099.0
2025-09-05,129.19,129.71,125.25,127.27,1221418.0
2025-09-04,130.29,130.85,129.06,129.49,1157259.0
2025-09-03,129.29,130.71,127.3049,129.7,832420.0
2025-09-02,129.7,130.565,127.73,129.77,918876.0
2025-08-29,130.87,131.63,130.13,131.28,852982.0
2025-08-28,132.05,132.3093,130.89,130.99,997277.0
2025-08-27,131.56,132.63,131.51,131.57,660852.0
2025-08-26,130.14,132.19,129.38,131.87,1270365.0
2025-08-25,130.0,130.86,129.8,130.61,656595.0
2025-08-22,127.83,130.72,127.8,130.06,1014855.0
2025-08-21,127.53,127.82,126.7862,127.31,709907.0
2025-08-20,127.36,128.28,125.06,127.88,698128.0
2025-08-19,127.38,128.67,126.91,127.36,775126.0
2025-08-18,125.56,127.2,125.56,127.05,637865.0
2025-08-15,129.12,129.12,125.91,126.02,787506.0
2025-08-14,125.65,128.69,125.02,128.49,1396876.0
2025-08-13,127.8,128.34,124.53,125.97,1148796.0
2025-08-12,126.06,127.62,125.87,127.38,1395820.0
2025-08-11,126.04,126.585,124.71,125.24,1120867.0
2025-08-08,125.51,126.395,124.71,125.65,1152353.0
2025-08-07,126.86,126.95,124.44,124.73,1267264.0
2025-08-06,126.08,126.525,124.85,125.67,1135647.0
2025-08-05,128.48,128.65,125.03,125.92,1446392.0
2025-08-04,127.81,128.47,126.805,127.65,841004.0
2025-08-01,127.73,128.53,125.375,127.06,1409355.0
2025-07-31,130.97,131.98,129.565,130.0,1289314.0
2025-07-30,131.46,132.75,130.7,131.56,805618.0
2025-07-29,130.94,132.47,130.24,131.64,1315223.0
2025-07-28,129.83,130.13,128.72,129.78,816984.0
2025-07-25,128.96,130.19,127.71,130.03,1158006.0
2025-07-24,124.74,129.155,123.4,128.76,2289897.0
2025-07-23,121.0,125.63,118.99,124.23,3428724.0
2025-07-22,128.0,128.1715,125.465,126.53,1867648.0
2025-07-21,127.8,127.8,125.51,125.59,1412303.0
2025-07-18,127.62,128.23,127.08,127.93,1382087.0
2025-07-17,124.5,127.21,124.41,127.06,1128066.0
2025-07-16,124.56,125.5,123.04,124.81,2257681.0
2025-07-15,126.0,127.04,123.45,123.6,2047607.0
2025-07-14,125.91,126.65,124.26,126.57,1279079.0
2025-07-11,125.65,126.16,124.28,125.91,1459853.0
2025-07-10,127.0,128.12,126.29,126.62,1656175.0
2025-07-09,126.52,127.83,125.77,127.0,1607920.0
2025-07-08,128.62,128.82,125.89,125.96,1726747.0
2025-07-07,131.83,132.37,128.25,128.5,2475956.0
2025-07-03,132.5,133.0,131.385,131.7,1442540.0
2025-07-02,128.54,132.12,127.35,132.06,2046718.0
2025-07-01,126.12,128.17,125.25,127.99,2554323.0
2025-06-30,124.94,127.09,124.24,126.79,2945445.0
2025-06-27,123.17,124.52,121.77,124.41,2358554.0
2025-06-26,123.8,124.19,121.98,122.97,2084271.0
2025-06-25,118.58,124.15,118.53,123.8,4307648.0
2025-06-24,121.36,121.4999,117.765,118.18,4712151.0
2025-06-23,119.0,123.31,117.715,120.81,15633636.0
2025-06-20,111.9,112.73,111.42,111.85,2546248.0
2025-06-18,109.39,113.12,109.39,110.98,2392133.0
2025-06-17,110.22,111.0337,109.0,109.63,1817306.0
2025-06-16,108.58,111.31,108.425,110.91,1838759.0
2025-06-13,107.94,109.05,107.0846,107.75,1318630.0
2025-06-12,108.04,109.29,107.18,109.06,1000383.0
2025-06-11,110.0,110.1,108.12,108.44,1928958.0
