date,Open,High,Low,Close,Volume
2025-10-31,3.76,3.8,3.09,3.4,68196934.0
2025-10-30,4.88,4.94,4.685,4.72,9822737.0
2025-10-29,4.96,5.02,4.88,4.93,6670608.0
2025-10-28,5.06,5.0699,4.92,5.0,5890948.0
2025-10-27,5.0,5.1399,5.0,5.09,6485200.0
2025-10-24,5.02,5.04,4.97,4.98,4962115.0
2025-10-23,4.85,5.0,4.85,4.98,4687667.0
2025-10-22,4.85,4.93,4.81,4.86,4838069.0
2025-10-21,4.85,4.9651,4.78,4.86,4034938.0
2025-10-20,4.87,4.95,4.83,4.85,6087360.0
2025-10-17,4.76,4.89,4.76,4.85,8147583.0
2025-10-16,4.84,4.91,4.75,4.8,9635837.0
2025-10-15,4.85,4.97,4.72,4.8,8286001.0
2025-10-14,4.79,4.94,4.755,4.85,6766761.0
2025-10-13,4.97,4.9999,4.82,4.83,6195437.0
2025-10-10,5.01,5.075,4.825,4.84,7710477.0
2025-10-09,5.03,5.04,4.89,4.98,9939454.0
2025-10-08,5.2,5.22,5.03,5.03,6534343.0
2025-10-07,5.25,5.42,5.155,5.19,5429282.0
2025-10-06,5.47,5.51,5.21,5.25,5817647.0
2025-10-03,5.25,5.555,5.245,5.39,6729880.0
2025-10-02,5.22,5.3,5.1,5.205,5015711.0
2025-10-01,5.26,5.35,5.125,5.22,7726812.0
2025-09-30,5.03,5.26,4.93,5.24,13013616.0
2025-09-29,5.26,5.26,5.04,5.09,7988274.0
2025-09-26,5.14,5.27,5.12,5.17,6219845.0
2025-09-25,5.38,5.38,5.145,5.15,6197196.0
2025-09-24,5.42,5.47,5.34,5.46,7976795.0
2025-09-23,5.53,5.565,5.385,5.39,6620171.0
2025-09-22,5.5,5.53,5.44,5.49,6507678.0
2025-09-19,5.82,5.82,5.52,5.53,9563572.0
2025-09-18,5.82,5.89,5.75,5.8,4269793.0
2025-09-17,5.82,6.105,5.74,5.74,5399751.0
2025-09-16,5.84,5.88,5.7445,5.86,4283041.0
2025-09-15,5.99,5.99,5.795,5.84,5843040.0
2025-09-12,6.05,6.05,5.85,5.92,5979945.0
2025-09-11,6.08,6.26,6.045,6.09,4516252.0
2025-09-10,6.225,6.23,5.99,6.07,6326697.0
2025-09-09,6.37,6.445,6.2,6.22,6479516.0
2025-09-08,6.39,6.39,6.195,6.33,9001909.0
2025-09-05,6.35,6.635,6.23,6.39,9535907.0
2025-09-04,6.29,6.33,6.15,6.31,11958161.0
2025-09-03,5.85,6.31,5.85,6.29,11264812.0
2025-09-02,5.8,5.87,5.73,5.84,9617645.0
2025-08-29,5.86,5.995,5.86,5.92,6131422.0
2025-08-28,5.96,6.06,5.84,5.92,6313534.0
2025-08-27,5.79,5.98,5.77,5.95,7440783.0
2025-08-26,5.79,5.93,5.71,5.78,8915811.0
2025-08-25,5.77,5.835,5.69,5.82,5459269.0
2025-08-22,5.49,5.8551,5.49,5.77,5676717.0
2025-08-21,5.51,5.525,5.41,5.49,4522023.0
2025-08-20,5.82,5.825,5.55,5.57,5952551.0
2025-08-19,5.87,5.95,5.78,5.85,7038765.0
2025-08-18,5.49,5.99,5.46,5.87,11590877.0
2025-08-15,5.46,5.59,5.39,5.46,7308560.0
2025-08-14,5.06,5.4,5.032,5.39,10257751.0
2025-08-13,4.95,5.23,4.86,5.19,7294820.0
2025-08-12,4.89,5.035,4.83,4.93,5770437.0
2025-08-11,4.9,4.98,4.7934,4.83,7416447.0
2025-08-08,4.92,4.945,4.805,4.88,5378062.0
2025-08-07,4.98,5.11,4.905,4.93,7036354.0
2025-08-06,5.13,5.135,4.94,4.95,6855286.0
2025-08-05,5.0,5.17,4.98,5.12,7818493.0
2025-08-04,4.83,5.15,4.825,4.975,14057289.0
2025-08-01,5.13,5.36,4.58,4.76,30631282.0
2025-07-31,5.72,5.74,5.545,5.61,10575504.0
2025-07-30,5.93,5.98,5.67,5.72,8475649.0
2025-07-29,6.13,6.18,5.91,5.95,7667226.0
2025-07-28,6.27,6.31,6.07,6.17,5166040.0
2025-07-25,6.21,6.335,6.07,6.27,4961703.0
2025-07-24,6.3,6.33,6.12,6.15,5495786.0
2025-07-23,6.19,6.375,6.145,6.37,7045780.0
2025-07-22,5.67,6.12,5.6591,6.11,8327958.0
2025-07-21,5.65,5.69,5.58,5.63,5209118.0
2025-07-18,5.66,5.675,5.54,5.6,4574442.0
2025-07-17,5.46,5.65,5.445,5.64,4912211.0
2025-07-16,5.47,5.51,5.35,5.46,4879380.0
2025-07-15,5.65,5.67,5.41,5.42,5714578.0
2025-07-14,5.77,5.78,5.58,5.64,4900642.0
2025-07-11,5.81,5.86,5.77,5.81,6604098.0
2025-07-10,5.9,6.12,5.86,5.91,6254533.0
2025-07-09,5.77,5.875,5.71,5.86,6038545.0
2025-07-08,5.73,5.85,5.59,5.72,6507725.0
2025-07-07,5.77,5.89,5.66,5.72,11393464.0
2025-07-03,5.94,5.96,5.77,5.84,5482313.0
2025-07-02,5.695,5.98,5.63,5.92,13348084.0
2025-07-01,5.38,5.83,5.33,5.63,11135515.0
2025-06-30,5.44,5.46,5.3,5.4,6731736.0
2025-06-27,5.235,5.46,5.205,5.44,13828962.0
2025-06-26,5.13,5.215,5.1,5.2,5674769.0
2025-06-25,5.27,5.27,5.095,5.12,8169618.0
2025-06-24,5.35,5.3599,5.16,5.23,9564238.0
2025-06-23,5.3,5.32,5.03,5.28,12264159.0
2025-06-20,5.5,5.5,5.37,5.41,12088009.0
2025-06-18,5.44,5.52,5.3528,5.44,9335096.0
2025-06-17,5.67,5.7,5.39,5.42,9531748.0
2025-06-16,5.34,5.8,5.335,5.78,12596317.0
2025-06-13,5.57,5.63,5.22,5.24,12202159.0
2025-06-12,5.62,5.62,5.37,5.43,8972732.0
2025-06-11,5.79,5.79,5.615,5.68,6971724.0
