date,Open,High,Low,Close,Volume
2025-10-31,26.4,26.57,26.23,26.5,3706764.0
2025-10-30,26.07,26.53,25.765,26.48,2738981.0
2025-10-29,26.62,26.62,25.99,26.05,3189068.0
2025-10-28,26.81,27.005,26.62,26.68,2679305.0
2025-10-27,26.5,26.85,26.48,26.75,3951446.0
2025-10-24,26.5,26.6,26.31,26.32,2101693.0
2025-10-23,26.25,26.51,26.135,26.4,2716092.0
2025-10-22,26.42,26.61,26.19,26.25,2356614.0
2025-10-21,26.39,26.625,26.3,26.38,2226731.0
2025-10-20,26.15,26.625,26.05,26.44,2997530.0
2025-10-17,25.96,26.17,25.7,26.02,2205724.0
2025-10-16,26.6,26.7,25.875,25.91,2564884.0
2025-10-15,26.76,27.12,26.475,26.57,3572151.0
2025-10-14,25.92,26.66,25.905,26.64,4928538.0
2025-10-13,25.88,26.15,25.74,26.09,3407046.0
2025-10-10,26.5,26.7291,25.75,25.78,3196008.0
2025-10-09,26.99,26.99,26.43,26.46,3383170.0
2025-10-08,27.37,27.39,26.815,27.02,3489317.0
2025-10-07,28.05,28.12,27.345,27.38,3651847.0
2025-10-06,28.545,28.545,27.795,28.06,3880058.0
2025-10-03,28.6,28.855,28.24,28.38,4145935.0
2025-10-02,28.86,29.12,28.54,28.55,3911313.0
2025-10-01,30.56,30.56,28.94,28.95,6912804.0
2025-09-30,31.05,31.61,30.645,30.71,15257689.0
2025-09-29,30.54,31.11,30.28,31.03,4021009.0
2025-09-26,30.25,30.545,30.14,30.45,2594702.0
2025-09-25,30.3,30.44,30.07,30.175,2755935.0
2025-09-24,30.58,30.7475,30.22,30.23,3791511.0
2025-09-23,30.84,30.945,30.505,30.58,2708295.0
2025-09-22,30.67,30.88,30.51,30.81,3333613.0
2025-09-19,30.52,30.86,30.385,30.62,6983396.0
2025-09-18,30.32,30.735,30.095,30.45,2591482.0
2025-09-17,29.81,30.505,29.765,30.23,5312040.0
2025-09-16,29.87,29.895,29.46,29.73,5085192.0
2025-09-15,29.5,29.92,29.28,29.89,4263314.0
2025-09-12,29.61,29.61,29.18,29.23,4752389.0
2025-09-11,28.8,29.56,28.66,29.52,5649302.0
2025-09-10,29.21,29.385,28.715,28.77,4806200.0
2025-09-09,29.35,29.635,28.83,29.42,11041589.0
2025-09-08,29.43,30.04,29.15,29.94,3796384.0
2025-09-05,29.33,29.755,29.19,29.44,3321313.0
2025-09-04,29.02,29.315,28.695,29.3,3666090.0
2025-09-03,28.72,28.975,28.005,28.94,4478757.0
2025-09-02,29.09,29.285,28.755,28.85,4671096.0
2025-08-29,29.46,29.54,29.235,29.41,2068690.0
2025-08-28,29.69,30.015,29.375,29.48,1708522.0
2025-08-27,29.64,29.885,29.575,29.66,1739124.0
2025-08-26,30.2,30.2,29.31,29.73,3022070.0
2025-08-25,30.38,30.56,30.13,30.14,1959286.0
2025-08-22,29.93,30.645,29.52,30.5,2448427.0
2025-08-21,29.48,29.835,29.435,29.74,2336971.0
2025-08-20,29.88,30.07,29.5,29.61,2421921.0
2025-08-19,29.68,29.85,29.4701,29.85,2484013.0
2025-08-18,29.43,29.615,29.3,29.53,2718398.0
2025-08-15,29.94,29.94,29.4,29.47,7741770.0
2025-08-14,29.52,29.98,29.36,29.8,2855134.0
2025-08-13,28.92,29.64,28.82,29.62,3931120.0
2025-08-12,28.38,28.89,28.38,28.82,3853898.0
2025-08-11,28.59,28.86,28.21,28.38,4021633.0
2025-08-08,28.97,29.09,28.49,28.52,3740108.0
2025-08-07,29.63,30.115,28.9,28.97,4479810.0
2025-08-06,29.8,30.08,28.695,29.43,6538799.0
2025-08-05,29.44,29.515,29.15,29.29,4537570.0
2025-08-04,29.13,29.525,29.01,29.51,3014421.0
2025-08-01,29.21,29.245,28.66,29.09,2872116.0
2025-07-31,29.24,29.465,29.175,29.32,2557583.0
2025-07-30,29.27,29.505,29.15,29.3,2664870.0
2025-07-29,29.48,29.48,29.155,29.22,2366539.0
2025-07-28,29.48,29.535,29.33,29.37,2330209.0
2025-07-25,29.35,29.595,29.26,29.53,2332366.0
2025-07-24,29.32,29.605,29.18,29.35,2143596.0
2025-07-23,29.43,29.52,29.305,29.42,2371598.0
2025-07-22,29.24,29.595,29.205,29.43,2456324.0
2025-07-21,29.82,29.97,29.13,29.16,3004723.0
2025-07-18,30.32,30.37,29.8,29.86,2741007.0
2025-07-17,29.79,30.19,29.7,30.17,3242502.0
2025-07-16,29.8,29.93,29.42,29.88,2628243.0
2025-07-15,30.335,30.75,29.65,29.67,4258944.0
2025-07-14,29.54,29.79,29.46,29.73,1755879.0
2025-07-11,29.58,29.695,29.46,29.54,1793876.0
2025-07-10,29.4,29.745,29.24,29.66,2510239.0
2025-07-09,29.52,29.57,29.285,29.39,1722246.0
2025-07-08,29.37,29.59,29.335,29.47,2643857.0
2025-07-07,29.72,29.79,29.275,29.37,2699184.0
2025-07-03,29.64,29.92,29.57,29.74,1405234.0
2025-07-02,29.69,29.81,29.4,29.61,2498811.0
2025-07-01,29.69,29.915,29.44,29.73,2376362.0
