date,Open,High,Low,Close,Volume
2025-10-31,57.46,58.19,57.21,57.98,6794265.0
2025-10-30,58.52,58.84,57.875,57.91,7396353.0
2025-10-29,59.04,59.305,58.09,58.36,7192888.0
2025-10-28,60.27,60.27,59.16,59.21,5791030.0
2025-10-27,60.0,60.41,59.79,60.4,4946488.0
2025-10-24,60.375,60.435,59.98,59.99,3884242.0
2025-10-23,60.51,60.58,59.875,60.22,3455745.0
2025-10-22,60.05,60.545,59.855,60.27,4077429.0
2025-10-21,60.7,60.9,59.69,60.03,5307348.0
2025-10-20,60.01,60.645,59.99,60.64,3687642.0
2025-10-17,59.5,59.99,59.33,59.94,4241137.0
2025-10-16,59.56,59.91,59.24,59.29,4717781.0
2025-10-15,58.85,59.545,58.61,59.46,5143806.0
2025-10-14,58.73,59.09,58.5601,58.84,5303493.0
2025-10-13,58.12,58.87,58.0301,58.73,4231653.0
2025-10-10,58.76,58.97,58.22,58.26,4849447.0
2025-10-09,59.14,59.3,58.415,58.66,4040084.0
2025-10-08,59.485,59.55,58.96,59.01,4673467.0
2025-10-07,59.955,60.085,59.505,59.63,4613245.0
2025-10-06,60.25,60.39,59.9,59.9,4976757.0
2025-10-03,60.05,60.7401,60.05,60.4,4124151.0
2025-10-02,60.28,60.31,59.82,60.08,4493276.0
2025-10-01,60.5,60.74,60.305,60.46,5639149.0
2025-09-30,60.55,60.82,60.3,60.79,6683992.0
2025-09-29,60.3,60.55,60.1,60.55,6067518.0
2025-09-26,59.87,60.465,59.87,60.32,5681779.0
2025-09-25,60.2,60.36,59.49,59.79,4799278.0
2025-09-24,59.67,60.3,59.46,59.98,5751310.0
2025-09-23,59.12,59.6356,59.1,59.55,4571782.0
2025-09-22,59.31,59.32,58.71,59.06,5909860.0
2025-09-19,59.07,59.696,58.95,59.16,12684314.0
2025-09-18,59.44,59.76,58.955,59.11,6233981.0
2025-09-17,60.245,60.49,59.7,59.71,5236311.0
2025-09-16,60.24,60.55,59.79,59.98,6206323.0
2025-09-15,60.58,61.085,60.08,60.22,6098809.0
2025-09-12,60.09,60.59,60.03,60.41,3910085.0
2025-09-11,59.55,60.25,59.55,60.16,4690651.0
2025-09-10,59.53,59.85,59.17,59.45,4673340.0
2025-09-09,59.05,59.53,58.8338,59.49,4083682.0
2025-09-08,59.02,59.26,58.63,59.1,5197790.0
2025-09-05,58.45,59.29,58.43,59.29,5321079.0
2025-09-04,58.07,58.65,57.925,58.28,4320260.0
2025-09-03,57.65,57.985,57.44,57.95,3930714.0
2025-09-02,58.02,58.305,57.455,57.74,5441984.0
2025-08-29,58.2,58.78,58.17,58.76,4370657.0
2025-08-28,58.625,58.625,57.86,58.13,5009829.0
2025-08-27,58.4,58.77,58.18,58.55,5703912.0
2025-08-26,58.295,58.38,57.7202,58.13,7617747.0
2025-08-25,58.675,58.89,58.1201,58.21,6828975.0
2025-08-22,59.86,60.1,58.835,58.92,7649971.0
2025-08-21,59.75,59.86,59.315,59.58,4920989.0
2025-08-20,59.23,60.165,59.15,59.9,6768023.0
2025-08-19,58.05,59.03,57.99,59.01,4600172.0
2025-08-18,58.48,58.625,57.85,57.87,4331113.0
2025-08-15,58.01,58.69,57.82,58.48,6242821.0
2025-08-14,57.785,58.015,57.6147,57.82,4193695.0
2025-08-13,57.73,58.02,57.2798,57.89,4666578.0
2025-08-12,57.45,57.7,57.0102,57.66,4149222.0
2025-08-11,57.38,57.92,57.35,57.39,3609420.0
2025-08-08,57.16,57.98,57.13,57.44,4537967.0
2025-08-07,56.96,57.21,56.27,57.09,5058323.0
2025-08-06,57.23,57.49,56.8899,56.91,4195512.0
2025-08-05,57.38,57.575,57.17,57.2,4204441.0
2025-08-04,56.56,57.48,56.53,57.45,5232192.0
2025-08-01,56.5,57.0,55.92,56.57,7981852.0
2025-07-31,56.755,56.9492,56.035,56.13,7458531.0
2025-07-30,57.38,57.73,56.59,56.79,3860485.0
2025-07-29,57.07,57.435,56.7643,57.36,4392156.0
2025-07-28,57.895,57.895,56.85,56.86,4243412.0
2025-07-25,58.09,58.2,57.29,57.9,4439262.0
2025-07-24,57.76,58.26,57.63,58.02,3995872.0
2025-07-23,57.78,58.085,57.54,57.88,3666112.0
2025-07-22,56.5,57.88,56.49,57.84,5154852.0
2025-07-21,56.665,56.99,56.32,56.39,3718444.0
2025-07-18,56.45,56.82,56.3,56.47,4161853.0
2025-07-17,56.75,56.9317,56.36,56.36,4440116.0
2025-07-16,56.975,57.19,56.605,56.79,5292737.0
2025-07-15,58.195,58.435,56.66,56.66,7800358.0
2025-07-14,57.12,58.98,57.065,58.7,13455201.0
2025-07-11,56.765,57.34,56.59,57.16,4629333.0
2025-07-10,56.79,57.16,56.6,56.93,5415227.0
2025-07-09,57.48,57.58,56.92,56.92,5712181.0
