date,Open,High,Low,Close,Volume
2025-10-31,136.4,141.27,134.58,140.42,2377315.0
2025-10-30,136.315,140.2,134.84,137.25,2762772.0
2025-10-29,142.03,146.99,134.03,136.13,4290789.0
2025-10-28,138.0,138.24,135.765,136.09,2065723.0
2025-10-27,136.26,137.7399,134.34,136.73,2082611.0
2025-10-24,137.85,138.14,135.86,136.12,1145638.0
2025-10-23,140.55,141.25,134.425,135.86,2090731.0
2025-10-22,143.09,144.91,140.72,141.02,1603177.0
2025-10-21,140.14,145.0,139.74,144.36,1862729.0
2025-10-20,138.58,142.31,137.68,140.71,2009063.0
2025-10-17,138.73,138.945,136.0001,138.04,1870246.0
2025-10-16,139.89,140.49,135.5,138.1,2326768.0
2025-10-15,135.46,137.87,134.78,135.04,1884587.0
2025-10-14,134.71,137.48,134.03,135.43,2628589.0
2025-10-13,135.56,137.895,135.25,136.18,1282433.0
2025-10-10,141.85,142.6885,134.2,134.31,2136267.0
2025-10-09,144.5,144.88,140.1,141.28,2049442.0
2025-10-08,140.64,146.94,139.5389,144.78,2244180.0
2025-10-07,142.64,144.61,140.29,141.36,1478134.0
2025-10-06,141.52,145.08,140.04,142.82,1477546.0
2025-10-03,141.09,145.21,141.09,141.33,1806606.0
2025-10-02,138.99,141.6,137.9901,140.6,1502613.0
2025-10-01,139.35,140.64,136.82,139.24,2305619.0
2025-09-30,140.0,141.2,138.07,140.78,2368156.0
2025-09-29,139.64,141.5,136.6,141.04,2682080.0
2025-09-26,140.62,143.395,133.6901,138.59,3893888.0
2025-09-25,141.16,142.2084,139.655,140.43,1923309.0
2025-09-24,139.07,142.21,139.07,141.06,1667225.0
2025-09-23,139.08,141.615,138.66,139.34,1541324.0
2025-09-22,140.83,140.83,138.655,138.93,2093141.0
2025-09-19,142.85,142.963,140.09,140.84,4264091.0
2025-09-18,142.27,144.48,141.1221,142.39,2222863.0
2025-09-17,146.67,149.88,141.54,141.79,1977483.0
2025-09-16,145.8,147.39,144.63,147.02,1707689.0
2025-09-15,145.33,147.01,143.81,145.25,1582357.0
2025-09-12,149.14,149.39,144.465,144.89,1863976.0
2025-09-11,145.73,150.84,145.59,149.4,1682362.0
