date,Open,High,Low,Close,Volume
2025-10-31,66.55,67.64,65.89,67.0,6249363.0
2025-10-30,67.17,67.79,66.35,66.72,4247875.0
2025-10-29,69.95,70.41,67.03,67.2,6515532.0
2025-10-28,69.08,69.3499,68.05,69.1,4593598.0
2025-10-27,68.91,69.35,68.43,69.29,3320543.0
2025-10-24,70.16,70.16,68.4,68.61,3290428.0
2025-10-23,71.1,71.175,69.245,69.76,5126257.0
2025-10-22,69.48,69.81,68.44,69.59,3542946.0
2025-10-21,68.75,69.27,68.11,68.95,3041652.0
2025-10-20,68.41,68.94,67.86,68.53,2604167.0
2025-10-17,67.15,68.11,66.5632,68.09,4025165.0
2025-10-16,69.03,69.1,67.09,67.22,4266885.0
2025-10-15,70.01,70.6399,68.83,68.92,2970905.0
2025-10-14,68.65,69.95,68.25,69.58,3147456.0
2025-10-13,69.57,70.035,69.05,69.57,2887567.0
2025-10-10,71.0,72.0,69.08,69.09,3636275.0
2025-10-09,72.5,73.26,71.08,71.25,2888917.0
2025-10-08,72.3,72.66,71.05,72.38,3658486.0
2025-10-07,72.74,72.91,71.66,72.45,2926328.0
2025-10-06,73.14,73.4355,72.41,72.73,3093402.0
2025-10-03,72.53,73.415,72.31,72.89,3141985.0
2025-10-02,72.99,73.61,72.15,72.47,3696659.0
2025-10-01,72.65,73.09,71.82,72.98,4859535.0
2025-09-30,72.14,73.211,71.795,72.97,6809332.0
2025-09-29,74.09,74.125,71.995,73.1,4411029.0
2025-09-26,73.61,75.25,73.56,73.89,3983367.0
2025-09-25,73.35,74.009,73.05,73.44,3329481.0
2025-09-24,73.04,74.36,72.81,73.67,3418816.0
2025-09-23,72.0,73.425,71.8,72.6,3920825.0
2025-09-22,71.28,72.34,70.94,71.62,3827906.0
2025-09-19,73.68,73.73,71.02,71.55,8657081.0
2025-09-18,73.7,74.34,73.3,73.58,3301530.0
2025-09-17,72.41,73.77,72.31,72.86,2723805.0
2025-09-16,73.06,73.31,72.31,72.58,2645399.0
2025-09-15,73.46,73.49,72.53,72.61,2887517.0
2025-09-12,73.78,73.8702,73.05,73.05,2452308.0
2025-09-11,72.52,73.49,72.3582,73.3,2436617.0
2025-09-10,71.84,73.37,71.73,73.35,3403126.0
2025-09-09,71.9,72.6,71.611,71.84,3491002.0
2025-09-08,73.19,73.53,71.07,71.36,3914102.0
2025-09-05,74.01,74.14,70.63,72.63,4956311.0
2025-09-04,74.05,74.52,73.585,74.38,2506233.0
2025-09-03,74.27,74.53,73.6,73.87,3391599.0
2025-09-02,75.92,76.23,73.63,74.62,4884963.0
2025-08-29,75.825,76.44,75.64,76.38,2652785.0
2025-08-28,75.37,76.02,74.712,75.89,2461198.0
2025-08-27,74.24,75.545,74.125,75.08,2302327.0
2025-08-26,74.1,74.48,73.41,74.42,7253926.0
2025-08-25,74.82,75.6496,74.38,74.43,2757173.0
2025-08-22,74.26,75.435,74.21,74.84,2382572.0
2025-08-21,73.76,74.56,73.5,74.02,3340390.0
2025-08-20,73.45,74.05,72.98,73.68,2714988.0
2025-08-19,72.85,73.69,72.18,73.5,2382933.0
2025-08-18,73.59,73.7557,72.75,73.04,2517508.0
2025-08-15,74.87,75.435,73.85,73.93,3670338.0
2025-08-14,74.85,75.53,74.07,74.8,3107208.0
2025-08-13,74.0,75.35,73.71,75.33,3504483.0
2025-08-12,73.5,74.345,73.02,74.05,3637781.0
2025-08-11,74.62,75.01,73.51,73.65,3681488.0
2025-08-08,75.5,76.02,74.42,74.46,3161197.0
2025-08-07,75.69,76.96,75.395,75.48,3414858.0
2025-08-06,76.74,77.0,74.87,75.23,4758457.0
2025-08-05,79.0,79.26,74.23,75.7,9328098.0
2025-08-04,79.05,79.975,78.833,79.83,3438818.0
2025-08-01,80.28,80.315,77.75,78.99,3671867.0
2025-07-31,81.56,83.05,81.3,82.11,4208469.0
2025-07-30,82.84,83.3059,81.7,82.19,3208279.0
2025-07-29,82.5,83.58,82.1501,83.47,3246338.0
2025-07-28,82.07,82.6,81.46,81.81,2337714.0
2025-07-25,82.02,82.2108,81.29,81.54,3124122.0
2025-07-24,81.54,82.626,81.33,82.01,3424225.0
2025-07-23,81.13,81.83,80.74,81.67,2658260.0
2025-07-22,80.4,81.43,79.9203,80.74,3029716.0
2025-07-21,83.45,83.49,80.24,80.38,3683674.0
2025-07-18,81.91,83.91,81.64,83.3,4554053.0
2025-07-17,79.36,81.37,79.1,81.24,3352595.0
2025-07-16,79.9,80.2,78.95,79.17,3481922.0
2025-07-15,81.77,81.78,79.74,79.94,2566239.0
2025-07-14,81.18,81.68,80.72,81.58,2586400.0
2025-07-11,80.56,81.44,80.435,81.34,2315938.0
2025-07-10,80.61,81.09,80.07,80.91,2667055.0
2025-07-09,81.99,82.0,80.7473,81.16,3242946.0
2025-07-08,80.075,81.645,79.691,81.6,4188313.0
2025-07-07,81.12,81.72,79.175,80.17,3928953.0
2025-07-03,82.4,82.79,81.7746,82.14,1757598.0
2025-07-02,82.0,82.14,80.38,82.14,3056022.0
2025-07-01,81.63,81.63,80.05,80.99,3969640.0
2025-06-30,81.3,81.89,80.78,81.63,2863736.0
2025-06-27,81.19,82.015,80.665,81.25,3206238.0
2025-06-26,80.0,81.35,79.7,81.32,3336044.0
2025-06-25,80.5,80.68,79.355,80.19,3101215.0
2025-06-24,79.23,80.9,79.09,80.56,3257376.0
2025-06-23,83.03,83.44,79.2351,79.85,4196052.0
2025-06-20,81.89,82.66,81.6159,82.37,7507710.0
2025-06-18,81.62,82.08,80.51,81.17,3660644.0
2025-06-17,82.68,83.2,81.17,81.36,3513964.0
2025-06-16,83.48,84.09,81.26,82.15,5530061.0
2025-06-13,84.3,85.15,83.6,83.75,5358120.0
2025-06-12,82.89,83.57,82.47,82.65,4512587.0
2025-06-11,82.57,83.56,81.89,82.9,4631950.0
