date,Open,High,Low,Close,Volume
2025-10-31,74.49,75.293,74.08,75.02,3125345.0
2025-10-30,74.52,76.59,73.82,75.05,3958660.0
2025-10-29,76.25,76.49,74.95,75.24,4648656.0
2025-10-28,78.93,78.93,76.859,76.92,3347132.0
2025-10-27,79.1,79.835,78.82,79.2,3041501.0
2025-10-24,81.08,81.08,78.5,79.0,3301218.0
2025-10-23,81.51,81.88,80.33,80.33,3300684.0
2025-10-22,78.49,82.5,78.48,81.23,7381693.0
2025-10-21,78.24,79.678,77.94,78.71,4062444.0
2025-10-20,77.86,78.46,77.48,78.19,3123713.0
2025-10-17,77.28,78.275,76.645,77.52,2986395.0
2025-10-16,79.31,79.32,76.965,77.21,2481883.0
2025-10-15,78.63,79.93,78.32,79.31,4007186.0
2025-10-14,75.76,78.61,75.7,78.55,3958445.0
2025-10-13,76.98,77.48,76.1697,76.51,3414055.0
2025-10-10,77.92,78.7,76.33,76.5,3332847.0
2025-10-09,79.98,80.01,77.6,77.6,5588534.0
2025-10-08,79.9,80.64,79.273,79.63,5064968.0
2025-10-07,78.68,80.375,78.54,79.76,4009134.0
2025-10-06,78.08,79.53,77.855,78.5,5640428.0
2025-10-03,76.74,78.49,76.5701,77.61,3210307.0
2025-10-02,76.78,77.53,75.81,76.85,4480668.0
2025-10-01,80.97,81.69,77.33,77.45,6287880.0
2025-09-30,79.15,82.955,79.06,81.53,11008792.0
2025-09-29,77.33,79.17,76.795,79.13,2538742.0
2025-09-26,75.82,77.19,75.71,77.05,2556947.0
2025-09-25,76.8,76.85,75.37,75.88,2612967.0
2025-09-24,76.02,77.26,76.0,77.07,2265689.0
2025-09-23,76.06,77.64,75.55,76.28,3391024.0
2025-09-22,74.9,75.43,74.475,74.53,2450728.0
2025-09-19,75.89,76.25,74.065,75.01,8425694.0
2025-09-18,76.7,77.21,75.825,76.04,2408897.0
2025-09-17,76.75,78.4525,76.3,76.6,2893055.0
2025-09-16,76.81,77.56,75.99,76.9,2342921.0
2025-09-15,77.5,77.66,76.64,76.85,2132593.0
2025-09-12,77.57,77.95,75.65,77.2,3292519.0
2025-09-11,76.1,77.865,75.8201,77.84,2372444.0
2025-09-10,77.5,77.5,75.31,76.0,2964572.0
2025-09-09,78.64,78.91,77.44,77.73,2789647.0
2025-09-08,79.19,79.38,77.655,78.94,4271961.0
2025-09-05,78.52,80.22,78.52,79.43,2729854.0
2025-09-04,77.6,78.56,76.59,78.54,2828418.0
2025-09-03,76.94,77.745,76.41,77.53,2740407.0
2025-09-02,77.07,78.2,76.6397,76.93,4341931.0
2025-08-29,77.74,78.55,77.5,78.33,1767334.0
2025-08-28,78.69,78.7847,77.025,77.73,2047132.0
2025-08-27,77.5,78.75,77.095,78.46,3655914.0
2025-08-26,79.31,79.59,77.87,77.91,5118573.0
2025-08-25,79.42,79.62,78.84,79.15,4316813.0
2025-08-22,78.01,80.04,77.715,79.68,4736876.0
2025-08-21,77.42,77.97,77.17,77.48,3049393.0
2025-08-20,77.55,78.28,77.08,77.71,3242451.0
2025-08-19,76.8,77.955,76.535,77.67,2595432.0
2025-08-18,76.64,76.72,75.94,76.16,1754347.0
2025-08-15,75.94,76.725,75.45,76.31,3126042.0
2025-08-14,75.63,75.76,74.56,75.41,2246813.0
2025-08-13,73.63,76.62,73.5,76.47,3429613.0
2025-08-12,73.22,74.37,72.545,73.68,4110717.0
2025-08-11,73.5,74.075,72.13,72.94,4608359.0
2025-08-08,72.28,73.12,71.8,72.94,5059662.0
2025-08-07,73.09,73.825,72.12,72.68,3562927.0
2025-08-06,72.8,73.885,72.2,72.95,3299204.0
2025-08-05,72.3,72.965,71.83,72.61,3863050.0
2025-08-04,71.19,72.31,70.61,72.05,3072100.0
2025-08-01,71.94,72.0,70.65,71.11,2435326.0
2025-07-31,72.52,73.37,71.73,72.05,5288896.0
2025-07-30,74.3,74.75,72.3,72.65,3777414.0
2025-07-29,74.88,75.115,74.07,74.32,1977980.0
2025-07-28,76.23,76.2458,74.605,74.63,2648190.0
2025-07-25,76.86,77.28,75.59,76.48,2112530.0
2025-07-24,77.5,79.2999,76.78,77.06,4014742.0
2025-07-23,75.33,77.98,74.795,77.88,4808696.0
2025-07-22,71.57,75.58,71.46,75.21,5436629.0
2025-07-21,71.38,71.44,70.38,70.41,4199331.0
2025-07-18,71.37,71.81,70.76,71.06,4789222.0
2025-07-17,72.92,73.11,70.78,70.86,6957372.0
2025-07-16,71.96,74.06,71.68,74.05,8622566.0
2025-07-15,73.38,74.3299,70.78,70.78,7596409.0
2025-07-14,72.78,72.95,72.2,72.65,4001470.0
2025-07-11,73.0,73.44,72.66,72.75,3599337.0
2025-07-10,72.97,73.995,72.76,73.43,4393234.0
2025-07-09,72.58,73.78,71.63,72.5,6501916.0
2025-07-08,73.64,74.99,73.35,74.66,4835102.0
2025-07-07,74.41,74.425,73.47,73.84,3895545.0
2025-07-03,75.12,75.36,74.57,74.71,2279954.0
2025-07-02,74.25,75.285,72.81,75.02,6545333.0
2025-07-01,71.47,74.54,71.47,73.83,3289993.0
2025-06-30,71.6,72.33,71.19,71.94,3081434.0
2025-06-27,71.72,72.445,70.8801,71.36,4425779.0
2025-06-26,70.84,71.58,70.67,71.22,5989159.0
2025-06-25,71.03,71.72,70.23,70.69,5299629.0
2025-06-24,71.67,72.57,71.055,72.48,4701799.0
2025-06-23,70.76,72.87,69.83,71.7,10537365.0
2025-06-20,69.71,70.8,69.46,70.28,8876319.0
2025-06-18,69.2,70.08,68.89,69.42,3439086.0
2025-06-17,70.03,70.64,68.37,69.22,5617623.0
2025-06-16,70.18,70.705,69.65,70.66,5504461.0
2025-06-13,70.5,70.98,69.32,69.48,3958713.0
2025-06-12,73.13,73.36,70.575,71.19,10728740.0
2025-06-11,73.51,74.085,72.95,73.3,3784660.0
