date,Open,High,Low,Close,Volume
2025-10-31,259.51,265.81,256.7097,262.61,16898693.0
2025-10-30,268.74,269.76,256.28,256.89,27954197.0
2025-10-29,281.46,281.62,271.35,275.3,18007149.0
2025-10-28,283.0,285.46,280.54,280.83,12448523.0
2025-10-27,286.57,287.0,279.81,281.4,13855836.0
2025-10-24,285.92,287.19,282.245,283.33,13194896.0
2025-10-23,272.96,283.1,272.385,280.07,16872158.0
2025-10-22,274.82,277.2,269.25,272.66,16474016.0
2025-10-21,278.11,280.2999,272.26,275.15,18370806.0
2025-10-20,288.95,289.24,275.31,277.18,32810748.0
2025-10-17,303.75,304.28,287.5,291.31,37653000.0
2025-10-16,305.6,322.54,303.07,313.0,32500863.0
2025-10-15,304.9,311.01,298.92,303.62,13698938.0
2025-10-14,303.57,304.42,291.98,299.0,17346186.0
2025-10-13,298.7,310.7,297.74,308.01,21703725.0
2025-10-10,300.28,307.72,292.01,292.96,28895338.0
2025-10-09,291.55,300.97,287.26,296.96,26479833.0
2025-10-08,285.42,291.53,283.6,288.63,18982122.0
2025-10-07,293.22,293.22,271.0,284.24,31723384.0
2025-10-06,292.38,296.68,290.8,291.59,14076795.0
2025-10-03,289.6,294.64,284.0,286.14,13688407.0
2025-10-02,291.8,294.97,286.05,288.78,16215460.0
2025-10-01,278.8,289.99,277.88,289.01,23378324.0
2025-09-30,283.69,284.0,275.9,281.24,23880810.0
2025-09-29,284.6,285.98,279.61,282.76,25778508.0
2025-09-26,293.0,294.0,283.0,283.46,25990691.0
2025-09-25,295.27,298.75,288.55,291.33,39274883.0
2025-09-24,311.86,312.47,300.03,308.46,33765279.0
2025-09-23,324.0,325.0,310.05,313.83,35280199.0
2025-09-22,309.63,329.5,306.92,328.15,44437549.0
2025-09-19,299.0,311.11,297.32,308.66,40776201.0
2025-09-18,303.035,303.82,292.0,296.62,24673116.0
2025-09-17,307.69,308.66,295.03,301.41,27707949.0
2025-09-16,314.06,319.97,302.2724,306.65,51923268.0
2025-09-15,306.45,307.03,297.29,302.14,40004004.0
2025-09-12,305.79,307.97,291.75,292.18,51781914.0
2025-09-11,330.34,331.0,304.6,307.86,69986027.0
2025-09-10,319.19,345.72,312.09,328.33,131618085.0
2025-09-09,239.94,243.49,234.56,241.51,41178697.0
2025-09-08,239.89,242.42,235.31,238.48,18803046.0
2025-09-05,232.55,234.62,225.885,232.8,15386096.0
2025-09-04,222.0,223.57,219.5601,223.0,10303069.0
2025-09-03,225.9,225.9,221.75,223.45,8749468.0
2025-09-02,222.0,225.45,218.79,225.3,10461903.0
2025-08-29,237.61,238.22,223.11,226.13,16618641.0
2025-08-28,235.54,241.95,235.12,240.32,8691548.0
2025-08-27,234.995,236.53,232.68,235.81,5637590.0
2025-08-26,235.0,236.905,232.71,234.21,11805197.0
2025-08-25,237.35,239.03,235.27,235.41,6308625.0
2025-08-22,234.06,238.5,231.46,236.37,9343637.0
2025-08-21,233.045,235.9199,232.43,233.16,7403128.0
2025-08-20,232.18,235.88,228.2543,235.06,11256417.0
2025-08-19,249.25,249.25,232.23,234.62,16819250.0
2025-08-18,246.2,249.16,243.62,249.07,6759921.0
2025-08-15,246.92,250.63,242.925,248.28,11553988.0
2025-08-14,244.95,248.92,242.57,244.96,10285555.0
2025-08-13,257.17,257.6699,242.635,244.18,14182078.0
2025-08-12,252.58,257.87,251.08,253.86,10001712.0
2025-08-11,248.4,254.69,245.56,252.68,9012112.0
2025-08-08,250.03,250.8934,247.86,250.05,8313278.0
2025-08-07,257.71,257.76,246.52,249.39,11954223.0
2025-08-06,256.84,256.84,251.72,256.43,9930222.0
2025-08-05,255.41,258.4872,251.37,255.67,11197287.0
2025-08-04,245.9,252.91,245.9,252.53,8614784.0
2025-08-01,247.83,248.41,242.0,244.42,12718218.0
2025-07-31,255.765,260.87,253.318,253.77,15548726.0
2025-07-30,248.64,251.05,245.6,250.6,8441378.0
2025-07-29,248.7,253.07,246.59,249.98,8415324.0
2025-07-28,246.0,247.78,243.42,247.71,6756775.0
2025-07-25,242.34,245.47,241.43,245.12,7149571.0
2025-07-24,242.41,244.08,240.5601,242.83,8237851.0
2025-07-23,239.95,243.42,238.66,241.9,7255797.0
2025-07-22,241.98,242.29,235.4101,238.11,11380866.0
2025-07-21,245.31,246.8,243.24,243.54,7348362.0
2025-07-18,248.5,249.68,245.0,245.45,9678072.0
2025-07-17,243.34,251.5999,242.01,248.75,17631328.0
2025-07-16,235.5,241.33,233.19,241.3,12597452.0
2025-07-15,232.405,235.6,229.2,234.96,10728795.0
2025-07-14,229.45,230.64,225.12,229.28,11336967.0
2025-07-11,231.37,234.0,229.87,230.56,10208178.0
2025-07-10,239.94,240.055,233.5,235.0,11486345.0
2025-07-09,235.51,236.51,232.0,235.81,10871629.0
2025-07-08,237.13,241.4385,233.19,234.5,20401777.0
2025-07-07,235.11,235.25,229.5,232.26,16584266.0
2025-07-03,233.22,237.9899,231.2,237.32,18441376.0
2025-07-02,217.68,231.9,216.72,229.98,22326900.0
2025-07-01,219.3,223.17,216.3079,218.96,16962196.0
2025-06-30,226.5,228.22,218.3801,218.63,31844231.0
2025-06-27,213.69,214.65,209.96,210.24,14127502.0
2025-06-26,212.0,214.42,210.3587,212.82,10531112.0
2025-06-25,214.9399,216.9299,210.23,210.72,11804604.0
2025-06-24,209.99,216.365,208.55,215.27,19030617.0
2025-06-23,205.505,207.27,202.54,207.04,13418393.0
2025-06-20,213.35,213.8,204.64,205.17,20879095.0
2025-06-18,211.085,214.7199,209.5701,210.87,15055390.0
2025-06-17,210.66,215.88,207.4805,208.18,17819162.0
2025-06-16,213.2,215.17,209.9763,211.1,22665299.0
2025-06-13,201.58,216.5999,201.2,215.22,53707361.0
2025-06-12,189.96,202.49,188.88,199.86,54609995.0
2025-06-11,177.55,179.55,176.2,176.38,18002910.0
