date,Open,High,Low,Close,Volume
2025-10-31,116.82,118.005,116.0752,117.03,2754180.0
2025-10-30,117.77,118.64,116.82,117.23,2476230.0
2025-10-29,122.35,122.5,117.0,117.4,4918962.0
2025-10-28,124.51,124.725,123.02,124.05,2763994.0
2025-10-27,124.59,125.29,124.14,125.01,2646312.0
2025-10-24,125.11,125.56,124.21,124.6,4436857.0
2025-10-23,126.37,126.96,124.45,124.75,1993600.0
2025-10-22,127.22,128.57,126.51,126.61,2218389.0
2025-10-21,126.66,128.78,125.71,127.54,2380348.0
2025-10-20,126.75,127.93,125.3,126.59,2388069.0
2025-10-17,126.87,127.26,125.51,126.56,2461137.0
2025-10-16,127.75,128.255,125.88,126.49,2860609.0
2025-10-15,128.28,129.24,127.3375,127.52,2546019.0
2025-10-14,127.55,129.2,127.08,128.59,2444218.0
2025-10-13,125.69,127.72,125.25,127.42,2867530.0
2025-10-10,125.81,126.34,124.93,125.55,2711778.0
2025-10-09,127.14,127.14,124.545,125.21,2325090.0
2025-10-08,126.75,126.85,125.49,126.59,2273699.0
2025-10-07,124.12,127.06,123.75,127.02,2437492.0
2025-10-06,124.96,124.96,123.255,124.37,2936109.0
2025-10-03,123.46,124.88,122.84,124.61,1970507.0
2025-10-02,123.63,123.77,121.83,123.42,2709576.0
2025-10-01,126.76,127.0,122.25,124.01,4875575.0
2025-09-30,121.61,126.84,119.02,126.76,6937462.0
2025-09-29,128.6,130.32,128.29,128.53,4663023.0
2025-09-26,127.16,128.63,126.71,128.21,3571453.0
2025-09-25,128.91,129.3,126.13,126.69,3168925.0
2025-09-24,128.94,130.03,128.18,128.27,3547405.0
2025-09-23,129.72,130.64,128.8,129.3,3847358.0
2025-09-22,128.6,130.88,128.23,130.4,4327344.0
2025-09-19,131.77,131.96,129.33,130.0,7782937.0
2025-09-18,131.84,132.87,130.94,131.11,3656243.0
2025-09-17,132.28,134.14,132.15,132.46,3784668.0
2025-09-16,131.96,132.4,130.235,131.62,2991647.0
2025-09-15,135.34,135.78,131.7677,131.97,2195109.0
2025-09-12,135.09,135.97,134.6814,135.11,1305369.0
2025-09-11,132.88,135.76,132.66,135.46,1699037.0
2025-09-10,133.9,135.05,132.44,133.07,1860546.0
2025-09-09,135.1,135.7857,134.07,134.41,1388162.0
2025-09-08,135.63,136.05,134.58,135.43,2097715.0
2025-09-05,137.72,138.19,133.7213,135.44,1898288.0
2025-09-04,135.53,137.385,134.785,137.32,1995637.0
2025-09-03,135.22,136.04,134.34,135.63,1549135.0
2025-09-02,138.69,139.06,135.21,135.96,2059180.0
2025-08-29,138.86,139.53,138.38,139.455,1715897.0
2025-08-28,138.75,139.21,137.88,138.72,1681427.0
2025-08-27,138.21,139.34,137.73,138.65,1852741.0
2025-08-26,138.18,139.0,137.6,138.04,3317549.0
2025-08-25,140.41,140.56,138.24,138.5,1707802.0
2025-08-22,139.17,141.1868,138.835,140.81,2066288.0
2025-08-21,138.28,138.71,137.665,138.41,1609648.0
2025-08-20,139.88,140.77,138.44,138.88,2274355.0
2025-08-19,137.76,139.6,137.4801,139.01,2117005.0
2025-08-18,138.33,139.07,137.23,137.57,1966136.0
2025-08-15,138.0,138.94,136.9173,138.25,2672233.0
2025-08-14,138.38,138.89,137.25,137.49,1425034.0
2025-08-13,135.04,138.81,134.83,138.61,2584225.0
2025-08-12,138.59,138.73,134.81,134.99,3123502.0
2025-08-11,141.1,141.585,138.39,138.6,2521943.0
2025-08-08,140.3,141.89,140.255,141.19,1367957.0
2025-08-07,140.05,141.06,139.42,140.52,1885186.0
2025-08-06,139.6,139.6934,138.22,139.08,2018116.0
2025-08-05,139.67,139.95,138.76,139.18,1976870.0
2025-08-04,139.44,140.25,138.62,139.43,2389409.0
2025-08-01,143.12,143.58,138.37,139.34,4235396.0
2025-07-31,144.79,146.831,144.07,144.33,2420726.0
2025-07-30,146.69,148.0,145.49,145.91,1750314.0
2025-07-29,146.73,147.35,145.04,147.29,2112142.0
2025-07-28,148.045,148.11,146.0,146.26,1446965.0
2025-07-25,146.93,148.1,145.89,147.99,1294648.0
2025-07-24,144.85,146.66,144.03,146.4,1698664.0
2025-07-23,144.44,145.7,143.905,145.24,1873331.0
2025-07-22,142.91,145.49,142.91,144.58,1585660.0
2025-07-21,142.38,143.55,142.07,142.66,1439929.0
2025-07-18,144.17,144.17,142.93,143.46,2487368.0
2025-07-17,142.25,143.759,142.1,143.29,1834525.0
2025-07-16,140.76,142.52,140.22,142.25,1760779.0
2025-07-15,143.63,143.8,140.64,140.68,2034557.0
2025-07-14,143.1,144.5,142.6,144.31,2416052.0
2025-07-11,145.18,145.44,142.79,143.29,1910327.0
2025-07-10,145.01,146.1,144.705,145.31,2792957.0
2025-07-09,145.13,146.11,144.16,145.94,2514435.0
2025-07-08,145.27,146.18,143.35,144.91,3500118.0
2025-07-07,147.23,147.76,145.27,145.67,3436130.0
2025-07-03,146.3,147.26,145.56,147.13,1539975.0
2025-07-02,146.66,146.66,143.27,145.96,3701968.0
2025-07-01,145.69,148.76,145.23,147.42,3666878.0
2025-06-30,143.99,146.0,142.9396,145.46,4050307.0
2025-06-27,141.21,144.555,140.83,143.94,3850030.0
2025-06-26,138.5,141.285,138.1,141.01,3931464.0
2025-06-25,145.27,146.0,136.8801,137.94,9294173.0
2025-06-24,151.3,152.57,150.19,152.25,4296451.0
2025-06-23,149.68,151.35,148.81,151.25,2338150.0
2025-06-20,150.32,150.73,148.6,149.12,3483540.0
2025-06-18,152.52,152.84,150.1,150.32,2910208.0
2025-06-17,153.665,154.2856,151.933,152.52,1567145.0
2025-06-16,153.92,154.9,153.255,153.68,1665250.0
2025-06-13,152.57,153.92,152.1,153.22,2525656.0
2025-06-12,154.24,154.26,151.39,153.49,1492886.0
2025-06-11,155.57,155.57,153.44,154.045,1653522.0
