date,Open,High,Low,Close,Volume
2025-10-31,776.68,785.0,769.595,772.83,622326.0
2025-10-30,770.34,792.53,769.52,774.35,476195.0
2025-10-29,767.43,784.38,767.2,775.03,484232.0
2025-10-28,773.92,779.9999,764.45,767.01,465582.0
2025-10-27,778.0,780.0,769.9845,774.18,515765.0
2025-10-24,772.0,773.66,765.69,772.0,511927.0
2025-10-23,745.55,766.94,737.7,766.2,506536.0
2025-10-22,759.41,759.77,740.39,741.39,443068.0
2025-10-21,738.13,758.3225,738.13,757.83,409544.0
2025-10-20,740.84,745.41,734.72,740.01,557146.0
2025-10-17,725.43,737.07,722.12,733.59,570199.0
2025-10-16,741.68,741.68,721.17,726.16,1014772.0
2025-10-15,743.07,748.5099,725.915,737.86,646733.0
2025-10-14,717.56,743.89,717.02,736.48,336720.0
2025-10-13,725.05,737.79,722.85,728.66,360490.0
2025-10-10,740.11,743.32,715.37,716.66,596026.0
2025-10-09,755.88,756.975,734.5725,738.74,554933.0
2025-10-08,754.44,764.205,747.52,753.34,496816.0
2025-10-07,766.21,770.9999,746.5,750.68,377705.0
2025-10-06,767.06,772.14,757.99,763.44,408285.0
2025-10-03,761.6,769.09,757.39,763.23,319260.0
2025-10-02,757.38,762.61,753.08,758.14,381957.0
2025-10-01,750.31,758.89,750.31,755.22,381693.0
2025-09-30,754.99,758.92,749.84,758.15,491321.0
2025-09-29,756.05,762.09,749.705,753.57,615702.0
2025-09-26,748.78,755.535,748.0,750.72,339945.0
2025-09-25,741.52,746.75,738.38,745.08,402439.0
2025-09-24,760.82,763.01,746.0,748.76,393022.0
2025-09-23,761.01,770.7599,758.3,760.17,399945.0
2025-09-22,753.41,762.99,750.095,759.95,414760.0
2025-09-19,757.93,758.72,746.44,755.68,791769.0
2025-09-18,744.28,758.715,741.32,755.7,652221.0
2025-09-17,754.56,758.04,730.245,738.5,1083553.0
2025-09-16,760.0,760.6,749.17,754.05,652687.0
2025-09-15,759.87,769.2031,758.565,759.96,549842.0
2025-09-12,767.52,768.6287,758.285,758.78,463463.0
2025-09-11,764.4,779.77,764.4,769.67,661127.0
2025-09-10,756.33,770.46,756.33,765.28,558825.0
2025-09-09,756.04,757.23,745.36,755.24,419742.0
2025-09-08,759.64,762.0199,754.45,760.18,568022.0
2025-09-05,760.81,764.18,748.59,758.56,520370.0
2025-09-04,743.68,757.0,742.21,756.96,425129.0
2025-09-03,748.87,752.535,743.84,748.53,386552.0
2025-09-02,746.09,750.99,738.885,749.93,525118.0
2025-08-29,764.27,768.72,756.31,759.35,890875.0
2025-08-28,769.6,773.3,763.0401,766.84,637001.0
2025-08-27,758.8,768.45,757.885,768.1,636667.0
2025-08-26,749.78,762.76,746.0,761.55,712906.0
2025-08-25,754.81,756.38,749.46,750.3,650355.0
2025-08-22,738.12,759.5,737.075,752.33,725832.0
2025-08-21,739.72,740.79,729.725,733.05,492805.0
2025-08-20,741.4,747.57,734.99,742.97,682299.0
2025-08-19,736.55,746.98,736.14,744.23,940455.0
2025-08-18,730.06,737.27,729.36,736.2,486018.0
2025-08-15,747.38,747.38,728.66,729.96,716422.0
2025-08-14,755.7,757.7,740.4,745.34,695162.0
2025-08-13,757.07,763.99,749.385,762.05,616649.0
2025-08-12,735.0,752.87,734.38,752.04,604843.0
2025-08-11,729.03,732.77,724.5,730.66,675810.0
2025-08-08,729.49,739.0696,723.53,727.74,820258.0
2025-08-07,729.39,729.485,708.18,725.36,1277959.0
2025-08-06,712.41,712.41,692.02,697.13,1928187.0
2025-08-05,720.76,726.47,699.89,714.88,833375.0
2025-08-04,716.34,720.21,713.36,719.04,812936.0
2025-08-01,715.17,716.91,701.5465,712.13,903592.0
2025-07-31,728.32,737.43,728.32,731.9,508399.0
2025-07-30,737.2,738.33,726.25,732.03,718280.0
2025-07-29,744.27,744.605,731.915,734.86,686271.0
2025-07-28,740.36,745.345,736.065,739.06,446116.0
2025-07-25,731.46,740.83,726.14,738.82,499924.0
2025-07-24,728.8,734.49,725.28,729.62,620369.0
2025-07-23,725.5,729.72,718.2,728.17,548411.0
2025-07-22,708.85,722.49,705.67,721.12,534533.0
2025-07-21,724.19,724.19,711.03,711.22,389638.0
2025-07-18,725.92,727.3,719.105,722.58,485924.0
2025-07-17,710.25,723.91,708.18,723.26,543125.0
2025-07-16,710.14,712.3099,698.58,710.22,435380.0
2025-07-15,714.0,715.69,708.28,708.64,347767.0
2025-07-14,713.22,715.0,707.6,712.09,345080.0
2025-07-11,708.88,715.84,706.0,714.91,343026.0
2025-07-10,709.32,719.34,706.34,714.3,442379.0
2025-07-09,712.85,714.66,705.35,707.59,377903.0
2025-07-08,707.02,709.9795,701.61,706.92,493604.0
2025-07-07,715.48,720.34,700.165,706.59,807808.0
2025-07-03,716.1,720.8999,712.24,719.15,360526.0
2025-07-02,704.91,711.63,702.6075,711.46,450125.0
2025-07-01,696.3,706.8599,691.47,703.28,720195.0
2025-06-30,701.47,701.47,694.965,698.47,1056609.0
2025-06-27,694.81,704.99,693.66,700.54,1044233.0
2025-06-26,677.55,694.19,675.91,691.71,844165.0
2025-06-25,677.4,677.64,672.215,673.51,486519.0
2025-06-24,668.61,676.79,664.95,675.25,605957.0
2025-06-23,654.96,664.56,646.505,664.22,499297.0
2025-06-20,658.1,659.935,649.36,652.73,864735.0
2025-06-18,651.74,660.63,651.73,652.29,478674.0
2025-06-17,658.71,662.83,651.75,652.21,623885.0
2025-06-16,661.39,665.94,658.21,661.84,636200.0
2025-06-13,657.29,662.18,652.43,654.09,682779.0
2025-06-12,667.07,668.61,661.29,666.86,493233.0
2025-06-11,672.48,676.27,665.31,671.75,511823.0
