date,Open,High,Low,Close,Volume
2025-10-31,117.92,120.545,117.1,119.87,2308565.0
2025-10-30,117.82,120.315,117.555,119.04,2092707.0
2025-10-29,119.26,121.495,116.34,118.23,2879939.0
2025-10-28,117.02,121.9,115.41,120.74,2354338.0
2025-10-27,121.68,121.9925,120.14,120.3,1507995.0
2025-10-24,122.71,123.205,120.5,120.53,1774755.0
2025-10-23,120.56,121.91,119.34,120.86,1661511.0
2025-10-22,121.72,123.395,119.94,120.21,2630081.0
2025-10-21,115.9,124.79,115.11,123.27,4707033.0
2025-10-20,124.76,125.92,123.04,123.27,4498999.0
2025-10-17,123.71,124.94,122.98,124.45,2391387.0
2025-10-16,124.68,125.02,121.82,123.88,2481854.0
2025-10-15,124.62,126.925,124.44,124.68,1671545.0
2025-10-14,119.76,125.35,119.395,124.89,2632303.0
2025-10-13,120.04,120.49,118.61,120.49,2605112.0
2025-10-10,121.41,122.21,119.7,120.04,2866868.0
2025-10-09,126.25,126.6,120.62,121.41,4278243.0
2025-10-08,130.2,130.4,126.33,127.66,2667733.0
2025-10-07,132.53,132.73,128.5,129.6,2809796.0
2025-10-06,137.72,138.1,134.1505,135.48,1419916.0
2025-10-03,135.24,138.33,135.1,137.61,1619169.0
2025-10-02,134.02,135.2,132.65,134.88,1449401.0
2025-10-01,133.17,134.9571,132.13,134.44,1585164.0
2025-09-30,132.18,133.5532,130.15,132.13,1719215.0
2025-09-29,131.88,133.625,130.59,133.14,1361605.0
2025-09-26,129.43,132.06,128.91,131.15,1099489.0
2025-09-25,128.54,131.51,128.18,128.74,2148075.0
2025-09-24,128.84,132.66,128.8,130.9,1720281.0
2025-09-23,129.8,130.67,128.645,130.05,1316669.0
2025-09-22,131.27,132.28,128.36,129.24,2172983.0
2025-09-19,132.42,133.94,130.46,131.9,5783745.0
2025-09-18,134.31,135.14,132.845,134.1,1831101.0
2025-09-17,134.98,139.05,132.1763,134.1,2323794.0
2025-09-16,134.86,135.3266,131.38,133.87,2257803.0
2025-09-15,137.83,137.83,133.61,134.84,2008388.0
2025-09-12,137.38,138.87,136.41,137.1,1266417.0
2025-09-11,136.55,139.69,135.92,138.66,1735956.0
2025-09-10,137.2,137.3,134.26,135.41,2184766.0
2025-09-09,140.46,141.79,134.21,136.72,3122924.0
2025-09-08,139.75,141.73,138.6002,141.42,1905190.0
2025-09-05,140.44,142.11,139.12,140.57,2190451.0
2025-09-04,134.81,138.14,134.4,137.61,2280910.0
2025-09-03,131.61,135.02,131.235,133.3,2040472.0
2025-09-02,129.9,132.46,129.3251,132.09,1443340.0
