date,Open,High,Low,Close,Volume
2025-10-31,194.98,196.68,193.07,195.76,835168.0
2025-10-30,195.57,199.01,194.83,196.16,825554.0
2025-10-29,204.78,204.78,195.79,196.65,996376.0
2025-10-28,205.88,208.61,205.26,206.16,468027.0
2025-10-27,205.48,208.835,204.84,206.61,733676.0
2025-10-24,212.17,215.77,204.23,204.83,1351356.0
2025-10-23,199.35,213.43,198.27,213.26,1904342.0
2025-10-22,208.99,212.52,207.8,208.74,1446295.0
2025-10-21,206.23,208.62,204.75,208.13,692817.0
2025-10-20,203.97,206.01,201.89,205.88,820785.0
2025-10-17,205.95,207.02,202.37,203.33,772277.0
2025-10-16,209.94,210.38,205.23,205.34,583682.0
2025-10-15,211.12,211.42,207.245,209.65,659695.0
2025-10-14,206.28,212.295,204.88,210.76,685390.0
2025-10-13,208.67,209.805,206.185,207.75,486277.0
2025-10-10,212.48,212.975,206.58,206.75,645274.0
2025-10-09,214.76,214.76,210.4,211.39,624508.0
2025-10-08,210.85,214.255,209.48,213.28,596249.0
2025-10-07,213.33,215.15,210.08,210.55,413864.0
2025-10-06,214.11,214.25,211.87,212.93,590306.0
2025-10-03,215.34,216.95,214.51,214.54,332141.0
2025-10-02,214.85,216.3,213.04,215.64,569175.0
2025-10-01,216.93,218.56,214.67,214.85,663864.0
2025-09-30,215.55,218.325,215.055,217.93,591793.0
2025-09-29,216.59,216.59,214.73,216.27,506670.0
2025-09-26,213.53,216.06,211.52,215.95,576774.0
2025-09-25,214.09,215.12,212.365,213.14,599964.0
2025-09-24,216.78,217.9,213.875,215.32,509971.0
2025-09-23,212.54,214.91,212.54,213.71,422702.0
2025-09-22,212.04,213.44,210.17,212.71,464101.0
2025-09-19,213.78,213.78,210.52,211.28,1157983.0
2025-09-18,212.16,214.66,210.61,213.96,570953.0
2025-09-17,213.94,217.01,211.84,212.08,577305.0
2025-09-16,210.93,212.19,209.93,211.47,636154.0
2025-09-15,214.53,215.275,211.52,211.81,786382.0
2025-09-12,215.74,216.85,214.91,215.15,471235.0
2025-09-11,212.91,217.51,212.52,217.03,620055.0
2025-09-10,213.05,215.73,212.69,213.05,616608.0
2025-09-09,215.95,216.67,212.8601,214.07,747982.0
2025-09-08,219.63,220.14,214.84,215.93,1008567.0
2025-09-05,217.32,220.31,217.02,220.25,873545.0
2025-09-04,212.54,216.8,211.05,216.72,725387.0
2025-09-03,215.53,216.84,212.8,212.93,622355.0
2025-09-02,214.81,216.96,213.61,216.45,687279.0
2025-08-29,217.44,219.365,216.7,217.96,937970.0
2025-08-28,212.3,217.24,211.06,216.65,1184624.0
2025-08-27,210.68,212.66,209.41,210.69,624275.0
2025-08-26,211.38,212.19,210.16,211.62,1234305.0
2025-08-25,212.16,212.55,209.77,212.23,594962.0
2025-08-22,211.36,216.78,210.01,212.74,1435450.0
2025-08-21,198.91,212.09,198.2,210.35,2555321.0
2025-08-20,198.6,198.71,196.91,198.12,563956.0
2025-08-19,195.06,198.285,194.68,198.25,560220.0
2025-08-18,193.32,195.05,192.555,194.11,670938.0
2025-08-15,197.16,197.16,193.17,193.42,797525.0
2025-08-14,198.79,198.79,195.27,196.52,410587.0
2025-08-13,199.05,200.88,198.32,200.79,483907.0
2025-08-12,196.77,199.145,196.29,198.96,520625.0
2025-08-11,196.67,198.21,194.625,196.62,482216.0
2025-08-08,195.36,197.25,194.5,196.43,440978.0
2025-08-07,193.82,195.615,192.43,194.86,455492.0
2025-08-06,193.12,193.12,191.13,192.22,624543.0
2025-08-05,193.08,193.925,191.79,193.51,505569.0
2025-08-04,191.68,194.395,191.46,193.08,576256.0
2025-08-01,192.47,192.57,189.03,191.41,615941.0
2025-07-31,197.42,199.34,193.15,193.75,1144485.0
2025-07-30,202.2,202.2,197.93,198.43,945157.0
2025-07-29,205.0,205.84,202.13,203.06,651980.0
2025-07-28,205.59,206.04,203.545,204.18,516656.0
2025-07-25,206.29,207.75,204.125,206.53,629946.0
2025-07-24,206.32,212.43,203.9549,205.93,893820.0
2025-07-23,206.62,207.67,205.53,206.32,900376.0
2025-07-22,201.69,205.795,201.69,205.29,813823.0
2025-07-21,200.2,204.63,199.4664,201.39,843294.0
2025-07-18,202.11,202.435,199.1,199.81,913585.0
2025-07-17,202.19,203.63,201.33,202.24,468417.0
2025-07-16,199.98,202.92,198.6001,202.57,621496.0
2025-07-15,203.57,204.1685,199.64,199.68,517464.0
2025-07-14,204.68,205.945,203.27,203.39,459409.0
2025-07-11,205.38,206.63,204.5,205.9,432717.0
2025-07-10,204.56,209.58,203.06,207.24,655325.0
2025-07-09,204.06,204.46,202.33,204.08,738316.0
2025-07-08,201.26,204.46,201.239,202.77,731053.0
2025-07-07,201.8,202.4875,200.115,201.27,621215.0
2025-07-03,201.69,203.5799,200.7,202.29,393100.0
2025-07-02,203.11,203.69,200.25,201.94,1033063.0
2025-07-01,193.95,204.1795,189.88,202.75,1512158.0
2025-06-30,189.27,189.27,187.4192,188.45,734217.0
2025-06-27,188.46,190.475,187.41,189.41,673552.0
2025-06-26,187.79,188.38,186.28,187.65,560620.0
2025-06-25,189.6,189.6,186.3049,186.84,423511.0
2025-06-24,190.0,191.23,188.74,189.41,634930.0
2025-06-23,186.63,189.055,184.76,188.7,773576.0
2025-06-20,186.73,188.16,185.94,186.86,1141935.0
2025-06-18,186.75,187.695,185.77,186.23,590050.0
2025-06-17,189.09,189.298,186.04,186.35,794511.0
2025-06-16,188.47,191.37,185.95,189.46,525889.0
2025-06-13,190.33,191.4099,187.7,188.56,524269.0
2025-06-12,191.6,193.48,189.94,193.31,462199.0
2025-06-11,197.1,197.1,192.25,193.21,815174.0
