date,Open,High,Low,Close,Volume
2025-10-31,181.01,183.21,180.4,182.55,1554566.0
2025-10-30,181.33,185.09,180.37,182.32,1959904.0
2025-10-29,181.32,183.59,180.03,181.02,2592955.0
2025-10-28,185.03,185.03,181.93,182.84,1798432.0
2025-10-27,186.78,186.85,183.22,184.86,2407020.0
2025-10-24,183.53,187.33,182.13,186.44,2243136.0
2025-10-23,182.08,182.9899,180.69,181.95,2080094.0
2025-10-22,182.51,182.51,180.14,181.2,1922068.0
2025-10-21,182.31,183.32,181.245,181.91,3395594.0
2025-10-20,180.22,182.42,179.72,182.17,2506588.0
2025-10-17,179.95,180.54,176.88,179.4,3369753.0
2025-10-16,183.27,184.77,177.56,178.37,3568280.0
2025-10-15,183.84,186.9,179.21,182.34,6663169.0
2025-10-14,184.63,190.4,184.5001,189.73,3264286.0
2025-10-13,186.45,187.72,184.71,186.92,1818117.0
2025-10-10,191.265,192.04,183.62,183.95,2209011.0
2025-10-09,191.16,192.25,188.63,190.67,1899880.0
2025-10-08,193.87,193.87,190.11,190.16,1630140.0
2025-10-07,196.16,198.93,192.66,193.81,1599375.0
2025-10-06,199.92,202.0,194.68,195.62,2208719.0
2025-10-03,198.93,200.52,197.46,198.46,1137861.0
2025-10-02,197.44,199.61,196.6201,198.16,1122401.0
2025-10-01,199.62,200.38,197.9,198.44,1378280.0
2025-09-30,202.19,202.79,197.4,200.93,1516701.0
2025-09-29,203.92,204.045,200.2,201.85,1635910.0
2025-09-26,204.1,205.65,202.62,203.32,1008195.0
2025-09-25,203.115,204.22,202.15,202.74,1043034.0
2025-09-24,203.99,205.965,202.59,204.08,1782659.0
2025-09-23,204.0,206.7925,203.11,203.92,1310711.0
2025-09-22,204.12,205.45,202.55,203.12,1216702.0
2025-09-19,206.71,206.71,204.0,205.52,3001359.0
2025-09-18,203.92,206.53,203.4,206.27,1125199.0
2025-09-17,201.46,205.84,201.1,203.77,1387626.0
2025-09-16,202.59,203.14,198.68,200.94,1187414.0
2025-09-15,202.25,205.13,201.89,202.46,1464319.0
2025-09-12,202.75,203.04,201.59,201.98,1015308.0
2025-09-11,201.61,203.53,201.15,202.75,1271076.0
2025-09-10,200.97,202.555,200.42,201.89,1290604.0
2025-09-09,203.77,204.95,198.84,200.41,1856221.0
2025-09-08,204.21,205.64,201.125,203.77,1772950.0
2025-09-05,207.76,208.8,203.735,204.4,1273036.0
2025-09-04,206.24,207.46,205.19,207.36,1203323.0
2025-09-03,204.4,205.74,202.93,205.0,1827676.0
2025-09-02,205.71,205.71,202.6955,205.42,1647359.0
2025-08-29,205.6,208.34,205.6,207.44,2045639.0
2025-08-28,207.16,207.16,204.75,205.62,1924999.0
2025-08-27,203.04,206.61,202.1,206.04,1762703.0
2025-08-26,200.24,203.74,200.01,203.46,1730826.0
2025-08-25,201.3,201.47,200.155,200.7,1275034.0
2025-08-22,195.02,202.07,194.72,201.69,1835667.0
2025-08-21,194.29,195.155,193.069,194.0,1405535.0
2025-08-20,193.57,195.55,192.74,195.0,2008763.0
2025-08-19,191.88,194.075,191.555,192.99,1701235.0
2025-08-18,191.0,192.1899,190.38,192.01,1349093.0
2025-08-15,195.85,195.85,191.12,191.27,1300420.0
2025-08-14,192.55,194.735,191.16,194.57,1086602.0
2025-08-13,192.0,193.68,190.75,193.4,1506096.0
2025-08-12,189.87,191.88,189.82,191.23,1679250.0
2025-08-11,190.1,190.48,187.86,188.53,1571719.0
2025-08-08,188.34,189.99,187.08,189.74,1020090.0
2025-08-07,190.11,190.12,186.4801,187.12,1280661.0
2025-08-06,189.26,190.17,188.54,188.56,1335774.0
2025-08-05,189.73,190.5,186.66,188.99,1497506.0
2025-08-04,186.6,189.27,186.56,189.07,1588569.0
2025-08-01,187.45,187.97,183.84,185.88,2639409.0
