date,Open,High,Low,Close,Volume
2025-10-31,106.97,107.81,105.85,106.35,1578587.0
2025-10-30,107.36,109.145,106.87,107.14,889802.0
2025-10-29,109.22,110.12,106.99,107.62,1337547.0
2025-10-28,109.15,109.64,107.46,108.87,937045.0
2025-10-27,110.9,110.9,108.69,109.13,2410093.0
2025-10-24,111.94,111.94,109.29,109.73,1040065.0
2025-10-23,110.03,111.45,108.15,110.7,1421923.0
2025-10-22,109.39,111.14,108.81,109.34,2011294.0
2025-10-21,107.7,109.78,103.8566,109.02,2260135.0
2025-10-20,109.88,110.86,109.02,109.3,1479802.0
2025-10-17,107.98,110.0,107.56,108.79,1260609.0
2025-10-16,110.96,111.59,107.96,108.7,1196904.0
2025-10-15,111.57,112.13,108.88,110.31,994387.0
2025-10-14,107.7,110.77,107.2532,110.41,996571.0
2025-10-13,108.34,109.395,108.0,108.83,928748.0
2025-10-10,110.54,111.21,106.95,107.21,1477454.0
2025-10-09,112.26,112.26,109.15,109.85,978057.0
2025-10-08,111.13,112.195,110.205,111.8,1121017.0
2025-10-07,112.59,112.81,110.2912,110.66,864814.0
2025-10-06,112.54,113.03,111.515,112.05,1083017.0
2025-10-03,112.47,113.95,112.1501,112.23,732149.0
2025-10-02,110.93,112.69,110.27,112.36,1095283.0
2025-10-01,110.17,110.84,109.47,110.5,798667.0
2025-09-30,109.66,110.85,109.14,110.76,1129999.0
2025-09-29,110.6,110.95,109.115,109.64,872718.0
2025-09-26,108.6,110.0,108.51,109.76,689634.0
2025-09-25,107.99,108.61,107.58,108.31,724567.0
2025-09-24,110.01,110.085,108.02,109.0,1287460.0
2025-09-23,110.64,111.23,109.46,110.09,834775.0
2025-09-22,109.94,110.56,109.47,110.09,790441.0
2025-09-19,111.53,112.246,109.87,110.3,2172932.0
2025-09-18,110.1,112.91,109.93,111.52,1099700.0
2025-09-17,111.15,112.34,108.83,109.46,1628345.0
2025-09-16,110.62,111.16,109.65,111.01,1183437.0
2025-09-15,110.95,111.5,110.31,110.65,899122.0
2025-09-12,112.35,112.524,110.86,110.95,915213.0
2025-09-11,109.25,112.91,108.63,112.59,1106664.0
2025-09-10,108.98,110.575,108.64,109.26,784989.0
2025-09-09,110.35,110.63,107.85,109.13,1062309.0
2025-09-08,110.63,110.97,109.68,110.68,955601.0
2025-09-05,111.09,111.8,109.79,110.64,1118577.0
2025-09-04,107.06,110.09,106.755,110.06,1245723.0
2025-09-03,106.15,106.92,105.4591,106.84,934750.0
2025-09-02,106.1,106.43,105.255,106.29,1111052.0
2025-08-29,109.03,109.42,107.25,107.53,1048959.0
2025-08-28,109.91,109.99,108.54,109.18,817182.0
2025-08-27,108.61,109.785,108.52,109.34,1163573.0
2025-08-26,107.94,109.52,107.775,109.17,1825478.0
2025-08-25,108.47,108.56,107.61,107.93,923702.0
2025-08-22,105.4,109.2,104.5,108.6,1257989.0
2025-08-21,104.62,105.26,104.24,104.44,741046.0
2025-08-20,106.59,106.835,104.93,105.04,1242159.0
2025-08-19,105.86,107.28,105.63,107.08,1195964.0
2025-08-18,105.03,105.92,104.47,105.6,1246745.0
2025-08-15,106.64,106.74,104.8,104.98,1021713.0
