date,Open,High,Low,Close,Volume
2025-10-31,96.94,98.17,96.5,97.75,3132474.0
2025-10-30,98.0,100.79,97.18,97.45,2748962.0
2025-10-29,103.95,104.0,99.04,99.13,3446514.0
2025-10-28,106.09,106.71,104.95,105.31,2967211.0
2025-10-27,104.0,105.78,103.55,105.45,2209997.0
2025-10-24,104.43,104.6,103.08,103.5,1228379.0
2025-10-23,102.87,103.62,101.879,103.5,1265297.0
2025-10-22,103.63,104.29,102.0,102.16,1443741.0
2025-10-21,102.17,104.84,101.895,104.38,1790722.0
2025-10-20,102.0,102.535,101.53,102.17,1033614.0
2025-10-17,101.02,101.76,100.235,101.57,1195968.0
2025-10-16,101.51,101.8357,100.04,101.01,1859007.0
2025-10-15,100.68,101.36,98.855,99.56,1517784.0
2025-10-14,98.0,101.34,97.99,100.5,1362480.0
2025-10-13,99.24,99.89,98.16,98.86,1420800.0
2025-10-10,100.47,101.785,98.44,98.48,1772697.0
2025-10-09,101.85,102.04,99.485,99.6,1650616.0
2025-10-08,101.89,102.05,101.0,101.59,1519027.0
2025-10-07,103.99,104.27,101.51,101.7,1412518.0
2025-10-06,105.13,105.13,103.51,103.52,1466612.0
2025-10-03,104.35,105.38,104.005,104.43,1160214.0
2025-10-02,103.98,105.32,103.74,104.52,1333554.0
2025-10-01,104.96,105.51,103.71,104.09,1588855.0
2025-09-30,104.15,105.2,103.52,105.11,1723289.0
2025-09-29,104.44,105.2799,102.8994,104.02,2244886.0
2025-09-26,104.58,105.02,103.29,103.65,1859013.0
2025-09-25,105.26,105.44,103.635,103.92,1955057.0
2025-09-24,105.33,106.63,105.04,105.48,1686816.0
2025-09-23,109.36,109.72,105.71,106.24,2150560.0
2025-09-22,108.66,109.83,107.8501,109.49,2348926.0
2025-09-19,110.38,110.48,108.31,109.42,3617802.0
2025-09-18,108.46,109.26,107.99,109.02,1715188.0
2025-09-17,108.88,111.575,107.62,108.1,1492830.0
2025-09-16,109.42,109.91,107.915,108.36,1220471.0
2025-09-15,111.33,111.465,109.105,109.45,1281541.0
2025-09-12,111.13,111.8,110.36,110.72,1552318.0
2025-09-11,109.08,112.15,108.995,111.83,1505903.0
2025-09-10,108.44,109.5579,108.19,108.78,1423562.0
2025-09-09,110.7,110.765,108.76,109.38,2041002.0
2025-09-08,109.65,111.6,108.345,111.53,3264999.0
2025-09-05,110.43,112.01,109.11,109.98,2222294.0
2025-09-04,109.77,109.86,108.46,109.64,1642859.0
2025-09-03,109.32,109.97,108.605,109.19,1144527.0
2025-09-02,109.24,109.91,108.825,109.59,1788064.0
2025-08-29,111.42,112.08,110.85,111.23,906817.0
2025-08-28,112.55,112.585,110.48,111.22,1278201.0
2025-08-27,112.28,113.37,111.83,112.13,796330.0
2025-08-26,112.0,113.05,111.79,112.57,1566049.0
2025-08-25,113.66,113.88,111.99,112.14,1161618.0
2025-08-22,112.16,115.5,111.76,114.27,1594264.0
2025-08-21,111.19,112.065,110.77,111.57,1214260.0
2025-08-20,112.48,113.345,111.66,112.06,1091509.0
2025-08-19,111.52,113.84,111.25,112.86,1355265.0
2025-08-18,111.79,111.956,110.86,110.97,1335272.0
2025-08-15,112.49,112.55,111.16,111.8,1400251.0
2025-08-14,110.87,112.07,110.3954,111.95,1270064.0
2025-08-13,108.93,112.63,108.76,112.62,2048696.0
2025-08-12,107.02,109.56,106.495,108.75,1455391.0
2025-08-11,106.76,107.195,105.85,106.52,1838148.0
2025-08-08,106.14,107.44,105.58,106.95,1207003.0
2025-08-07,107.58,108.07,105.79,106.12,1865748.0
2025-08-06,106.71,106.71,104.56,105.68,2502201.0
2025-08-05,105.95,106.73,105.09,106.02,1398009.0
2025-08-04,104.9,105.72,104.55,105.0,2560095.0
2025-08-01,104.14,104.71,102.78,104.44,1989158.0
2025-07-31,105.36,107.5,105.18,105.5,3895828.0
2025-07-30,110.0,110.07,105.3017,106.25,6555223.0
2025-07-29,114.14,115.08,112.09,112.23,2255854.0
2025-07-28,115.24,115.7,113.87,113.97,1469340.0
2025-07-25,115.495,116.15,114.755,115.95,1280174.0
2025-07-24,115.83,117.29,114.78,115.02,1711038.0
2025-07-23,116.57,117.04,115.02,116.61,1523402.0
2025-07-22,113.8,115.45,113.65,115.4,1720684.0
2025-07-21,115.49,115.8175,114.29,114.52,1067299.0
2025-07-18,116.21,116.405,113.415,114.53,5187061.0
2025-07-17,115.41,116.485,115.05,116.02,1824775.0
2025-07-16,114.03,115.77,113.61,115.57,1514301.0
2025-07-15,117.16,117.16,114.28,114.29,1157602.0
2025-07-14,116.15,116.595,115.02,116.36,1219347.0
2025-07-11,117.795,117.795,116.51,117.3,817760.0
2025-07-10,119.03,120.91,118.31,119.07,1365308.0
2025-07-09,118.16,118.74,117.105,118.19,1294919.0
2025-07-08,116.1,118.27,115.66,117.41,1563819.0
2025-07-07,117.81,117.89,115.29,115.46,1511956.0
2025-07-03,118.59,118.94,117.71,118.28,796208.0
2025-07-02,117.4,118.91,116.42,118.59,1588971.0
2025-07-01,113.25,117.82,112.72,116.41,2055101.0
2025-06-30,113.76,114.2,113.04,113.75,1405147.0
2025-06-27,114.03,115.38,113.41,114.15,2248731.0
2025-06-26,113.67,114.71,113.395,113.78,1539242.0
2025-06-25,114.0,114.91,112.54,113.26,1308348.0
2025-06-24,114.3,115.22,113.09,113.88,2025742.0
2025-06-23,108.23,112.61,108.23,112.33,2697545.0
2025-06-20,109.15,109.22,107.66,108.67,4312238.0
2025-06-18,107.27,108.5,106.96,108.24,1789117.0
2025-06-17,108.2,108.99,107.24,107.54,1607050.0
2025-06-16,108.09,109.08,107.21,109.04,1996241.0
2025-06-13,110.16,110.77,106.08,106.3,2505217.0
2025-06-12,112.04,112.52,111.51,112.03,1291916.0
2025-06-11,115.24,115.24,112.94,113.01,1942364.0
