date,Open,High,Low,Close,Volume
2025-10-31,36.66,36.715,36.39,36.52,3599515.0
2025-10-30,36.57,37.27,36.54,36.82,6010033.0
2025-10-29,36.76,36.956,36.295,36.48,4331216.0
2025-10-28,37.35,37.46,36.9,36.91,3457873.0
2025-10-27,37.44,37.51,37.05,37.46,3603814.0
2025-10-24,37.52,37.7,37.27,37.35,3200800.0
2025-10-23,38.0,38.07,37.045,37.36,6243113.0
2025-10-22,37.73,38.03,37.6,37.75,5745095.0
2025-10-21,38.12,38.23,37.205,37.52,7778349.0
2025-10-20,37.45,37.845,37.445,37.67,5964418.0
2025-10-17,37.44,37.55,36.845,37.44,7605226.0
2025-10-16,37.98,38.265,37.28,37.31,5113325.0
2025-10-15,37.96,38.23,37.825,37.97,5522514.0
2025-10-14,37.56,37.96,37.44,37.86,3969517.0
2025-10-13,37.05,37.54,37.01,37.44,3560639.0
2025-10-10,37.04,37.47,36.95,37.23,3324216.0
2025-10-09,37.4,37.6,36.88,36.94,4281498.0
2025-10-08,37.58,37.6,37.095,37.29,3351430.0
2025-10-07,37.41,37.81,37.285,37.49,6030963.0
2025-10-06,36.67,37.22,36.67,37.15,5146377.0
2025-10-03,36.47,36.9,36.44,36.7,6529046.0
2025-10-02,36.4,36.65,36.275,36.4,5288084.0
2025-10-01,37.12,37.21,36.5,36.59,5867242.0
2025-09-30,37.08,37.31,36.9,37.16,6970615.0
2025-09-29,36.79,37.08,36.455,37.08,4187662.0
2025-09-26,36.32,36.73,36.22,36.72,3965747.0
2025-09-25,36.56,36.76,36.1,36.16,3593559.0
2025-09-24,36.29,36.58,36.19,36.5,4598679.0
2025-09-23,35.67,36.3193,35.62,36.31,3515461.0
2025-09-22,35.74,35.86,35.5201,35.69,4261700.0
2025-09-19,35.71,35.83,35.37,35.69,6140722.0
2025-09-18,35.38,35.77,35.2114,35.58,3795270.0
2025-09-17,35.66,35.88,35.49,35.61,4142526.0
2025-09-16,36.01,36.01,35.48,35.49,5112562.0
2025-09-15,36.13,36.245,35.8918,35.97,2970126.0
2025-09-12,35.9,36.25,35.88,36.16,2841568.0
2025-09-11,35.72,36.035,35.515,35.98,3412217.0
2025-09-10,35.42,35.87,35.3,35.79,4345417.0
2025-09-09,35.59,35.96,35.48,35.73,3605568.0
2025-09-08,35.91,35.96,35.5142,35.65,4530960.0
2025-09-05,36.62,36.72,35.87,35.96,4089018.0
2025-09-04,36.42,36.71,36.285,36.5,7565693.0
2025-09-03,36.2,36.43,35.98,36.22,5161530.0
2025-09-02,36.33,36.56,36.17,36.42,4768655.0
2025-08-29,36.62,36.68,36.405,36.47,6490602.0
2025-08-28,36.57,36.595,36.325,36.56,4390501.0
2025-08-27,36.56,36.86,36.46,36.62,3628129.0
2025-08-26,36.52,36.625,36.25,36.52,4134709.0
2025-08-25,36.78,36.9,36.37,36.51,5079281.0
2025-08-22,36.93,37.03,36.635,36.9,3406777.0
2025-08-21,36.99,37.055,36.69,36.72,4367235.0
2025-08-20,36.9,37.38,36.87,37.09,8128067.0
2025-08-19,36.28,36.74,36.25,36.73,6901521.0
2025-08-18,36.6,36.64,36.2,36.24,3874642.0
2025-08-15,37.08,37.08,36.37,36.55,9425487.0
