date,Open,High,Low,Close,Volume
2025-10-31,136.7,137.65,135.25,136.14,1917690.0
2025-10-30,137.27,141.37,136.06,137.07,3093927.0
2025-10-29,132.54,138.775,130.8019,138.0,4455928.0
2025-10-28,134.07,135.7427,133.66,133.66,2367039.0
2025-10-27,135.31,136.13,134.085,135.42,2501817.0
2025-10-24,136.84,137.3545,134.95,134.98,1697882.0
2025-10-23,132.26,136.97,132.13,135.81,2824646.0
2025-10-22,129.16,131.46,127.745,131.4,2144748.0
2025-10-21,130.56,130.64,126.92,128.6,2315049.0
2025-10-20,129.37,131.09,129.37,130.34,1997926.0
2025-10-17,129.03,130.85,128.39,129.27,1756900.0
2025-10-16,130.0,130.64,127.67,128.36,2161453.0
2025-10-15,131.92,132.32,128.7278,129.57,1864622.0
2025-10-14,128.135,132.97,127.665,130.84,1941314.0
2025-10-13,128.0,129.97,127.55,129.79,1219136.0
2025-10-10,130.02,131.72,126.74,126.76,1963583.0
2025-10-09,132.12,133.0425,130.47,131.09,1577050.0
2025-10-08,132.55,132.84,130.4001,131.3,1772564.0
2025-10-07,132.6,132.895,129.315,132.37,1918022.0
2025-10-06,133.08,135.18,131.77,132.92,1609952.0
2025-10-03,136.99,138.14,132.92,133.01,2000691.0
2025-10-02,134.0,136.2,133.27,134.94,1829381.0
2025-10-01,135.35,136.45,134.23,134.59,2258532.0
2025-09-30,136.31,137.21,134.1918,136.02,2240035.0
2025-09-29,139.62,139.62,136.4,137.57,2810472.0
2025-09-26,139.78,142.35,138.676,139.46,2891069.0
2025-09-25,136.47,139.57,134.97,139.08,5158939.0
2025-09-24,133.02,137.69,132.635,136.59,3000972.0
2025-09-23,130.29,133.96,130.13,132.28,3815635.0
2025-09-22,129.23,131.24,128.63,129.57,3362105.0
2025-09-19,131.72,132.005,128.38,129.72,9244775.0
2025-09-18,134.1,134.1,130.94,131.35,3180381.0
2025-09-17,132.32,134.755,132.0,133.14,3287562.0
2025-09-16,132.15,133.585,131.5,133.04,1767569.0
2025-09-15,130.79,132.13,130.16,131.18,1730320.0
2025-09-12,132.69,133.3,130.69,130.78,1380843.0
2025-09-11,131.44,133.36,131.11,132.52,2155893.0
2025-09-10,131.97,133.69,128.36,131.42,2424723.0
2025-09-09,131.35,135.22,130.14,132.29,2830762.0
2025-09-08,132.04,132.45,129.845,130.21,2802391.0
2025-09-05,130.79,132.25,129.85,131.55,1828616.0
2025-09-04,130.64,132.18,129.93,131.58,1832221.0
2025-09-03,131.5,133.84,129.67,130.53,2287831.0
2025-09-02,132.73,133.95,132.015,133.84,2113980.0
2025-08-29,132.82,134.34,132.055,133.58,1530729.0
2025-08-28,132.82,133.35,131.5,132.83,1982338.0
2025-08-27,129.75,133.33,129.22,132.62,2031923.0
2025-08-26,128.64,130.09,128.14,129.89,2777492.0
2025-08-25,129.45,130.93,128.9754,129.52,2051202.0
2025-08-22,125.0,130.65,124.88,129.94,2674117.0
2025-08-21,122.97,124.7,122.25,124.45,2174688.0
2025-08-20,122.86,124.285,122.125,123.57,1720422.0
2025-08-19,121.55,124.0953,121.24,122.17,1600468.0
2025-08-18,122.43,123.53,122.25,122.84,1858168.0
2025-08-15,123.54,124.85,122.57,123.61,2303677.0
2025-08-14,121.16,122.95,119.8,122.73,2095643.0
2025-08-13,119.91,122.58,119.54,122.58,2359186.0
2025-08-12,119.23,121.71,118.64,120.04,1749152.0
2025-08-11,119.79,120.6999,118.07,118.37,1699625.0
2025-08-08,119.67,120.84,118.875,119.13,1694173.0
2025-08-07,121.53,122.3442,119.07,119.3,1587566.0
2025-08-06,122.9,123.28,119.28,119.84,2080758.0
2025-08-05,122.5,122.64,119.8,122.07,1512750.0
2025-08-04,120.28,122.02,119.6,121.46,2102215.0
2025-08-01,121.88,122.385,119.17,119.6,2162494.0
2025-07-31,124.34,125.03,122.97,123.58,3926259.0
2025-07-30,127.22,127.585,123.77,124.4,3193780.0
2025-07-29,127.36,128.519,126.075,128.41,2395738.0
2025-07-28,125.56,127.825,125.555,127.69,2690475.0
2025-07-25,125.81,126.79,122.74,124.97,3666550.0
2025-07-24,126.73,127.1,122.56,124.32,3508238.0
2025-07-23,126.68,128.06,126.155,127.85,2281539.0
2025-07-22,126.0,127.57,125.805,126.16,2225129.0
2025-07-21,126.31,127.76,125.62,126.05,2505373.0
2025-07-18,126.45,127.31,125.3,125.9,3256700.0
2025-07-17,123.46,125.47,123.0,125.18,2609129.0
2025-07-16,127.51,128.54,123.56,123.67,3438405.0
2025-07-15,129.76,130.07,128.15,128.27,1995192.0
2025-07-14,130.71,131.3484,128.45,129.01,1933220.0
2025-07-11,133.1,133.54,131.43,131.71,1680021.0
2025-07-10,130.69,134.66,129.8209,134.39,2711868.0
2025-07-09,130.0,132.22,129.6648,130.51,3160624.0
2025-07-08,126.63,130.57,126.63,130.0,3821506.0
2025-07-07,126.42,128.4,125.24,126.4,2091014.0
2025-07-03,126.04,128.44,125.31,127.29,1290860.0
2025-07-02,124.54,126.54,122.96,126.46,2128468.0
2025-07-01,119.28,124.425,118.87,123.15,2731525.0
2025-06-30,118.51,120.17,118.18,119.3,2060675.0
2025-06-27,119.64,120.32,118.0,119.25,10132728.0
2025-06-26,120.0,120.89,118.86,120.17,3066272.0
2025-06-25,119.21,120.99,118.5,119.63,2866850.0
2025-06-24,120.64,121.96,118.79,119.46,4171302.0
2025-06-23,125.46,125.46,120.43,121.03,4503077.0
2025-06-20,125.34,126.305,123.94,124.78,8494407.0
2025-06-18,124.54,126.39,123.52,124.82,5788636.0
2025-06-17,124.5,125.76,123.6,124.54,5513888.0
2025-06-16,122.2,124.37,121.575,123.62,4164309.0
2025-06-13,122.0,123.43,121.0001,122.15,3074949.0
2025-06-12,119.71,122.0,119.05,121.52,2442456.0
2025-06-11,119.59,121.255,118.25,120.95,2414199.0
