date,Open,High,Low,Close,Volume
2025-10-31,68.27,69.58,67.62,69.27,18370142.0
2025-10-30,69.835,70.7699,67.9,67.93,19550791.0
2025-10-29,72.7,72.73,69.315,69.68,38505446.0
2025-10-28,76.21,79.215,72.83,73.02,83722314.0
2025-10-27,70.855,71.87,70.13,70.25,18821307.0
2025-10-24,70.15,71.25,69.74,69.77,8638209.0
2025-10-23,68.07,70.06,68.0501,69.66,8199006.0
2025-10-22,69.17,69.37,67.91,68.07,8173415.0
2025-10-21,69.02,70.36,68.83,70.05,9031987.0
2025-10-20,67.675,69.47,67.65,69.2,10016105.0
2025-10-17,65.535,67.71,65.45,67.41,11151457.0
2025-10-16,68.13,68.6,65.42,66.05,19258506.0
2025-10-15,69.385,69.875,67.84,67.98,11247306.0
2025-10-14,67.41,69.71,66.77,69.15,12968477.0
2025-10-13,70.72,70.9295,68.1617,68.86,20036796.0
2025-10-10,76.11,76.9,69.76,69.84,22326459.0
2025-10-09,77.19,77.34,75.033,75.75,15774431.0
2025-10-08,75.235,76.5,73.275,76.13,17904841.0
2025-10-07,74.07,75.675,73.06,74.61,31977488.0
2025-10-06,70.22,71.87,69.4524,71.29,16769862.0
2025-10-03,68.1,69.53,67.75,69.25,12219820.0
2025-10-02,67.07,68.95,66.95,68.93,13461606.0
2025-10-01,66.9,67.8,66.22,66.66,17050109.0
2025-09-30,69.825,69.83,66.85,67.06,21464836.0
2025-09-29,67.96,71.26,67.89,69.68,28497009.0
2025-09-26,67.0,67.63,66.32,67.3,8431604.0
2025-09-25,67.26,67.49,66.2,66.74,10773689.0
2025-09-24,67.65,68.58,67.44,67.86,9180592.0
2025-09-23,67.805,68.99,67.12,67.31,10449003.0
2025-09-22,67.76,68.1103,67.05,67.68,13298222.0
2025-09-19,68.76,68.85,67.925,68.22,19774202.0
2025-09-18,70.08,70.3,68.33,68.52,14330485.0
2025-09-17,67.14,69.27,67.0,68.62,18607765.0
2025-09-16,66.835,67.14,66.105,66.85,9353862.0
2025-09-15,67.3,68.19,66.8026,67.11,9597883.0
2025-09-12,67.21,67.75,66.86,66.89,7505551.0
2025-09-11,65.75,67.35,65.71,67.27,11154387.0
2025-09-10,67.48,68.03,65.235,65.64,14352505.0
2025-09-09,68.2,68.5,67.53,67.68,8776483.0
2025-09-08,68.46,68.59,67.8,68.4,7954897.0
2025-09-05,68.88,69.94,68.17,68.26,7794280.0
2025-09-04,69.7,69.9,66.23,68.46,14063528.0
2025-09-03,68.91,69.89,68.8,69.64,8859143.0
2025-09-02,68.92,69.3743,68.1503,69.25,12882512.0
2025-08-29,70.02,70.7,69.9,70.19,5636253.0
2025-08-28,70.0,70.56,69.53,70.06,5882010.0
2025-08-27,68.73,70.08,68.691,69.65,8648156.0
2025-08-26,69.4,70.25,69.18,70.18,9471529.0
2025-08-25,69.65,69.8097,69.04,69.48,6460277.0
2025-08-22,67.91,70.15,67.82,69.9,9394131.0
2025-08-21,67.68,67.87,66.925,67.55,7039480.0
2025-08-20,68.94,69.11,67.68,68.08,9992255.0
2025-08-19,69.79,70.365,68.93,69.05,9052818.0
2025-08-18,69.31,69.985,69.23,69.53,8410169.0
2025-08-15,69.57,70.16,69.16,69.23,8127976.0
2025-08-14,69.44,69.82,68.23,69.38,10695355.0
2025-08-13,68.23,70.73,68.15,70.63,12344742.0
2025-08-12,67.24,68.74,67.23,67.97,9757873.0
2025-08-11,67.81,68.48,66.9,67.08,10118633.0
2025-08-08,68.44,68.61,67.42,67.65,9683361.0
2025-08-07,70.0,70.17,67.68,68.22,10129342.0
2025-08-06,68.3,69.61,68.209,69.42,11913029.0
2025-08-05,68.46,68.67,67.41,67.83,10714744.0
2025-08-04,67.825,68.57,67.275,68.01,11756770.0
2025-08-01,68.0,68.35,66.57,67.11,15181148.0
2025-07-31,69.475,70.0546,68.46,68.76,16657575.0
2025-07-30,72.19,72.205,69.555,69.71,20790418.0
2025-07-29,71.73,73.28,70.31,71.45,42890667.0
2025-07-28,78.51,79.5,77.93,78.22,15978415.0
2025-07-25,77.59,78.815,77.5,77.98,6888148.0
2025-07-24,77.74,78.76,77.35,77.82,10504292.0
2025-07-23,76.925,77.23,75.91,76.66,9283158.0
2025-07-22,74.765,76.15,74.765,76.0,9094376.0
2025-07-21,74.35,76.23,74.24,74.82,8200357.0
2025-07-18,74.1,74.35,73.2841,74.17,9011582.0
2025-07-17,72.47,74.18,72.35,73.86,8522674.0
2025-07-16,73.26,73.58,71.73,72.97,9671060.0
2025-07-15,73.77,73.91,72.94,72.96,7333620.0
2025-07-14,71.56,74.31,71.54,73.89,12993866.0
2025-07-11,75.17,75.2,70.79,71.36,21877721.0
2025-07-10,74.455,76.22,74.13,75.7,6382276.0
2025-07-09,75.49,75.79,74.375,74.83,6755681.0
2025-07-08,76.44,76.515,74.51,75.03,8758384.0
2025-07-07,76.21,76.83,75.62,76.18,5918601.0
2025-07-03,76.71,77.36,76.475,76.59,5263390.0
2025-07-02,75.01,76.865,75.0,76.31,9361506.0
2025-07-01,73.95,75.695,73.8,75.29,8633809.0
2025-06-30,73.94,74.54,73.66,74.32,7737966.0
2025-06-27,73.27,73.75,72.855,73.64,10449548.0
2025-06-26,73.245,73.38,71.61,73.17,10235639.0
2025-06-25,74.14,74.2499,72.415,73.07,7851896.0
2025-06-24,73.125,73.94,72.55,73.58,9500942.0
2025-06-23,71.0,72.1469,70.16,72.01,11447942.0
2025-06-20,68.83,70.55,68.55,70.05,18497852.0
2025-06-18,70.51,71.2759,67.52,68.57,20427726.0
2025-06-17,71.92,72.1,70.465,70.67,7374325.0
2025-06-16,71.63,72.485,71.07,72.26,7195509.0
2025-06-13,73.3,74.215,70.5307,70.83,16744374.0
2025-06-12,74.02,75.3068,74.0,74.81,8644643.0
2025-06-11,75.1,75.21,73.93,74.61,7706133.0
