date,Open,High,Low,Close,Volume
2025-10-31,95.99,98.51,94.54,94.92,2851843.0
2025-10-30,95.19,99.29,94.0,95.99,2651978.0
2025-10-29,98.89,101.685,95.21,95.48,4381015.0
2025-10-28,100.5,106.3,97.31,97.42,9398465.0
2025-10-27,91.42,93.13,89.91,92.13,748009.0
2025-10-24,93.33,93.5,90.64,90.71,861755.0
2025-10-23,90.53,92.43,90.08,92.06,1213164.0
2025-10-22,92.08,92.36,89.15,90.67,1295628.0
2025-10-21,92.6,93.58,91.51,93.49,927919.0
2025-10-20,90.33,94.28,88.2,93.16,1166136.0
2025-10-17,91.86,92.43,90.83,92.13,1020414.0
2025-10-16,90.5,91.75,89.45,91.675,724612.0
2025-10-15,89.63,90.33,87.54,89.97,881088.0
2025-10-14,85.6,88.9,85.6,87.87,884589.0
2025-10-13,85.63,87.95,84.92,87.92,1055760.0
2025-10-10,89.46,90.535,83.12,83.24,1253216.0
2025-10-09,91.97,91.97,88.7201,90.11,833035.0
2025-10-08,89.67,91.59,89.42,91.53,1071648.0
2025-10-07,92.94,93.85,89.315,89.45,936156.0
2025-10-06,94.65,95.0,90.71,92.41,1368303.0
2025-10-03,91.43,94.26,91.25,93.48,1680429.0
2025-10-02,91.93,92.79,90.91,91.54,1126108.0
2025-10-01,90.72,91.37,90.02,90.47,1224792.0
2025-09-30,90.29,92.01,90.03,91.08,987121.0
2025-09-29,93.84,93.84,90.13,90.46,1527006.0
2025-09-26,93.36,93.66,92.28,93.02,1005999.0
2025-09-25,92.49,93.455,91.02,93.36,914974.0
2025-09-24,93.61,95.95,92.95,93.27,1682933.0
2025-09-23,96.85,96.85,92.83,93.85,2652064.0
2025-09-22,92.62,97.02,92.58,96.31,3371336.0
2025-09-19,90.03,92.34,88.12,91.81,11604213.0
2025-09-18,88.94,90.67,88.3,90.03,2139638.0
2025-09-17,86.62,89.39,86.16,87.67,2229300.0
2025-09-16,87.19,87.79,86.06,86.94,1635344.0
2025-09-15,87.19,88.19,85.69,86.41,1815254.0
2025-09-12,87.26,87.37,85.84,86.81,2045332.0
2025-09-11,89.2,89.8,86.51,87.67,2338052.0
2025-09-10,90.29,90.29,85.7,89.19,2503248.0
2025-09-09,91.96,93.0,90.56,92.11,2024387.0
2025-09-08,92.4,92.46,88.68,91.76,2743651.0
2025-09-05,92.23,94.13,92.23,92.89,973574.0
2025-09-04,90.69,92.57,89.39,92.2,1493190.0
2025-09-03,90.78,90.99,89.57,90.88,1064477.0
2025-09-02,89.0,90.405,88.12,90.34,1041063.0
2025-08-29,91.36,91.82,89.88,90.7,1451576.0
2025-08-28,92.02,92.39,90.92,91.49,1453605.0
2025-08-27,92.2,92.64,91.5,91.91,1632888.0
2025-08-26,92.05,93.375,91.985,92.37,1467600.0
2025-08-25,92.49,92.91,91.87,92.12,934729.0
2025-08-22,89.52,94.045,89.2101,92.95,1870892.0
2025-08-21,88.01,89.14,87.775,89.07,829910.0
2025-08-20,89.07,89.26,87.53,89.05,1771005.0
2025-08-19,89.31,90.08,89.17,89.54,1348246.0
2025-08-18,89.06,89.95,88.49,89.25,1149230.0
2025-08-15,90.09,90.3691,88.86,89.35,1268208.0
2025-08-14,88.79,90.905,88.79,90.66,1200269.0
2025-08-13,90.35,90.94,89.8,90.14,1656462.0
2025-08-12,87.34,89.975,87.0425,89.77,1501268.0
2025-08-11,88.23,88.85,86.73,86.98,1254932.0
2025-08-08,88.1,89.32,87.58,88.09,1423942.0
2025-08-07,85.2,87.62,84.52,87.55,2293111.0
2025-08-06,84.89,84.98,83.56,84.19,1245191.0
2025-08-05,85.31,85.8199,83.64,84.95,2145974.0
2025-08-04,84.85,85.25,84.21,85.17,1427312.0
2025-08-01,82.24,84.875,81.54,84.11,2343214.0
2025-07-31,85.49,85.67,82.61,83.6,2447649.0
2025-07-30,91.29,91.4351,81.6,86.5,5858042.0
2025-07-29,84.97,85.54,83.82,84.67,4167589.0
2025-07-28,86.13,86.29,84.145,84.32,2483571.0
2025-07-25,86.0,86.09,84.75,85.28,1868456.0
2025-07-24,87.7,87.86,85.9242,86.19,1346969.0
2025-07-23,88.67,88.94,86.61,88.53,1127381.0
2025-07-22,88.04,88.84,86.8,87.8,1527466.0
2025-07-21,89.18,90.66,87.88,87.93,1243609.0
2025-07-18,88.82,89.31,87.76,88.57,1021003.0
2025-07-17,88.0,89.17,87.5853,88.63,1214296.0
2025-07-16,87.0,88.35,86.19,88.0,1445352.0
2025-07-15,88.74,89.19,86.89,87.03,1291465.0
2025-07-14,87.55,88.14,86.14,87.48,1259077.0
2025-07-11,89.08,89.4562,87.89,88.23,1484452.0
2025-07-10,89.22,91.29,89.06,90.32,1068393.0
2025-07-09,88.21,90.1,87.69,89.88,2213185.0
2025-07-08,87.89,89.62,86.76,88.03,2619669.0
2025-07-07,87.49,89.91,86.3644,87.04,2309127.0
2025-07-03,88.62,89.58,87.78,88.78,1361276.0
2025-07-02,86.21,88.33,85.36,88.28,1485776.0
2025-07-01,84.31,87.45,84.25,86.08,1778898.0
2025-06-30,83.81,85.21,82.75,84.91,1771498.0
2025-06-27,82.745,84.56,82.41,83.85,2836374.0
2025-06-26,82.88,83.51,82.43,82.99,2009231.0
2025-06-25,82.58,82.78,81.55,82.74,914249.0
2025-06-24,81.43,82.78,81.325,81.59,1814478.0
2025-06-23,79.9,81.7,79.32,80.92,1130028.0
2025-06-20,80.53,81.31,78.32,79.91,5448071.0
2025-06-18,80.4,81.37,79.86,80.3,846899.0
2025-06-17,80.32,81.5,80.0,80.18,1262823.0
2025-06-16,80.46,81.13,79.52,80.74,1830354.0
2025-06-13,79.99,81.06,79.33,79.42,1492274.0
2025-06-12,81.81,82.285,81.42,81.76,1275038.0
2025-06-11,83.7,83.89,81.9825,82.63,1221490.0
