date,Open,High,Low,Close,Volume
2025-10-31,649.45,660.0,645.0,651.8,798001.0
2025-10-30,645.56,664.0,643.915,654.04,1120676.0
2025-10-29,650.41,659.98,637.66,652.91,1751496.0
2025-10-28,612.02,655.7,605.03,654.48,2126839.0
2025-10-27,580.5,586.145,575.93,585.31,1246122.0
2025-10-24,579.65,582.7,576.2,577.95,875474.0
2025-10-23,579.68,584.001,572.7454,575.69,779106.0
2025-10-22,580.21,588.705,578.6,584.74,691262.0
2025-10-21,574.6,582.405,572.82,579.34,651765.0
2025-10-20,579.41,582.645,574.23,576.77,639173.0
2025-10-17,570.35,579.045,566.11,578.05,745708.0
2025-10-16,583.01,589.08,564.0,569.17,842249.0
2025-10-15,575.03,584.865,569.02,576.42,927747.0
2025-10-14,556.92,576.18,553.865,572.6,1010700.0
2025-10-13,551.5,563.77,541.0,557.73,1426513.0
2025-10-10,569.29,577.17,555.545,564.63,1495028.0
2025-10-09,569.02,574.72,563.51,569.9,853522.0
2025-10-08,584.01,605.0,560.97,563.86,1415840.0
2025-10-07,587.59,591.4499,578.42,583.24,656378.0
2025-10-06,602.0,603.65,584.4063,585.48,1072437.0
2025-10-03,602.09,618.01,599.87,600.0,1154866.0
2025-10-02,600.42,605.4125,596.6,600.0,1096615.0
2025-10-01,570.87,615.39,569.99,599.94,2083171.0
2025-09-30,560.58,574.04,555.0001,562.27,1662880.0
2025-09-29,563.9,564.91,557.34,560.75,922537.0
2025-09-26,562.0,564.61,550.7101,563.9,838628.0
2025-09-25,577.3,579.0,549.2,555.51,1394243.0
2025-09-24,567.89,577.98,566.0,576.98,777700.0
2025-09-23,580.0,581.9999,565.45,567.89,1362191.0
2025-09-22,593.0,600.75,588.6734,595.68,904972.0
2025-09-19,602.54,603.465,591.0,591.99,2178008.0
2025-09-18,589.52,600.0,583.92,598.71,1267122.0
2025-09-17,576.31,587.67,576.31,585.5,921792.0
2025-09-16,573.43,579.4,567.305,575.06,708090.0
2025-09-15,558.54,573.69,558.54,572.59,995857.0
2025-09-12,567.34,570.0,559.45,560.0,602753.0
2025-09-11,555.81,570.76,555.81,568.2,868393.0
2025-09-10,555.21,560.0,552.98,555.83,874725.0
2025-09-09,557.0,563.565,554.8,556.53,873267.0
2025-09-08,571.2,571.2,552.81,558.44,1250565.0
2025-09-05,565.15,577.75,565.0,573.38,960386.0
2025-09-04,568.01,581.98,559.62,567.22,1124613.0
2025-09-03,581.99,588.6999,562.785,563.8,1117342.0
2025-09-02,580.54,585.49,570.35,577.9,1020575.0
2025-08-29,577.15,581.245,575.8871,580.7,574375.0
2025-08-28,586.43,590.955,575.04,579.61,616620.0
2025-08-27,591.87,597.02,585.5,586.96,584150.0
2025-08-26,573.0,588.1,567.08,587.65,1614497.0
2025-08-25,591.06,594.88,572.25,572.38,881012.0
2025-08-22,602.35,610.45,585.5,589.48,1439350.0
2025-08-21,586.87,605.18,585.1034,598.16,1010305.0
2025-08-20,572.33,596.9224,570.39,591.01,1298657.0
2025-08-19,575.3,581.6885,570.8,571.78,854756.0
2025-08-18,582.09,585.0,573.81,573.91,769389.0
2025-08-15,577.96,581.95,570.84,580.41,1122244.0
2025-08-14,560.9,573.486,558.0,565.97,976320.0
2025-08-13,557.08,565.5,552.0,561.55,1096184.0
2025-08-12,547.94,562.7434,547.085,556.555,766066.0
2025-08-11,561.52,572.5799,544.16,545.94,1104021.0
2025-08-08,559.8,567.69,558.0618,563.0,1024326.0
2025-08-07,557.66,565.48,553.05,559.8,811334.0
