date,Open,High,Low,Close,Volume
2025-10-31,26.6,26.66,26.0501,26.19,2526904.0
2025-10-30,27.29,27.43,26.5,26.56,2910000.0
2025-10-29,28.98,29.08,27.385,27.45,2563157.0
2025-10-28,29.29,29.365,28.4,29.04,1838771.0
2025-10-27,29.34,29.34,28.74,29.31,3395576.0
2025-10-24,29.65,29.78,28.66,29.07,4060158.0
2025-10-23,28.72,29.45,26.99,29.27,7038475.0
2025-10-22,30.89,31.01,29.48,29.64,4286970.0
2025-10-21,30.81,31.51,30.61,30.98,2222565.0
2025-10-20,31.75,31.855,30.74,30.81,1519612.0
2025-10-17,32.03,32.3,30.845,31.35,1459973.0
2025-10-16,32.42,32.72,31.835,32.04,1830643.0
2025-10-15,32.79,32.9,31.98,32.5,1338396.0
2025-10-14,31.51,32.75,31.25,32.61,1436632.0
2025-10-13,31.66,32.28,31.46,32.07,1401710.0
2025-10-10,33.44,33.5,31.32,31.36,1494039.0
2025-10-09,33.54,33.635,33.0,33.26,1746583.0
2025-10-08,33.12,33.71,32.985,33.67,1057449.0
2025-10-07,34.52,34.6132,33.1204,33.16,1394935.0
2025-10-06,34.61,34.9,34.13,34.39,1620336.0
2025-10-03,34.24,35.17,34.24,34.43,1340651.0
2025-10-02,33.95,34.57,33.81,34.24,1414349.0
2025-10-01,33.98,34.5799,33.54,33.98,1528017.0
2025-09-30,34.11,34.39,33.195,33.98,1538648.0
2025-09-29,34.35,34.42,33.58,34.28,1686530.0
2025-09-26,33.49,34.24,33.435,34.02,1932989.0
2025-09-25,34.53,34.53,33.36,33.49,1520135.0
2025-09-24,33.84,34.76,33.76,34.63,2581742.0
2025-09-23,34.97,35.24,33.62,33.79,1511853.0
2025-09-22,34.29,34.96,34.16,34.9,2374434.0
2025-09-19,35.12,35.165,34.265,34.47,3644549.0
2025-09-18,35.06,35.525,34.75,35.11,1065132.0
2025-09-17,35.49,36.52,34.605,34.73,1670507.0
2025-09-16,34.95,35.66,34.5,35.5,1623952.0
2025-09-15,35.8,36.0045,34.85,34.98,1487987.0
2025-09-12,36.43,36.7,35.431,35.44,996664.0
2025-09-11,35.16,36.41,34.85,36.39,1439283.0
2025-09-10,35.62,35.805,34.7102,35.01,1514159.0
2025-09-09,36.09,36.39,35.77,35.85,1186741.0
2025-09-08,36.76,36.935,35.445,35.93,1483305.0
2025-09-05,37.34,38.15,36.8,37.03,1168464.0
2025-09-04,37.1,37.4,36.8055,37.35,1021468.0
2025-09-03,36.92,37.585,36.75,37.15,1993350.0
2025-09-02,36.89,37.53,36.62,37.22,2074542.0
2025-08-29,36.5,37.38,36.5,37.32,1875313.0
2025-08-28,37.03,37.22,36.07,36.53,1056158.0
2025-08-27,36.4,36.98,36.2751,36.84,1965553.0
2025-08-26,37.66,38.05,36.21,36.5,1645322.0
2025-08-25,37.44,38.08,37.13,37.8,2261437.0
2025-08-22,36.29,38.28,36.2,37.94,2027175.0
2025-08-21,36.37,36.515,35.76,35.96,1135727.0
2025-08-20,36.63,37.28,36.55,36.67,1784892.0
2025-08-19,36.2,37.1,36.0684,36.6,1566732.0
2025-08-18,36.28,36.33,35.72,35.81,1276086.0
2025-08-15,36.41,36.8,35.95,36.33,1629646.0
2025-08-14,36.2,36.57,35.485,36.25,2332855.0
2025-08-13,35.02,36.66,34.67,36.66,2867965.0
2025-08-12,33.78,34.84,33.54,34.82,1982244.0
2025-08-11,34.11,34.66,33.18,33.68,2428449.0
2025-08-08,34.42,34.7,34.06,34.2,1374344.0
2025-08-07,35.01,35.31,34.26,34.4,1912438.0
2025-08-06,35.35,35.355,34.51,34.66,1815824.0
2025-08-05,35.54,35.6771,34.96,35.22,2130335.0
2025-08-04,35.39,35.74,35.13,35.25,1753862.0
2025-08-01,36.41,36.54,35.215,35.34,2084255.0
2025-07-31,37.07,37.605,36.835,36.91,2075965.0
2025-07-30,38.52,38.86,36.96,37.45,2541926.0
2025-07-29,39.32,39.45,38.34,38.39,1456729.0
2025-07-28,39.91,40.375,39.49,39.49,1431585.0
2025-07-25,40.39,40.39,38.9,39.81,1872402.0
2025-07-24,42.65,42.65,39.18,39.84,3554542.0
2025-07-23,42.95,43.26,42.39,42.4,2744547.0
2025-07-22,41.96,42.895,41.81,42.67,1961467.0
2025-07-21,42.09,42.395,41.745,41.8,1740961.0
2025-07-18,42.38,42.78,41.65,41.86,1659613.0
2025-07-17,41.64,43.275,41.34,42.15,2065766.0
2025-07-16,40.18,41.21,39.85,41.18,2394190.0
2025-07-15,41.47,41.47,40.0,40.02,2179004.0
2025-07-14,41.79,41.87,40.865,41.16,1871459.0
2025-07-11,42.43,42.88,41.855,42.06,1024923.0
2025-07-10,42.92,43.69,42.66,42.92,1895755.0
2025-07-09,42.76,42.98,42.12,42.9,2361290.0
2025-07-08,41.16,43.035,40.85,42.53,5760528.0
2025-07-07,42.5,42.76,40.83,41.16,2068985.0
2025-07-03,43.27,43.35,42.58,42.85,915157.0
2025-07-02,43.12,43.295,42.35,43.03,2659359.0
2025-07-01,40.82,43.82,40.775,42.85,3258174.0
2025-06-30,41.27,41.445,40.87,41.05,1395667.0
2025-06-27,41.74,41.845,40.895,41.32,3038462.0
2025-06-26,41.18,41.73,40.56,41.41,2034803.0
2025-06-25,41.31,41.31,40.415,40.88,1880841.0
2025-06-24,40.87,41.34,40.31,41.32,1868023.0
2025-06-23,40.3,40.57,39.61,40.36,3647418.0
2025-06-20,41.36,41.59,39.98,40.31,5462904.0
2025-06-18,42.3,42.64,41.23,41.34,1975722.0
2025-06-17,42.83,43.25,42.1,42.22,1053084.0
2025-06-16,43.24,43.38,42.35,43.23,1418758.0
2025-06-13,43.1,43.62,42.51,42.65,1609575.0
2025-06-12,43.55,44.08,43.14,43.79,1040871.0
2025-06-11,45.14,45.165,43.54,44.0,1629155.0
