date,Open,High,Low,Close,Volume
2025-10-31,157.96,159.4,157.054,158.67,1177318.0
2025-10-30,158.63,159.925,156.75,158.05,1002609.0
2025-10-29,157.8,160.23,156.98,158.25,1504465.0
2025-10-28,161.82,162.325,159.56,159.69,1081684.0
2025-10-27,164.38,164.38,161.27,161.72,1667684.0
2025-10-24,165.78,166.13,161.195,162.44,2012458.0
2025-10-23,172.48,173.0,159.79,165.08,2801485.0
2025-10-22,165.8,167.51,165.35,166.04,1806513.0
2025-10-21,163.87,166.28,163.87,165.75,1031576.0
2025-10-20,162.87,166.28,162.148,164.98,1092977.0
2025-10-17,160.53,161.65,158.32,161.49,2950425.0
2025-10-16,164.33,165.24,159.11,160.18,1326197.0
2025-10-15,164.42,165.18,161.92,163.69,1116868.0
2025-10-14,158.35,164.45,158.35,162.54,882991.0
2025-10-13,162.75,163.45,159.07,159.87,1191427.0
2025-10-10,164.86,165.14,159.41,160.28,1358323.0
2025-10-09,165.87,166.885,163.75,164.15,707771.0
2025-10-08,165.56,167.01,164.48,165.15,618158.0
2025-10-07,168.46,169.455,163.58,165.64,1320261.0
2025-10-06,168.03,168.62,165.93,167.64,630777.0
2025-10-03,167.1,168.09,165.81,166.82,857216.0
2025-10-02,165.1,167.23,163.89,166.46,843892.0
2025-10-01,169.66,170.73,165.84,165.9,1181176.0
2025-09-30,176.42,177.31,171.31,172.6,1182960.0
2025-09-29,176.63,177.12,175.15,176.43,1002462.0
2025-09-26,173.16,176.32,172.655,175.69,1593359.0
2025-09-25,170.81,173.73,169.8456,171.89,1308880.0
2025-09-24,176.09,177.005,171.55,171.91,1535130.0
2025-09-23,174.94,177.66,174.6,175.81,907509.0
2025-09-22,173.09,176.65,172.44,175.32,1050030.0
2025-09-19,174.18,175.27,171.95,174.06,3059693.0
2025-09-18,170.6,174.85,170.2,173.93,942044.0
2025-09-17,169.01,171.8,168.45,170.07,1017382.0
2025-09-16,168.07,169.63,166.89,169.07,1173192.0
2025-09-15,170.33,172.05,168.23,168.26,1583507.0
2025-09-12,170.86,171.4475,169.3601,170.27,1188308.0
2025-09-11,167.37,171.1,166.855,171.08,1472735.0
2025-09-10,165.51,167.81,164.5925,166.7,577986.0
2025-09-09,165.12,167.145,165.12,165.59,486004.0
2025-09-08,165.14,166.08,164.43,165.77,969149.0
2025-09-05,171.0,171.18,163.21,165.5,1293532.0
2025-09-04,167.59,171.25,167.2,171.09,888485.0
2025-09-03,167.79,168.41,165.48,166.56,699689.0
2025-09-02,167.74,168.59,165.48,168.32,996101.0
2025-08-29,168.92,169.73,168.18,169.44,843298.0
2025-08-28,168.4,168.96,167.72,168.71,661526.0
2025-08-27,167.64,168.92,167.27,167.95,590169.0
2025-08-26,165.67,168.04,165.15,167.96,965644.0
2025-08-25,165.47,166.27,164.9501,165.9,677832.0
2025-08-22,162.73,166.22,161.98,165.27,677938.0
2025-08-21,162.09,163.5,161.2972,162.03,754234.0
2025-08-20,164.0,164.0,160.65,162.47,1149077.0
2025-08-19,164.02,165.68,163.458,164.18,1047865.0
2025-08-18,162.66,164.84,162.27,164.36,816505.0
2025-08-15,165.27,165.27,162.965,163.32,956163.0
2025-08-14,164.61,165.0,162.75,164.67,906369.0
2025-08-13,169.0,169.0,161.19,163.84,1719830.0
2025-08-12,165.74,168.55,165.51,168.37,649538.0
2025-08-11,165.19,165.98,164.62,164.92,1122992.0
2025-08-08,164.2,165.56,163.495,164.92,659500.0
2025-08-07,168.0,168.0,162.35,162.99,793764.0
2025-08-06,167.07,168.04,166.26,166.76,561079.0
2025-08-05,166.48,167.61,164.77,166.62,797656.0
2025-08-04,163.93,166.68,163.91,166.48,681251.0
2025-08-01,164.1,164.1,160.1125,163.03,960869.0
2025-07-31,168.2,170.095,166.595,167.13,885726.0
2025-07-30,168.6,170.88,168.02,169.46,1217187.0
2025-07-29,168.56,169.47,166.955,168.02,877391.0
2025-07-28,168.37,168.95,166.96,167.42,799992.0
2025-07-25,166.95,168.68,165.63,168.53,1086788.0
2025-07-24,163.5,167.6,159.23,166.84,2196511.0
2025-07-23,161.74,162.5,160.48,160.87,2525678.0
2025-07-22,159.38,160.925,158.8,160.61,983819.0
2025-07-21,160.97,161.98,159.32,159.38,1125696.0
2025-07-18,159.69,161.04,159.65,160.66,1143705.0
2025-07-17,155.63,159.73,155.54,159.48,939900.0
2025-07-16,156.82,157.445,154.05,156.15,1340122.0
2025-07-15,158.8,159.46,156.26,156.27,902565.0
2025-07-14,158.84,159.73,158.218,159.31,918025.0
2025-07-11,159.34,159.34,157.81,158.4,1050947.0
2025-07-10,159.08,161.0,158.16,160.2,745548.0
2025-07-09,159.29,160.0,158.1,158.66,1005115.0
2025-07-08,157.62,158.88,156.79,157.58,843653.0
2025-07-07,159.84,160.51,156.8,157.28,1062493.0
2025-07-03,158.52,160.3353,157.74,160.0,599865.0
2025-07-02,155.17,158.39,154.4908,158.18,1395675.0
2025-07-01,152.4,155.355,151.7,154.64,919456.0
2025-06-30,153.66,154.52,152.08,153.37,1138200.0
2025-06-27,153.15,154.51,152.12,153.23,1843937.0
2025-06-26,151.76,152.9,149.35,152.61,1176801.0
2025-06-25,151.23,151.99,150.04,151.73,889809.0
2025-06-24,152.73,153.15,150.54,150.88,1370143.0
2025-06-23,149.14,151.0,147.18,150.96,1225702.0
2025-06-20,149.26,149.8,148.35,148.95,2143099.0
2025-06-18,147.31,149.79,147.25,148.34,937332.0
2025-06-17,148.0,149.31,147.1,147.57,963565.0
2025-06-16,147.46,149.74,147.32,148.5,773146.0
2025-06-13,146.94,147.91,145.33,145.62,917923.0
2025-06-12,146.0,148.83,145.36,148.61,866531.0
2025-06-11,147.08,148.695,146.82,147.73,877478.0
