date,Open,High,Low,Close,Volume
2025-10-31,157.98,159.63,157.39,158.92,1755832.0
2025-10-30,158.92,159.42,157.56,158.07,1620270.0
2025-10-29,158.915,160.82,157.92,158.34,1507514.0
2025-10-28,160.12,161.31,158.65,160.7,1534447.0
2025-10-27,159.47,161.95,159.23,160.73,3812370.0
2025-10-24,156.98,157.83,156.41,156.75,1598137.0
2025-10-23,155.19,156.89,154.872,156.66,1337977.0
2025-10-22,156.91,158.03,155.89,156.05,1312084.0
2025-10-21,156.63,157.5975,156.37,156.41,1456979.0
2025-10-20,157.32,157.785,156.355,157.45,1691436.0
2025-10-17,156.12,157.355,155.16,156.31,2896132.0
2025-10-16,157.3,157.48,154.691,155.21,1793865.0
2025-10-15,155.57,157.91,155.5,156.99,1851336.0
2025-10-14,154.66,156.555,154.17,155.26,2077846.0
2025-10-13,148.97,155.4096,148.58,154.77,3214647.0
2025-10-10,150.67,151.64,147.494,147.71,2365758.0
2025-10-09,151.24,152.53,149.08,149.98,1466898.0
2025-10-08,150.97,152.1,150.41,152.02,1992761.0
2025-10-07,152.98,152.98,149.67,150.34,1591627.0
2025-10-06,152.24,153.46,151.2,152.26,2669897.0
2025-10-03,156.01,156.56,151.985,152.64,2372683.0
2025-10-02,153.06,157.03,152.61,156.17,2576421.0
2025-10-01,151.9,153.97,150.8025,153.2,2193361.0
2025-09-30,151.14,152.9,151.06,152.39,2025214.0
2025-09-29,152.49,152.8613,150.41,151.86,2346364.0
2025-09-26,150.2,151.93,149.14,151.52,2265092.0
2025-09-25,150.07,150.625,147.7701,149.46,2758415.0
2025-09-24,146.0,150.47,146.0,149.43,2689221.0
2025-09-23,144.76,145.8,144.0,145.68,2704329.0
2025-09-22,146.44,146.92,143.71,144.67,3294650.0
2025-09-19,146.42,146.931,144.56,146.18,4702473.0
2025-09-18,147.04,147.37,143.39,146.09,3155127.0
2025-09-17,146.95,148.15,146.23,146.66,3285740.0
2025-09-16,147.1,147.535,145.77,146.45,1554587.0
2025-09-15,147.9,147.9,146.41,147.05,1946257.0
2025-09-12,149.99,150.345,146.7701,147.9,2131667.0
2025-09-11,149.55,151.27,149.53,151.1,2029519.0
2025-09-10,148.2,149.92,147.64,149.24,1956980.0
2025-09-09,150.3,150.645,148.37,149.04,1863809.0
2025-09-08,150.94,152.45,150.47,151.57,2393445.0
2025-09-05,152.77,153.42,150.46,150.95,2438403.0
2025-09-04,151.17,153.54,151.0707,152.81,2621018.0
2025-09-03,151.0,152.0,150.235,150.73,2647726.0
2025-09-02,146.37,151.43,146.37,151.25,3132648.0
2025-08-29,148.93,149.64,146.77,147.16,2633616.0
2025-08-28,150.87,151.83,148.07,149.05,2321191.0
2025-08-27,148.53,150.52,148.07,150.29,2360157.0
2025-08-26,147.41,149.175,146.96,148.33,2693371.0
2025-08-25,146.97,148.11,145.46,147.45,3371626.0
2025-08-22,150.23,151.0,145.36,147.25,7736749.0
2025-08-21,146.1,146.85,144.18,145.62,5610973.0
2025-08-20,148.85,150.58,146.08,146.35,4966080.0
2025-08-19,145.94,148.8,145.36,147.88,3615639.0
2025-08-18,147.04,147.86,145.68,146.06,5075381.0
2025-08-15,147.71,148.5,146.48,146.94,3695630.0
2025-08-14,149.25,149.29,147.3,147.38,3247265.0
2025-08-13,147.94,150.585,147.57,150.28,2795692.0
2025-08-12,146.59,148.58,146.0,148.0,2346796.0
2025-08-11,146.03,147.68,144.78,146.49,2399337.0
2025-08-08,145.22,146.07,144.08,145.22,2295699.0
2025-08-07,146.55,147.51,144.41,145.15,2107132.0
2025-08-06,142.28,146.8,141.91,146.55,2955236.0
2025-08-05,141.3,142.77,140.71,141.79,2055954.0
2025-08-04,137.58,142.5,137.58,141.97,2686118.0
2025-08-01,136.0,137.61,134.37,137.01,2220604.0
2025-07-31,137.23,138.7,136.335,136.54,2519320.0
2025-07-30,140.0,140.06,137.9,138.48,2231752.0
2025-07-29,141.39,141.39,139.1,139.56,2118964.0
2025-07-28,138.78,140.99,138.675,140.82,2687623.0
2025-07-25,137.27,138.52,136.62,138.33,1644131.0
2025-07-24,136.78,138.06,134.89,136.44,2311640.0
2025-07-23,136.44,137.26,135.75,137.17,2350130.0
2025-07-22,134.02,136.0892,133.14,135.76,2077070.0
2025-07-21,130.53,134.56,130.49,134.02,2749219.0
2025-07-18,131.41,131.44,129.48,129.94,2714121.0
2025-07-17,129.38,130.88,128.82,130.48,2105466.0
2025-07-16,127.65,129.35,126.32,129.1,3697817.0
2025-07-15,131.17,131.34,127.55,127.59,2082641.0
2025-07-14,130.88,131.24,129.55,131.17,2485660.0
2025-07-11,130.4,131.84,129.55,131.17,2171549.0
2025-07-10,131.01,132.99,130.68,130.86,3142881.0
2025-07-09,131.64,132.34,130.25,131.21,2211596.0
2025-07-08,130.5,131.895,130.29,131.56,2737162.0
2025-07-07,131.11,131.75,129.38,130.77,2504980.0
2025-07-03,131.35,132.125,130.24,131.55,2343840.0
2025-07-02,135.39,135.855,130.3375,131.52,3684238.0
2025-07-01,127.41,131.66,127.31,129.97,2976509.0
2025-06-30,128.225,128.655,126.79,127.58,2553545.0
2025-06-27,127.41,129.5899,127.0,127.9,4422947.0
2025-06-26,127.04,127.25,124.49,126.62,4159998.0
2025-06-25,128.52,128.72,126.955,127.28,2017608.0
2025-06-24,128.38,129.1567,127.1,128.33,4515775.0
2025-06-23,127.24,128.47,125.3001,127.87,4898453.0
2025-06-20,128.74,129.355,127.1,127.67,7112841.0
2025-06-18,129.13,129.795,127.955,128.05,3833305.0
2025-06-17,130.26,131.05,128.4,129.05,3971517.0
2025-06-16,133.15,133.2,130.98,131.15,3537358.0
2025-06-13,132.8,134.56,131.31,131.845,2996954.0
2025-06-12,136.2,136.59,132.94,133.47,6158168.0
2025-06-11,140.15,140.15,135.28,136.39,4645303.0
