date,Open,High,Low,Close,Volume
2025-10-31,209.38,211.09,206.03,208.24,2577835.0
2025-10-30,209.905,212.71,209.75,209.92,2493038.0
2025-10-29,215.45,216.515,209.83,210.5,2364118.0
2025-10-28,218.05,221.56,215.0,217.73,1782856.0
2025-10-27,222.86,223.465,220.01,221.04,1153230.0
2025-10-24,223.91,224.64,221.91,223.09,951835.0
2025-10-23,223.67,224.55,219.9701,223.11,1256765.0
2025-10-22,221.91,225.36,220.43,223.28,990447.0
2025-10-21,219.98,221.38,219.01,220.94,911782.0
2025-10-20,219.77,220.81,218.0,220.13,1108935.0
2025-10-17,218.48,220.475,218.09,219.82,1299881.0
2025-10-16,220.29,220.42,217.69,218.23,992673.0
2025-10-15,223.68,224.88,219.95,221.03,708188.0
2025-10-14,223.3,226.2,222.7815,224.48,1058407.0
2025-10-13,222.29,225.4559,222.29,223.04,1026061.0
2025-10-10,221.85,226.32,220.78,225.16,1654531.0
2025-10-09,224.81,225.3684,221.34,221.69,1181205.0
2025-10-08,222.85,226.11,222.02,225.35,1263612.0
2025-10-07,223.46,223.6,221.13,222.75,1063292.0
2025-10-06,224.09,224.32,222.32,223.18,927573.0
2025-10-03,222.57,225.7599,222.03,224.15,1054147.0
2025-10-02,225.16,225.84,221.56,222.57,1493851.0
2025-10-01,228.81,229.83,226.46,227.29,1288181.0
2025-09-30,229.4,231.65,229.28,229.48,1553763.0
2025-09-29,228.01,229.105,227.47,229.06,829497.0
2025-09-26,228.56,230.68,227.23,228.21,906856.0
2025-09-25,228.02,229.01,226.47,226.86,1443432.0
2025-09-24,226.7,228.64,225.62,227.4,1516346.0
2025-09-23,226.5,227.54,224.62,227.53,1408432.0
2025-09-22,226.87,227.35,225.64,226.26,957220.0
2025-09-19,227.33,227.96,225.89,226.94,1968273.0
2025-09-18,225.47,227.78,224.92,226.71,1052686.0
2025-09-17,225.28,228.3145,225.27,226.27,1326281.0
2025-09-16,227.74,228.62,224.88,225.33,1648343.0
2025-09-15,228.27,229.1561,227.09,228.14,799085.0
2025-09-12,231.8,232.62,227.82,228.48,892010.0
2025-09-11,228.72,232.89,227.395,232.21,1180840.0
2025-09-10,228.28,229.37,226.58,228.51,1105609.0
2025-09-09,227.64,229.31,226.5901,229.07,1325381.0
2025-09-08,229.47,229.47,226.47,228.13,1270231.0
2025-09-05,233.63,233.77,228.295,229.73,1088332.0
2025-09-04,233.67,235.175,232.5,233.85,709284.0
2025-09-03,232.83,233.32,231.15,232.49,795631.0
2025-09-02,233.82,234.58,231.3,233.12,988903.0
2025-08-29,233.47,234.33,233.03,233.97,875358.0
2025-08-28,233.63,234.48,231.4,233.1,886044.0
2025-08-27,234.5,235.09,233.81,234.9,885172.0
2025-08-26,231.67,234.7,231.67,234.33,1466207.0
2025-08-25,234.22,235.98,231.79,232.22,674701.0
2025-08-22,236.13,237.06,233.685,234.32,1183950.0
2025-08-21,235.2,236.4299,234.28,235.44,706810.0
2025-08-20,236.68,238.62,235.49,236.11,1210746.0
2025-08-19,232.84,235.51,231.86,234.8,940758.0
2025-08-18,232.97,234.0,231.9721,232.43,912038.0
2025-08-15,232.59,233.83,231.795,232.85,902191.0
2025-08-14,232.76,234.045,231.39,232.51,1097833.0
2025-08-13,234.16,234.16,230.76,232.74,1906405.0
2025-08-12,236.6,237.45,232.4055,233.53,998619.0
2025-08-11,235.63,237.28,234.675,237.03,904246.0
2025-08-08,235.81,237.35,235.09,235.21,717967.0
2025-08-07,236.0,236.8,234.12,235.63,1593716.0
2025-08-06,232.15,236.17,231.045,235.52,1573299.0
2025-08-05,231.33,233.68,230.985,232.08,1938574.0
2025-08-04,230.82,232.235,229.79,231.71,1196356.0
2025-08-01,232.78,232.78,229.245,231.21,1481298.0
2025-07-31,232.0,234.74,230.385,230.65,2244662.0
2025-07-30,238.84,240.91,231.4,231.69,3177666.0
2025-07-29,243.16,246.25,242.01,246.01,1861658.0
2025-07-28,244.42,244.81,241.16,241.41,989683.0
2025-07-25,245.25,246.2,244.51,245.16,935939.0
2025-07-24,242.62,245.92,242.395,245.11,1045719.0
2025-07-23,241.88,243.68,240.57,243.27,1195711.0
2025-07-22,240.14,242.78,240.14,242.31,1029148.0
2025-07-21,239.67,241.375,238.72,240.04,1078404.0
2025-07-18,240.34,242.09,239.91,240.5,1338095.0
2025-07-17,240.53,242.38,238.31,240.17,1683076.0
2025-07-16,241.46,241.845,238.3101,241.35,1087848.0
2025-07-15,243.1,244.43,241.67,241.86,1199445.0
2025-07-14,241.36,245.64,240.72,244.17,1264997.0
2025-07-11,240.24,242.53,239.155,241.21,1768366.0
2025-07-10,240.09,241.44,238.455,240.09,1561192.0
2025-07-09,239.03,241.1499,237.95,240.51,1387697.0
2025-07-08,240.02,242.19,239.04,239.31,1893569.0
2025-07-07,241.21,242.48,239.59,242.48,1470067.0
2025-07-03,238.46,241.14,237.09,241.14,1261978.0
2025-07-02,242.53,242.955,236.25,237.69,1965498.0
2025-07-01,246.28,246.8,242.255,244.67,1131917.0
2025-06-30,244.71,246.82,243.53,246.61,1572804.0
2025-06-27,244.04,246.13,243.35,244.37,1895969.0
2025-06-26,244.65,246.21,243.845,244.72,1712060.0
2025-06-25,250.55,250.55,242.55,243.88,1539277.0
2025-06-24,250.56,251.17,247.89,250.75,1622894.0
2025-06-23,249.04,250.75,247.63,250.68,981582.0
2025-06-20,249.29,250.68,247.11,248.19,1442253.0
2025-06-18,249.06,250.1299,247.15,248.28,793236.0
2025-06-17,247.75,250.24,246.49,248.98,1211826.0
2025-06-16,251.23,252.445,248.15,248.49,735577.0
2025-06-13,251.74,253.38,250.68,251.26,661724.0
2025-06-12,249.12,251.91,247.83,251.85,956692.0
2025-06-11,247.75,249.15,245.09,248.24,1327464.0
