date,Open,High,Low,Close,Volume
2025-10-31,33.36,33.92,32.91,33.51,1353882.0
2025-10-30,33.45,33.975,33.1,33.6,1152105.0
2025-10-29,34.27,34.5,33.48,33.69,1076206.0
2025-10-28,34.73,34.8069,34.375,34.41,678552.0
2025-10-27,35.2,35.6,34.755,34.8,771037.0
2025-10-24,35.09,35.14,34.79,34.85,1171235.0
2025-10-23,34.55,35.09,34.29,34.84,983818.0
2025-10-22,34.94,35.38,34.36,34.39,1296909.0
2025-10-21,35.07,35.35,34.67,34.99,883397.0
2025-10-20,34.7,35.01,34.17,34.91,1264587.0
2025-10-17,34.35,34.66,33.95,34.51,1098903.0
2025-10-16,34.4,34.54,33.89,34.15,1274224.0
2025-10-15,34.59,34.635,33.905,34.45,1143817.0
2025-10-14,33.14,34.39,33.11,34.32,1015596.0
2025-10-13,34.14,34.46,33.48,33.49,1551590.0
2025-10-10,35.15,35.29,33.695,33.76,1514500.0
2025-10-09,35.4,35.54,34.66,34.96,2061879.0
2025-10-08,35.4,35.45,34.605,34.63,1376701.0
2025-10-07,36.43,36.43,35.38,35.38,1712016.0
2025-10-06,36.68,37.04,35.94,36.21,2101753.0
2025-10-03,36.43,36.665,36.16,36.64,1741390.0
2025-10-02,35.64,36.14,35.58,36.11,1666134.0
2025-10-01,35.15,35.705,34.97,35.57,1757011.0
2025-09-30,34.98,35.37,34.455,35.35,1908703.0
2025-09-29,34.69,35.29,34.53,35.1,1801576.0
2025-09-26,33.33,34.78,33.28,34.42,1968721.0
2025-09-25,32.91,33.4,32.8,33.3,1300825.0
2025-09-24,33.45,33.67,32.75,33.24,1914478.0
2025-09-23,33.47,33.905,33.235,33.51,1457302.0
2025-09-22,34.11,34.11,32.875,33.38,1576496.0
2025-09-19,34.44,34.48,33.915,34.1,2445795.0
2025-09-18,33.95,34.44,33.75,34.38,1716786.0
2025-09-17,33.84,34.725,33.69,33.77,2083400.0
2025-09-16,33.72,34.0,33.43,33.87,1046481.0
2025-09-15,33.97,34.18,33.54,33.65,1385367.0
2025-09-12,33.69,34.21,33.53,33.9,1881112.0
2025-09-11,32.67,33.95,32.67,33.91,1557112.0
2025-09-10,33.07,33.41,32.655,32.81,1337357.0
2025-09-09,34.015,34.11,33.095,33.36,1856969.0
2025-09-08,32.69,33.12,32.12,33.05,1328529.0
2025-09-05,32.47,33.12,32.25,32.74,1213445.0
2025-09-04,32.36,32.571,31.93,32.31,1109879.0
2025-09-03,31.88,32.57,31.76,32.33,1864331.0
2025-09-02,31.92,32.18,31.7425,32.03,922188.0
2025-08-29,32.22,32.52,32.1775,32.47,948795.0
2025-08-28,32.41,32.42,31.8101,32.23,784204.0
2025-08-27,32.06,32.43,31.932,32.19,1020284.0
2025-08-26,32.22,32.49,32.045,32.14,846746.0
2025-08-25,32.73,32.89,32.09,32.28,1120747.0
2025-08-22,31.96,32.97,31.845,32.75,1492667.0
2025-08-21,30.97,31.965,30.97,31.72,1564035.0
2025-08-20,31.22,31.4,30.86,31.27,1714609.0
2025-08-19,31.4,31.6,31.08,31.31,1836805.0
2025-08-18,31.55,32.54,31.11,31.13,2625040.0
2025-08-15,29.85,31.59,29.76,31.58,4086270.0
2025-08-14,29.9,30.09,29.47,29.84,2407121.0
2025-08-13,29.92,30.45,29.71,30.39,1145079.0
2025-08-12,29.19,29.93,29.14,29.86,1269367.0
2025-08-11,29.29,29.42,28.71,29.05,1492134.0
2025-08-08,29.57,29.65,29.09,29.32,1100773.0
2025-08-07,29.57,29.84,29.17,29.54,1706082.0
2025-08-06,29.93,30.14,29.03,29.28,1782470.0
2025-08-05,30.02,30.56,29.395,29.96,2438060.0
2025-08-04,28.68,29.025,28.425,28.98,1590397.0
2025-08-01,28.98,29.0,28.15,28.47,1253406.0
2025-07-31,29.5,29.71,29.14,29.27,906362.0
2025-07-30,30.34,30.7,29.63,29.73,857706.0
2025-07-29,30.72,30.9,30.29,30.42,1158079.0
2025-07-28,31.02,31.06,30.67,30.76,723365.0
2025-07-25,31.14,31.14,30.6,31.04,962131.0
2025-07-24,31.34,31.56,31.0,31.03,1251527.0
2025-07-23,31.57,31.72,31.3,31.49,1309674.0
2025-07-22,30.82,31.36,30.66,31.3,1508052.0
2025-07-21,31.46,31.648,30.66,30.77,1170679.0
2025-07-18,31.64,31.64,31.04,31.19,1478498.0
2025-07-17,30.89,31.52,30.89,31.39,1542956.0
2025-07-16,31.13,31.23,30.42,31.02,1187944.0
2025-07-15,31.89,32.05,30.99,31.01,1121069.0
2025-07-14,31.79,31.89,31.38,31.73,1113057.0
2025-07-11,32.59,32.75,31.975,32.01,641328.0
2025-07-10,32.53,32.88,32.4,32.7,990295.0
2025-07-09,32.27,32.49,31.8,32.43,1178222.0
2025-07-08,31.89,32.61,31.865,32.05,1045530.0
2025-07-07,32.28,32.595,31.675,31.73,1041606.0
2025-07-03,32.84,33.0787,32.46,32.46,849669.0
2025-07-02,32.24,32.92,32.09,32.85,2328549.0
2025-07-01,31.04,32.77,31.04,32.0,1759606.0
2025-06-30,31.47,31.63,30.9,31.03,1095429.0
2025-06-27,31.5,31.77,31.04,31.25,1910094.0
2025-06-26,31.07,31.7616,31.07,31.37,1438260.0
2025-06-25,31.18,31.22,30.77,30.94,1518230.0
2025-06-24,31.14,31.501,31.055,31.23,2136468.0
2025-06-23,30.12,30.8,29.95,30.79,1242374.0
2025-06-20,30.54,30.67,30.18,30.31,1252003.0
2025-06-18,30.9,31.12,30.41,30.46,1322900.0
2025-06-17,31.18,31.375,30.85,30.9,1201358.0
2025-06-16,31.21,31.62,31.05,31.39,850930.0
2025-06-13,31.61,31.97,30.795,30.86,944844.0
2025-06-12,31.97,32.29,31.75,32.26,743366.0
2025-06-11,32.98,33.07,32.22,32.28,860117.0
